0,1,2
Venezuela,16,Merida State Symphony Orchestra
China,2,Peking opera orchestra
Cambodia,1,Angkor National Youth Orchestra
Bangladesh,5,Miles
Belarus,32,3+2
Faroe Islands,28,Tyr
Brazil,60,Sepultura
Latvia,31,Musiqq
Aruba,5,Pete Philly and Perquisite
Spain,38,Las Ketchup
Slovakia,25,TWiiNS
Andorra,17,Anonymous
Turkey,38,MaNga
Moldova,40,O-Zone
Japan,70,AKB48
Uruguay,13,El Cuarteto de Nos
Germany,88,Rammstein
South Africa,43,Die Antwoord
Sweden,156,ABBA
Burkina Faso,7,Farafina
Finland,144,Lordi
Senegal,17,Orchestra Baobab
Poland,42,Behemoth
Ecuador,5,Kiruba
Bosnia and Herzegovina,30,Feminnem
Niger,6,Toumast
Dominican Republic,27,Aventura
Maldives,4,Nothnegal
Liechtenstein,15,Elis
Ukraine,35,Nu Virgos
Cuba,28,Buena Vista Social Club
Costa Rica,4,El Parque
Estonia,32,Vanilla Ninja
Zambia,2,Amayenge
Italy,77,Lacuna Coil
Netherlands,56,Within Temptation
Iceland,60,Sigur Ros
Iraq,9,Acrassicauda
Honduras,3,Banda Blanca
Slovenia,40,Laibach
Colombia,12,Bomba Estereo
Bahrain,3,Motor Militia
Iran,7,Kiosk
Romania,32,Mandinga
Mozambique,6,Ghorwane
Mali,30,Tinariwen
Lesotho,3,Sankomota
Bahamas,17,Baha Men
Austria,36,Vienna Philharmonic Orchestra
Tunisia,23,Myrath
San Marino,19,Miodio
Chile,22,Inti-Illimani
Kazakhstan,16,A-Studio
Peru,12,Los Saicos
Madagascar,9,Les Surfs
Jamaica,22,Toots and the Maytals
Ireland,21,Them
Equatorial Guinea,5,Hijas del Sol
Belgium,35,Hooverphonic
Luxembourg,13,Rome
Democratic Republic of the Congo,7,Zaiko Langa Langa
Mexico,44,Control Machete
Lebanon,14,Mashrou' Leila
Kyrgyzstan,10,Darkestrah
Saudi Arabia,15,Al-Namrood
Ghana,3,4x4
Bolivia,14,Kjarkas
Seychelles,2,Dezil'
Guinea,3,Kora Jazz Trio
Uzbekistan,12,Yalla
Jersey,3,La Maison Tellier
Guernsey,3,La Maison Tellier
Tanzania,5,DDC Mlimani Park Orchestra
Sri Lanka,3,Bathiya and Santhush
Morocco,8,Nass El Ghiwane
Tajikistan,4,Parem
Myanmar,3,Me N Ma Girls
Monaco,5,Stille Volk
Haiti,4,Tabou Combo
Suriname,3,Trafassi
Republic of the Congo,2,K-Malia
India,17,Shankar-Ehsaan-Loy
Kenya,6,Them Mushrooms
Panama,4,La Factoria
Mauritius,3,Kana
Algeria,5,Raina Rai
Isle of Man,3,King Chiaullee
Hong Kong,7,Tat Ming Pair
Nicaragua,1,Cecilia & The Argonauts
Sierra Leone,2,Bajah + The Dry Eye Crew
Uganda,2,Blu*3
Georgia,24,The Shin
Serbia,30,Moje 3
Guatemala,3,Bohemia Suburbana
Dominica,3,Exile One
Malawi,1,The Very Best
Albania,2,Thunder Way
Argentina,19,Suater
Syria,2,Arab Youth Philharmonic Orchestra
Greece,28,Koza Mostra
Eritrea,1,Eriam Sisters
Afghanistan,4,Kabul Dreams
Nepal,3,1974 AD
United Arab Emirates,2,Desert Heat
Trinidad & Tobago,2,Kes
Somalia,2,Dur-Dur
Zimbabwe,2,Four Brothers
Malaysia,7,M-girls
Botswana,5,Wrust
Angola,5,Neblina
Cape Verde,1,Finason
Paraguay,3,Revolber
Guinea-Bissau,6,Super Mama Djombo
Ethiopia,1,Walias Band
Qatar,1,Asgard Legionnaires
Western Sahara,1,Tiris
Palestinian Territories,1,Turab
Czech Republic,29,Lake Malawi
Burundi,1,Best Life Music
Cyprus,22,Minus One
Hungary,26,AWS
Malta,23,Firelight
Jordan,5,El Morabba3
Greenland,6,Nanook
Benin,3,Helsinki-Cotonou Ensemble
Bulgaria,21,Equinox
El Salvador,2,Nahutec
Nigeria,3,SHiiKANE
Montenegro,28,D-moll
Namibia,1,Hulle
Guadeloupe,1,Les Vikings de la Guadeloupe
Indonesia,20,JKT48
Armenia,33,Inga and Anush Arshakyan
South Korea,90,BTS
Lithuania,52,The Roop
Cameroon,1,Groupe kundi
Azerbaijan,30,Ell & Nikki
Croatia,35,2Cellos
United States,191,The Carpenters
Pakistan,6,Jal
Egypt,13,Aly & Fila
North Korea,27,Moranbong Band
Mongolia,27,The Hu
United Kingdom,219,The Beatles
Canada,65,Nickelback
Russia,73,Pussy Riot
Australia,96,AC/DC
Singapore,11,By2
Philippines,11,MNL48
Thailand,17,BNK48
Switzerland,40,Eluveitie
Portugal,30,Moonspell
Norway,60,Dimmu Borgir
Taiwan,28,S.H.E
Vietnam,9,SGO48
France,67,Daft Punk
Israel,28,Infected Mushroom
New Zealand,27,Flight of the Conchords
North Macedonia,24,Eye Cue
Denmark,36,Olsen Brothers
Puerto Rico,21,Wisin & Yandel
Rwanda,2,Dream Boys
