0,1,2
United States,283,Michael Jackson
India,220,Rabindranath Tagore
Sweden,200,Basshunter
Germany,180,Marlene Dietrich
United Kingdom,167,John Lennon
Austria,167,Anna Netrebko
Russia,167,Anna Netrebko
Tanzania,166,Freddie Mercury
Hong Kong,153,Jackie Chan
China,153,Jackie Chan
Brazil,153,Hebe Camargo
Jamaica,152,Bob Marley
France,147,Anggun
Indonesia,147,Agnez Mo
Canada,140,Celine Dion
Denmark,138,Scarlett Johansson
Barbados,136,Rihanna
Colombia,130,Shakira
Serbia,127,Steven Seagal
Australia,123,Nicole Kidman
Italy,119,Sophia Loren
Ukraine,118,Anatoliy Solovyanenko
New Zealand,117,Russell Crowe
Mexico,115,Lila Downs
Ireland,114,Enya
Singapore,113,Jet Li
Lebanon,110,Keanu Reeves
Philippines,101,Imelda Marcos
Iceland,99,Bjﾃｶrk
Trinidad & Tobago,96,Nicki Minaj
Japan,95,Ichirﾅ・E Mizuki
Spain,94,Antonio Banderas
Armenia,94,Charles Aznavour
Switzerland,93,Tina Turner
South Korea,92,Psy
Uruguay,92,Natalia Oreiro
Egypt,88,Umm Kulthum
Portugal,85,Nelly Furtado
Greece,84,Maria Callas
Taiwan,84,Jolin Tsai
Albania,83,Masiela Lusha
Puerto Rico,81,Ricky Martin
Belgium,80,Jacques Brel
Poland,80,Anna Maria Jopek
Thailand,80,Pumpuang Duangjan
Turkey,79,Hande Yener
Senegal,78,Akon
Cambodia,77,Norodom Sihanouk
South Africa,76,Miriam Makeba
Cape Verde,70,Cesﾃ｡ria ﾃ・Evora
Norway,69,Alexander Rybak
Cuba,69,Camila Cabello
Malaysia,68,Siti Nurhaliza
Croatia,67,Lorde
Estonia,64,Birgit ﾃ・Eigemeel
North Macedonia,61,Kaliopi
Netherlands,61,Duncan Laurence
Honduras,60,Carlos Mencia
Israel,60,Netta Barzilai
Argentina,58,Carlos Gardel
Finland,58,Tarja Turunen
Chile,55,Vﾃｭctor Jara
Georgia,54,Katie Melua
Romania,53,Inna
Czech Republic,53,Ewa Farna
Sri Lanka,53,M.I.A.
Guatemala,52,Oscar Isaac
Gabon,52,Ludacris
Hungary,50,Ilona Staller
Iran,50,Arash
Pakistan,49,Nusrat Fateh Ali Khan
Bangladesh,48,Nazrul Islam
Mali,47,Salif Keita
San Marino,46,Valentina Monetta
Bulgaria,45,Boris Christoff
Benin,44,Angﾃｩlique Kidjo
Peru,43,Yma Sumac
Algeria,43,Khaled
Morocco,43,Khaled
Nigeria,42,Fela Kuti
Azerbaijan,42,Muslim Magomayev
Haiti,42,Michel Martelly
Monaco,41,Princess Stﾃｩphanie of Monaco
Slovakia,41,Kristﾃｭna Pelﾃ｡kovﾃ｡
Latvia,40,Marija Naumova
Bosnia and Herzegovina,40,Dino Merlin
Cameroon,40,Manu Dibango
Cyprus,39,Ivi Adamou
Uzbekistan,38,Gulnara Karimova
Kazakhstan,38,Dimash Kudaibergen
Nepal,37,Udit Narayan
Moldova,37,Natalia Gordienko
North Korea,37,Ri Sol-ju
Kenya,36,Stella Mwangi
Somalia,36,K・E・Enaan Warsame
Montenegro,35,Rambo Amadeus
Malta,35,Destiny Chukunyere
Slovenia,34,Rade ﾅerbedﾅｾija
Belarus,34,Alyona Lanskaya
Democratic Republic of the Congo,33,Jessy Matador
Lithuania,33,Donny Montell
Costa Rica,31,Harry Shum
Eritrea,31,Senhit
Panama,31,Miguel Bosﾃｩ
Faroe Islands,31,Eivﾃｸr Pﾃ｡lsdﾃｳttir
Vietnam,31,Amee
Republic of the Congo,30,Gaitana
Isle of Man,30,Samantha Barks
Venezuela,29,Gabriela Spanic
Guinea,29,Mory Kantﾃｩ
Suriname,29,Jeangu Macrooy
Paraguay,28,Larissa Riquelme
Guyana,28,Eddy Grant
Dominican Republic,27,Amelia Vega
Andorra,26,Susanne Georgi
Equatorial Guinea,26,Concha Buika
Cﾃｴte d・E・EIvoire,23,Tiken Jah Fakoly
Ethiopia,22,Mulatu Astatke
Afghanistan,21,Ahmad Zahir
Mauritius,21,Havana Brown
Chad,20,MC Solaar
Luxembourg,20,Camillo Felgen
Iraq,20,Kadim Al Sahir
Qatar,20,Kadim Al Sahir
Syria,20,Asmahan
Tunisia,20,Dhafer Youssef
Bahrain,20,Assala Nasri
Mozambique,19,Afric Simone
Ecuador,19,Julio Jaramillo
Angola,19,Pedro Fernando
Rwanda,18,Kizito Mihigo
United Arab Emirates,17,Ahlam Al Shamsi
Uganda,17,Geoffrey Oryema
Laos,17,Ki Daophet Niuhuang
Liechtenstein,16,Prince Hubertus of Hohenlohe-Langenburg
Tajikistan,16,Manija Dawlat
Burundi,15,Khadja Nin
Palestinian Territories,15,Rim Banna
Western Sahara,15,Mariem Hassan
Greenland,15,Nive Nielsen
Zimbabwe,14,Dorothy Masuka
Sudan,13,Emmanuel Jal
Niger,12,Bombino
Belize,12,Shyne
Saudi Arabia,12,Talal Maddah
Turkmenistan,11,Maya Kuliyeva
Jordan,10,Diana Karazon
Bolivia,10,Luzmila Carpio
Mauritania,10,Dimi Mint Abba
Nicaragua,9,Luis Enrique
