0,1,2
United States,218,Marilyn Monroe
Poland,213,Marie Curie
France,213,Marie Curie
United Kingdom,211,Elizabeth II
Germany,202,Angela Merkel
North Macedonia,178,Mother Teresa
Albania,178,Mother Teresa
India,178,Mother Teresa
Mexico,170,Frida Kahlo
Russia,167,Anna Netrebko
Austria,167,Anna Netrebko
Palestinian Territories,157,Virgin Mary
Israel,157,Virgin Mary
Cambodia,154,Angelina Jolie
Brazil,153,Hebe Camargo
Myanmar,149,Aung San Suu Kyi
Indonesia,147,Agnez Mo
Japan,145,Murasaki Shikibu
Sweden,143,Selma Lagerlﾃｶf
Canada,141,Celine Dion
Egypt,141,Cleopatra
Denmark,138,Scarlett Johansson
Greece,137,Sappho
Barbados,136,Rihanna
Pakistan,131,Benazir Bhutto
Colombia,130,Shakira
Belgium,128,Audrey Hepburn
Italy,125,Florence Nightingale
Australia,123,Nicole Kidman
Ukraine,122,Anna Akhmatova
Iran,122,Doris Lessing
Romania,117,Herta Mﾃｼller
Chile,114,Gabriela Mistral
Ireland,114,Enya
Lithuania,113,Emma Goldman
Spain,113,Penﾃｩlope Cruz
South Africa,111,Nadine Gordimer
Argentina,111,Cristina Fernﾃ｡ndez de Kirchner
Monaco,110,Grace Kelly
Belarus,109,Svetlana Aleksievich
Norway,107,Sigrid Undset
Kenya,106,Wangari Muta Maathai
Liberia,105,Ellen Johnson Sirleaf
Croatia,103,Kolinda Grabar-Kitaroviﾄ・E
Philippines,101,Corazon Aquino
Taiwan,101,Tsai Ing-wen
Slovenia,100,Melania Trump
Lebanon,99,Layal Abboud
South Korea,99,Park Geun-hye
Iceland,99,Bjﾃｶrk
Netherlands,98,Beatrix of the Netherlands
Trinidad & Tobago,96,Nicki Minaj
Switzerland,94,Tina Turner
Iraq,94,Nadia Murad Basee
China,93,Empress Dowager Cixi
Uruguay,92,Natalia Oreiro
Czech Republic,92,Bertha von Suttner
New Zealand,90,Jacinda Ardern
Peru,87,Isabel Allende
Slovakia,87,Zuzana ﾄ・Eaputovﾃ｡
Saudi Arabia,87,Fatimah
Bangladesh,87,Sheikh Hasina
Yemen,86,Tawakel Karman
Portugal,85,Nelly Furtado
Finland,85,Tarja Halonen
Estonia,85,Kersti Kaljulaid
Guatemala,83,Rigoberta Menchﾃｺ
Serbia,80,Yingluck Shinawatra
Thailand,80,Yingluck Shinawatra
Senegal,79,Sﾃｩgolﾃｨne Royal
Turkey,79,Hande Yener
Kyrgyzstan,77,Jamala
Hungary,77,Zsa Zsa Gabor
Central African Republic,75,Donna Strickland
Latvia,74,Catherine I of Russia
Nepal,74,Bidya Devi Bhandari
Nigeria,74,Chimamanda Ngozi Adichie
Tunisia,72,Claudia Cardinale
