0,1
New Caledonia,61.29
Martinique,55.12
Slovenia,54.51
Venezuela,52.97
French Guiana,48.31
Germany,48.03
Guadeloupe,46.09
Turks and Caicos Islands,44.39
Brunei,43.99
Namibia,43.17
Liechtenstein,43.11
Seychelles,42.05
Hong Kong,41.88
Greenland,41.09
Cyprus,40.95
Luxembourg,39.65
Zambia,37.78
Botswana,37.19
Belize,36.65
Bulgaria,36.61
Slovakia,36.09
Gibraltar,35.97
Monaco,35.93
Greece,34.65
Poland,34.2
Trinidad & Tobago,32.6
Tanzania,32.18
Saudi Arabia,31.26
Guatemala,30.93
Nicaragua,30.83
Spain,29.01
Bhutan,28.35
Saint Helena,28.26
Guinea,28.06
United Kingdom,27.91
New Zealand,27.26
Zimbabwe,27.17
Costa Rica,26.94
Guam,26.84
Switzerland,26.3
Brazil,26.26
Cambodia,26.21
Benin,26.1
Senegal,24.76
France,24.74
Togo,24.66
Ecuador,23.73
Austria,23.59
Saint Pierre and Miquelon,23.5
Hungary,23.14
Belgium,23.02
Cote d'Ivoire,22.89
Czech Republic,22.37
Portugal,22.26
Kiribati,22.01
Sri Lanka,22
Dominica,21.69
Italy,21.6
Morocco,21.54
Malta,21.5
Colombia,21.18
Honduras,21.1
Estonia,20.91
Bolivia,20.83
Equatorial Guinea,20.61
Panama,20.57
Gabon,19.94
Iceland,19.86
Netherlands,19.54
Peru,19.06
Thailand,18.82
Romania,18.71
Latvia,18.57
Chile,18.56
Dominican Republic,18.55
Denmark,18.42
Ethiopia,18.41
Kuwait,18.39
Malaysia,18.35
Malawi,18.25
United Arab Emirates,18.15
Central African Republic,17.98
Mozambique,17.63
Israel,17.43
Saint Lucia,16.86
Netherlands Antilles,16.83
Lithuania,16.78
Niger,16.72
China,16.71
Laos,16.68
Chad,16.62
Japan,16.54
Nepal,16.38
Guinea-Bissau,16.34
Norway,16.33
Palau,15.95
Jamaica,15.89
Tonga,15.62
Virgin Islands,15.34
Burkina Faso,15.19
Finland,15.1
Ghana,15.06
Montenegro,14.79
Suriname,14.72
Indonesia,14.7
Sweden,14.53
Ireland,14.27
Nigeria,14.11
Croatia,14.06
United States,13.82
Mongolia,13.78
Bahamas,13.66
Mexico,12.92
Australia,12.85
Cuba,12.41
Angola,12.4
Republic of the Congo,12.04
Kenya,11.61
Uganda,11.45
Russia,11.33
Egypt,11.23
Cameroon,10.99
Albania,10.96
Philippines,10.91
Saint Vincent and the Grenadines,10.88
Pakistan,10.75
Oman,10.68
Rwanda,10.55
Sierra Leone,10.5
Montserrat,10.48
Puerto Rico,10.26
Antigua & Barbuda,10.18
Comoros,10.1
Andorra,9.83
Niue,9.08
British Virgin Islands,8.96
Cayman Islands,8.74
Timor-Leste,8.72
Canada,8.56
El Salvador,8.44
Belarus,8.28
Armenia,8.1
Algeria,7.46
Azerbaijan,7.36
Burma,7.28
Republic of Macedonia,7.27
Iran,7.16
Argentina,6.91
Samoa,6.74
Vietnam,6.45
Paraguay,6.4
Kyrgyzstan,6.33
Serbia,6.3
South Korea,6.27
South Africa,6.2
Tokelau,6.09
Mali,6.05
Anguilla,5.96
Western Sahara,5.77
Bermuda,5.76
Tunisia,5.38
Singapore,5.37
India,5.21
Guyana,5.21
Madagascar,4.99
Eritrea,4.96
Burundi,4.89
Gambia,4.83
Mayotte,4.82
Tajikistan,4.77
Bangladesh,4.72
Mauritius,4.49
Fiji,4.33
Vanuatu,4.23
Ukraine,4.05
Micronesia,4.03
Georgia,3.93
Moldova,3.82
Saint Kitts and Nevis,3.57
Uzbekistan,3.35
Kazakhstan,3.32
Qatar,3.18
Turkmenistan,3.18
Papua New Guinea,3.12
Northern Mariana Islands,3.07
Marshall Islands,3.04
Eswatini,3.02
American Samoa,2.93
Bahrain,2.8
Uruguay,2.68
Liberia,2.52
Cape Verde,2.47
Solomon Islands,2.2
Grenada,2.2
Turkey,2.05
French Polynesia,1.98
Tuvalu,1.94
Jordan,1.91
Faeroe Islands,1.7
Bosnia and Herzegovina,1.49
Cook Islands,1.32
Yemen,0.79
