0,1
China,70.8
India,61.6
United States,95.5
Indonesia,79.3
Brazil,76.4
Nigeria,69.5
Russia,85.1
Pakistan,55.6
Bangladesh,69.8
Japan,91.5
Mexico,69
Iran,95.5
Germany,93.6
Philippines,68.5
Vietnam,71.4
United Kingdom,96.8
Turkey,75.4
France,91.5
Egypt,55.6
South Korea,96.6
Spain,90.8
Thailand,52.6
Italy,83.4
Poland,91.5
Canada,91.6
Argentina,75.7
South Africa,55.1
Colombia,61.5
Saudi Arabia,80.3
Malaysia,80.4
Ukraine,66.6
Algeria,62.4
Morocco,61.3
Taiwan,92.4
Australia,85
Venezuela,71.2
Ethiopia,17.9
Iraq,49.2
Uzbekistan,51.4
Myanmar,30.5
Netherlands,93.1
Peru,49
Chile,79.4
Kazakhstan,75.9
Romania,64.3
Sudan,29.9
Ghana,13.7
Cﾃｴte d・E・EIvoire,42.5
Uganda,23.8
Belgium,87.3
Sweden,95.8
Ecuador,55.7
Tanzania,16.3
United Arab Emirates,92.5
Kenya,17.2
Czech Republic,78.4
Switzerland,93.2
Greece,75.3
Azerbaijan,78
Austria,86.4
Portugal,74.3
Yemen,26.5
Hungary,76.9
Sri Lanka,33.5
Belarus,74.6
Democratic Republic of the Congo,8.3
Dominican Republic,65.8
Guatemala,39.9
Israel,81
Hong Kong,89.3
Jordan,65
Tunisia,55.3
Nepal,35.9
Syria,36.9
Serbia,70.2
Mozambique,20.9
Cuba,49.7
Cameroon,22.1
Denmark,94
Cambodia,33.5
Norway,95.9
Bolivia,42.7
Finland,87.5
Singapore,83.7
Zambia,27.4
Lebanon,69.3
Senegal,29.6
Bulgaria,63.7
Zimbabwe,31
Slovakia,81.5
New Zealand,90.1
Angola,13.9
Paraguay,59.8
Afghanistan,10.9
Kuwait,98
Ireland,83.5
Oman,77
Costa Rica,70.2
Palestinian Territories,-1
Moldova,76.1
Burkina Faso,15.4
Honduras,31.1
Croatia,67.6
Puerto Rico,87.7
Rwanda,21.6
Malawi,14.1
Qatar,91
Madagascar,9.5
Bosnia and Herzegovina,69.8
Panama,56.8
Georgia,86.1
Uruguay,68.4
Mali,12.4
Kyrgyzstan,36.6
Lithuania,80.1
Niger,9.8
Albania,73
Armenia,69.2
El Salvador,31
Tajikistan,21.5
Laos,24.8
Nicaragua,26.8
Slovenia,79
North Macedonia,76.3
Latvia,82.2
Benin,13.7
Guinea,11.7
Bahrain,91.2
Jamaica,48
Libya,20.8
Haiti,12.2
Turkmenistan,20.9
Estonia,87.2
Trinidad & Tobago,76.2
Gabon,49.1
South Sudan,9.1
Sierra Leone,13.1
Chad,6.3
Togo,12.2
Cyprus,80.1
Botswana,42.1
Namibia,38.1
Papua New Guinea,10.7
Mauritania,20.9
Mongolia,23
Mauritius,55.5
Lesotho,31.6
Burundi,5.4
Luxembourg,94.5
Djibouti,55.6
Macao,82
Republic of the Congo,8.7
Fiji,51.2
Montenegro,80.4
Gambia,18.3
Eswatini,36.5
Brunei,94.8
Bhutan,51.5
Liberia,7.8
Timor-Leste,28.1
Malta,78.5
Bahamas,87.1
Equatorial Guinea,25.4
Iceland,97.8
Cape Verde,57.4
Somalia,2
Guyana,37.3
Suriname,47.9
Maldives,53.5
Barbados,81.5
New Caledonia,80.9
French Polynesia,74.1
Central African Republic,4.3
Belize,46
Guam,79.8
Aruba,96.6
Saint Lucia,50
Antigua & Barbuda,80.5
Andorra,98.8
Guinea-Bissau,3.9
Solomon Islands,11.2
Saint Vincent and the Grenadines,65.4
Vanuatu,24.3
Comoros,8.3
U.S. Virgin Islands,64.5
Eritrea,1.9
Samoa,33.7
Grenada,57.1
Sﾃ｣o Tomﾃｩ & Prﾃｭncipe,29
Bermuda,96.2
Seychelles,57.3
Dominica,71.9
Cayman Islands,77.8
Faroe Islands,99.2
Saint Kitts and Nevis,85.2
Tonga,43.2
Greenland,69.4
Jersey,-1
Monaco,97.1
Micronesia,33.1
Liechtenstein,98.1
Gibraltar,96.4
Marshall Islands,35.2
San Marino,59.5
Kiribati,14.6
British Virgin Islands,48.5
Anguilla,81.8
Nauru,60.7
Tuvalu,48
"Saint Helena, Ascension and Tristan da Cunha",48.2
Falkland Islands,89.1
Montserrat,56.7
Wallis and Futuna,11.9
Niue,63.8
