0,1
Falkland Islands,6.4
Djibouti,6.37
Greenland,6.22
French Polynesia,6.06
Switzerland,6.03
Jersey,6
Gibraltar,5.49
Guernsey,5.32
Venezuela,5.23
Faroe Islands,5.12
Monaco,5.12
Norway,5.11
Angola,5.06
New Caledonia,4.81
Reunion,4.78
Papua New Guinea,4.43
Cyprus,4.42
Austria,4.36
Iceland,4.26
Vanuatu,4.23
Bermuda,4.22
Denmark,4.16
Greece,4.12
Australia,3.85
France,3.8
Luxembourg,3.72
Israel,3.7
New Zealand,3.66
Sweden,3.6
Cayman Islands,3.59
Ireland,3.58
United Kingdom,3.54
Barbados,3.53
British Virgin Islands,3.5
Republic of the Congo,3.5
Cameroon,3.46
Equatorial Guinea,3.38
Italy,3.31
Cape Verde,3.21
Aruba,3.17
Grenada,3.17
Bahamas,3.15
Somalia,3.13
Gabon,3.12
Finland,3.04
Trinidad & Tobago,3
South Korea,2.98
Haiti,2.95
Belgium,2.94
Canada,2.9
Suriname,2.89
Seychelles,2.89
Burundi,2.88
Malta,2.85
Hong Kong,2.82
Madagascar,2.8
Liberia,2.8
Dominica,2.79
Croatia,2.78
Guam,2.76
Saint Lucia,2.73
Costa Rica,2.72
Netherlands,2.69
Germany,2.68
Lebanon,2.65
Andorra,2.64
Qatar,2.61
Nicaragua,2.61
Nigeria,2.58
Slovakia,2.56
Uruguay,2.56
Chile,2.55
Slovenia,2.53
Jordan,2.51
United Arab Emirates,2.51
Malawi,2.51
Oman,2.49
Isle of Man,2.49
Guyana,2.47
Puerto Rico,2.45
Curaﾃｧao,2.45
Chad,2.43
Senegal,2.4
Portugal,2.38
Samoa,2.38
Mongolia,2.37
Zimbabwe,2.36
Jamaica,2.36
Fiji,2.35
Ghana,2.35
Mauritius,2.34
Maldives,2.34
Lithuania,2.3
Brunei,2.29
Romania,2.28
Poland,2.26
United States,2.23
Argentina,2.22
Mali,2.22
Hungary,2.21
Panama,2.2
Spain,2.19
Bosnia and Herzegovina,2.14
Mozambique,2.1
Libya,2.09
Japan,2.09
Uzbekistan,2.08
Bulgaria,2.08
Zambia,2.08
Singapore,2.07
Bahrain,2.06
Uganda,2.06
Latvia,2.04
Namibia,2.02
Sudan,2
Czech Republic,2
Georgia,1.98
Montenegro,1.97
El Salvador,1.96
Iran,1.95
Turkey,1.94
Saudi Arabia,1.93
Tanzania,1.92
Colombia,1.91
China,1.91
Iraq,1.9
Azerbaijan,1.89
Republic of Macedonia,1.85
Mexico,1.84
Yemen,1.84
Belize,1.83
Serbia,1.83
Armenia,1.83
Botswana,1.82
Ethiopia,1.82
Kenya,1.82
Dominican Republic,1.81
Kuwait,1.81
Ecuador,1.8
Estonia,1.8
Honduras,1.79
Syria,1.77
Peru,1.77
Gambia,1.75
Turkmenistan,1.75
Taiwan,1.74
South Africa,1.74
Kyrgyzstan,1.74
Guatemala,1.73
Paraguay,1.7
Brazil,1.69
Thailand,1.65
Algeria,1.61
Afghanistan,1.6
Tajikistan,1.6
Belarus,1.54
Kazakhstan,1.54
Albania,1.53
Laos,1.53
Egypt,1.52
Myanmar,1.51
Morocco,1.5
Cambodia,1.48
Russia,1.48
Philippines,1.47
Eswatini,1.45
Rwanda,1.44
Bhutan,1.43
Sri Lanka,1.43
Bolivia,1.41
Lesotho,1.39
Malaysia,1.38
Vietnam,1.37
Bangladesh,1.36
Indonesia,1.34
Moldova,1.33
Ukraine,1.3
Tunisia,1.23
Nepal,1.12
Pakistan,0.96
India,0.79
Cuba,0.57
