0,1
Papua New Guinea,840
Indonesia,707
Nigeria,517
India,447
China,302
Mexico,287
Cameroon,274
Australia,226
United States,219
Brazil,217
Democratic Republic of the Congo,212
Philippines,183
Malaysia,133
Chad,130
Tanzania,125
Nepal,122
Myanmar,120
Russia,115
Vanuatu,110
Vietnam,109
Canada,96
Peru,93
Ethiopia,90
Ivory Coast,86
Colombia,85
Laos,85
Ghana,81
Iran,79
Sudan,75
Pakistan,74
Thailand,73
Central African Republic,72
Solomon Islands,72
Burkina Faso,71
South Sudan,69
Mali,68
Kenya,67
Republic of the Congo,62
Benin,55
Angola,46
Zambia,46
Togo,44
Bolivia,43
Gabon,43
Mozambique,43
Uganda,43
Venezuela,42
Afghanistan,41
Bangladesh,41
Turkey,39
New Caledonia,38
Senegal,38
Guinea,37
Israel,36
Italy,35
Botswana,31
Liberia,31
South Africa,30
Cambodia,27
Guatemala,27
Namibia,27
Romania,26
Germany,25
Argentina,24
Ecuador,24
Sierra Leone,24
Singapore,24
Bhutan,23
Taiwan,23
Guinea-Bissau,23
Iraq,23
Niger,23
Paraguay,23
France,22
Poland,22
Zimbabwe,22
Suriname,21
Ukraine,21
Timor-Leste,20
Georgia,20
Greece,20
Algeria,18
Azerbaijan,18
Hungary,18
Micronesia,18
Malawi,17
Oman,17
Serbia,17
Spain,17
Syria,17
Croatia,16
Egypt,16
Guyana,16
Austria,15
Brunei,15
Eritrea,15
Japan,15
Netherlands,15
Sweden,15
Equatorial Guinea,14
Madagascar,14
Morocco,14
Panama,14
Bulgaria,13
Finland,13
French Guiana,13
Kazakhstan,13
Somalia,13
Switzerland,13
Tajikistan,13
United Kingdom,13
Belgium,12
Mongolia,12
Slovakia,12
Chile,11
Costa Rica,11
Czech Republic,11
Gambia,11
Jordan,11
Lithuania,11
Nicaragua,11
Norway,11
Slovenia,11
Uzbekistan,11
Yemen,11
Fiji,10
Honduras,10
North Macedonia,10
Moldova,10
Portugal,10
United Arab Emirates,10
French Polynesia,9
Libya,9
Albania,8
Armenia,8
Belize,8
Latvia,8
Hong Kong,7
Estonia,7
Lebanon,7
Mauritania,7
Mauritius,7
Palestinian Territories,7
Saudi Arabia,7
Sri Lanka,7
Trinidad & Tobago,7
Tunisia,7
Bahrain,6
Comoros,6
Kyrgyzstan,6
Montenegro,6
Turkmenistan,6
Bosnia and Herzegovina,5
Caribbean Netherlands,5
Macao,5
Cook Islands,5
Curacao,5
Cyprus,5
Denmark,5
Djibouti,5
El Salvador,5
Eswatini,5
Ireland,5
Lesotho,5
Monaco,5
Sao Tome & Principe,5
Uruguay,5
Andorra,4
Aruba,4
Belarus,4
Dominican Republic,4
Grenada,4
Haiti,4
Jamaica,4
Liechtenstein,4
Luxembourg,4
Malta,4
New Zealand,4
Northern Mariana Islands,4
Palau,4
Puerto Rico,4
Sint Maarten,4
South Korea,4
Aland Islands,3
Bahamas,3
Barbados,3
Burundi,3
Cuba,3
Dominica,3
Greenland,3
Guadeloupe,3
Guernsey,3
Jersey,3
Kuwait,3
Martinique,3
Mayotte,3
Nauru,3
Qatar,3
Rwanda,3
Reunion,3
Saint Barthelemy,3
Saint Kitts and Nevis,3
Saint Lucia,3
Saint Martin,3
Saint Vincent and the Grenadines,3
Seychelles,3
Tonga,3
Tuvalu,3
U.S. Virgin Islands,3
Wallis and Futuna,3
Western Sahara,3
American Samoa,2
Anguilla,2
Antigua and Barbuda,2
Bermuda,2
British Virgin Islands,2
Cape Verde,2
Christmas Island,2
Cocos (Keeling) Islands,2
Faroe Islands,2
Gibraltar,2
Guam,2
Iceland,2
Isle of Man,2
Kiribati,2
Maldives,2
Marshall Islands,2
Montserrat,2
Niue,2
Norfolk Island,2
Pitcairn,2
Samoa,2
San Marino,2
Tokelau,2
Turks and Caicos Islands,2
Vatican City,2
British Indian Ocean Territory,1
Cayman Islands,1
Falkland Islands,1
North Korea,1
Saint Helena,1
Saint Pierre and Miquelon,1
