0,1
Indonesia,515.0
Mexico,491.0
Peru,460.0
United States,428.0
Cameroon,409.0
China,394.0
Brazil,394.0
India,390.0
Colombia,359.0
Kenya,359.0
Uganda,345.0
Venezuela,323.0
Argentina,320.0
Bolivia,316.0
Paraguay,305.0
Malaysia,300.0
Myanmar,300.0
Ethiopia,277.0
Angola,276.0
Nigeria,274.0
Zimbabwe,270.0
Russia,269.0
Sudan,267.0
Thailand,265.0
Guatemala,250.0
Namibia,250.0
South Africa,247.0
Former Spanish colonies average,238.61
Emerging markets average,237.24
Zambia,233.0
Cote d'Ivoire,230.0
Ghana,222.0
Panama,218.0
Papua New Guinea,214.0
Vietnam,213.0
Central African Republic,209.0
Costa Rica,205.0
Religious countries average,202.29
Nicaragua,200.0
Republic of the Congo,200.0
South Asia average,196.4
Togo,196.0
Malawi,195.0
Canada,193.0
Liberia,193.0
Guyana,193.0
Senegal,192.0
Guinea,190.0
Gabon,190.0
Pakistan,188.0
Benin,188.0
Japan,188.0
Equatorial Guinea,184.0
Nepal,181.0
Suriname,180.0
Mozambique,179.0
Kazakhstan,178.0
Honduras,173.0
Laos,172.0
Somalia,171.0
failed states average,168.47
Botswana,164.0
Bhutan,160.0
Group of 7 countries (G7) average,159.71
Former French colonies average,156.26
Philippines,153.0
Rwanda,151.0
South and Central Asia average,149.67
Burkina Faso,147.0
Sierra Leone,147.0
Non-religious countries average,143.18
Madagascar,141.0
OPEC countries average,138.33
Mali,137.0
El Salvador,135.0
Chad,134.0
Mongolia,133.0
Niger,131.0
Muslim countries average,130.16
Bangladesh,125.0
Belize,125.0
Cambodia,123.0
Afghanistan,119.0
Gambia,117.0
Turkey,116.0
Israel,116.0
Eritrea,112.0
Cold countries average,108.65
Ukraine,108.0
Guinea-Bissau,108.0
Former Soviet republics average,107.29
Georgia,107.0
Burundi,107.0
Morocco,105.0
Turkmenistan,103.0
Trinidad & Tobago,100.0
Azerbaijan,99.0
Egypt,98.0
Uzbekistan,97.0
Montenegro,96.0
Greece,95.0
France,93.0
Algeria,92.0
Chile,91.0
Italy,90.0
High income OECD countries average,88.61
Sri Lanka,88.0
Slovakia,85.0
Singapore,85.0
Tajikistan,84.0
Armenia,84.0
Romania,84.0
Poland,84.0
Hungary,83.0
Austria,83.0
Latvia,83.0
Kyrgyzstan,83.0
Spain,82.0
Czech Republic,81.0
Bulgaria,81.0
Iraq,81.0
Uruguay,81.0
Republic of Macedonia,78.0
Tunisia,78.0
NATO countries average,77.38
Saudi Arabia,77.0
Libya,76.0
Croatia,76.0
Germany,76.0
Slovenia,75.0
Switzerland,75.0
Belarus,74.0
Eurozone average,72.53
Bosnia and Herzegovina,72.0
European Union average,71.92
Jordan,71.0
Lithuania,68.0
Albania,68.0
Yemen,66.0
Estonia,65.0
Portugal,63.0
Mauritania,61.0
Finland,60.0
Sweden,60.0
Belgium,58.0
Lebanon,57.0
Oman,56.0
Netherlands,55.0
Norway,54.0
Solomon Islands,53.0
United Kingdom,50.0
Denmark,43.0
Lesotho,33.0
Cuba,31.0
Ireland,25.0
United Arab Emirates,25.0
Jamaica,24.0
Kuwait,21.0
Haiti,20.0
Iceland,11.0
Fiji,4.0
New Zealand,2.0
