Country,Amount,Date
"Norway","$131.90",2014
"Monaco","$122.90",2013
"Switzerland","$112.28",2014
"Isle of Man","$108.08",2013
"New Caledonia","$107.18",2013
"Denmark","$100.22",2014
"Bermuda","$100.00",2014
"Cayman Islands","$100.00",2014
"Guernsey","$99.77",2014
"Luxembourg","$99.00",2014
"Jersey","$91.45",2014
"Iceland","$88.22",2014
"British Virgin Islands","$85.00",2014
"Netherlands","$81.93",2014
"Finland","$81.93",2014
"Belgium","$81.93",2014
"The Bahamas","$80.00",2014
"Gibraltar","$78.98",2014
"Sweden","$76.50",2014
"French Polynesia","$74.01",2013
"Faroe Islands","$73.20",2014
"Greenland","$73.20",2013
"United Kingdom","$73.16",2014
"Gabon","$72.86",2014
"Australia","$71.49",2014
"Venezuela","$69.89",2014
"Andorra","$68.28",2014
"Ireland","$68.28",2014
"Italy","$68.28",2014
"Cyprus","$68.28",2014
"Barbados","$67.50",2014
"New Zealand","$66.88",2014
"Reunion","$64.86",2014
"France","$64.01",2014
"Angola","$60.00",2014
"Democratic Republic of the Congo","$60.00",2014
"Equatorial Guinea","$59.42",2013
"Papua New Guinea","$58.53",2014
"Israel","$56.86",2014
"Qatar","$54.93",2014
"Spain","$54.62",2014
"Austria","$54.62",2014
"Malta","$54.62",2014
"Germany","$54.62",2014
"Canada","$53.93",2014
"Puerto Rico","$50.00",2014
"Lebanon","$50.00",2014
"Ghana","$50.00",2014
"Greece","$47.79",2014
"Samoa","$46.80",2013
"Mozambique","$46.37",2014
"Bahrain","$45.09",2014
"United States","$45.00",2014
"Curacao","$45.00",2013
"Guam","$45.00",2013
"Zambia","$44.13",2014
"Nigeria","$44.12",2014
"Uruguay","$43.33",2014
"Belize","$42.50",2014
"Seychelles","$42.14",2014
"Kazakhstan","$42.04",2014
"Russia","$41.49",2014
"Portugal","$40.97",2014
"Estonia","$40.97",2014
"Slovenia","$40.97",2014
"United Arab Emirates","$40.84",2014
"Grenada","$40.78",2014
"Senegal","$39.78",2014
"Singapore","$39.46",2014
"Costa Rica","$39.45",2014
"Mauritius","$39.34",2014
"Burundi","$39.34",2013
"Japan","$39.27",2014
"Trinidad and Tobago","$39.17",2014
"Latvia","$38.97",2014
"Hong Kong","$38.65",2014
"Azerbaijan","$38.24",2014
"Belarus","$37.60",2014
"Bhutan","$37.18",2014
"Jamaica","$37.16",2014
"Namibia","$36.91",2014
"Argentina","$36.66",2014
"Kuwait","$36.24",2014
"Croatia","$35.67",2014
"Chile","$35.46",2014
"Jordan","$35.32",2014
"Brazil","$34.02",2014
"Botswana","$33.69",2014
"Montenegro","$33.46",2014
"Falkland Islands (Islas Malvinas)","$33.26",2012
"Hungary","$32.88",2014
"South Korea","$32.71",2014
"South Africa","$32.40",2014
"Djibouti","$31.77",2013
"Panama","$30.00",2014
"Suriname","$30.00",2014
"Zimbabwe","$30.00",2014
"Somalia","$30.00",2014
"Iraq","$30.00",2014
"Guyana","$30.00",2014
"Mongolia","$30.00",2014
"Dominica","$30.00",2013
"Kyrgyzstan","$29.60",2014
"Poland","$29.38",2014
"Liberia","$29.00",2013
"Bulgaria","$28.03",2014
"Lithuania","$27.68",2014
"El Salvador","$27.50",2014
"Slovakia","$27.31",2014
"Serbia","$27.31",2014
"Cape Verde","$27.31",2014
"Kenya","$26.45",2014
"Vanuatu","$26.08",2013
"Guatemala","$25.82",2014
"Peru","$25.77",2014
"Uzbekistan","$25.00",2014
"Paraguay","$25.00",2014
"Saudi Arabia","$25.00",2014
"Malawi","$25.00",2013
"Turkmenistan","$25.00",2013
"Ukraine","$24.99",2014
"Czech Republic","$24.95",2014
"China","$24.47",2014
"Morocco","$24.35",2014
"Maldives","$24.33",2014
"Romania","$24.28",2014
"Armenia","$24.23",2014
"Colombia","$23.41",2014
"Dominican Republic","$23.23",2014
"Syria","$23.20",2014
"Gambia","$23.00",2014
"Georgia","$22.94",2014
"Mexico","$22.48",2014
"Turkey","$22.38",2014
"Egypt","$21.55",2014
"Haiti","$21.50",2014
"Fiji","$21.30",2014
"Albania","$21.21",2014
"Bosnia and Herzegovina","$20.90",2014
"Swaziland","$20.83",2014
"Republic of Macedonia","$20.42",2014
"Ethiopia","$20.00",2014
"Aruba","$20.00",2014
"Iran","$20.00",2014
"Madagascar","$20.00",2014
"Taiwan","$19.79",2014
"Honduras","$19.75",2014
"Brunei","$19.73",2014
"Moldova","$19.08",2014
"Tunisia","$18.89",2014
"Oman","$18.18",2014
"Nicaragua","$18.00",2014
"Cameroon","$17.50",2014
"Laos","$17.50",2014
"Lesotho","$17.13",2014
"Saint Lucia","$16.67",2014
"Bolivia","$16.18",2014
"Thailand","$16.09",2014
"Libya","$15.94",2014
"Uganda","$15.92",2014
"Ecuador","$15.50",2014
"Algeria","$15.43",2014
"Sri Lanka","$15.26",2014
"Malaysia","$15.24",2014
"Philippines","$15.14",2014
"Cambodia","$15.00",2014
"Yemen","$15.00",2014
"Cuba","$15.00",2014
"Sudan","$14.55",2014
"Burma","$14.44",2014
"Vietnam","$14.23",2014
"Afghanistan","$13.50",2014
"Indonesia","$12.89",2014
"Bangladesh","$12.88",2014
"Tajikistan","$12.48",2013
"Tanzania","$12.30",2014
"Rwanda","$11.76",2014
"Pakistan","$9.53",2014
"India","$8.05",2014
"Nepal","$7.04",2014
"Mali","$5.00",2014
"Chad","$5.00",2014
