samplepainter,country,countryLabel,samplepainterlabel,numsitelinks
http://www.wikidata.org/entity/Q55210,http://www.wikidata.org/entity/Q794,Iran,Abbas Kiarostami,63
http://www.wikidata.org/entity/Q37001,http://www.wikidata.org/entity/Q17,Japan,Toshirō Mifune,120
http://www.wikidata.org/entity/Q1362223,http://www.wikidata.org/entity/Q796,Iraq,Kadim Al Sahir,20
http://www.wikidata.org/entity/Q37876,http://www.wikidata.org/entity/Q801,Israel,Natalie Portman,121
http://www.wikidata.org/entity/Q1048113,http://www.wikidata.org/entity/Q813,Kyrgyzstan,Bolot Beishenaliev,13
http://www.wikidata.org/entity/Q4517080,http://www.wikidata.org/entity/Q813,Kyrgyzstan,Suimenkul Chokmorov,13
http://www.wikidata.org/entity/Q2725555,http://www.wikidata.org/entity/Q833,Malaysia,Siti Nurhaliza,68
http://www.wikidata.org/entity/Q12219687,http://www.wikidata.org/entity/Q810,Jordan,Saba Mubarak,7
http://www.wikidata.org/entity/Q2756694,http://www.wikidata.org/entity/Q810,Jordan,KassemG,7
http://www.wikidata.org/entity/Q12199113,http://www.wikidata.org/entity/Q805,Yemen,Balqees Ahmed Fathi,9
http://www.wikidata.org/entity/Q43416,http://www.wikidata.org/entity/Q822,Lebanon,Keanu Reeves,110
http://www.wikidata.org/entity/Q6653685,http://www.wikidata.org/entity/Q819,Laos,Alexandra Bounxouei,8
http://www.wikidata.org/entity/Q6443390,http://www.wikidata.org/entity/Q843,Pakistan,Kumail Nanjiani,31
http://www.wikidata.org/entity/Q7418498,http://www.wikidata.org/entity/Q817,Kuwait,Sanjeeda Sheikh,17
http://www.wikidata.org/entity/Q13639710,http://www.wikidata.org/entity/Q836,Myanmar,John Michie,8
http://www.wikidata.org/entity/Q186606,http://www.wikidata.org/entity/Q837,Nepal,Manisha Koirala,43
http://www.wikidata.org/entity/Q503545,http://www.wikidata.org/entity/Q842,Oman,Norman Reedus,49
http://www.wikidata.org/entity/Q24572592,http://www.wikidata.org/entity/Q826,Maldives,Aishath Rishmy,1
http://www.wikidata.org/entity/Q173646,http://www.wikidata.org/entity/Q851,Saudi Arabia,Mansour Ojjeh,15
http://www.wikidata.org/entity/Q16225381,http://www.wikidata.org/entity/Q851,Saudi Arabia,Aiysha Hart,15
http://www.wikidata.org/entity/Q1362223,http://www.wikidata.org/entity/Q846,Qatar,Kadim Al Sahir,20
http://www.wikidata.org/entity/Q204019,http://www.wikidata.org/entity/Q854,Sri Lanka,M.I.A.,53
http://www.wikidata.org/entity/Q1276579,http://www.wikidata.org/entity/Q858,Syria,Michael Ansara,39
http://www.wikidata.org/entity/Q51101,http://www.wikidata.org/entity/Q865,Taiwan,Jolin Tsai,84
http://www.wikidata.org/entity/Q2047729,http://www.wikidata.org/entity/Q863,Tajikistan,Muboraksho Mirzoshoyev,8
http://www.wikidata.org/entity/Q317814,http://www.wikidata.org/entity/Q881,Vietnam,Tsui Hark,35
http://www.wikidata.org/entity/Q48189965,http://www.wikidata.org/entity/Q863,Tajikistan,Tahmina Rajabova,8
http://www.wikidata.org/entity/Q4246167,http://www.wikidata.org/entity/Q874,Turkmenistan,Maya Kuliyeva,11
http://www.wikidata.org/entity/Q569049,http://www.wikidata.org/entity/Q878,United Arab Emirates,Ahlam Al Shamsi,17
http://www.wikidata.org/entity/Q80758,http://www.wikidata.org/entity/Q884,South Korea,Lee Min Ho,67
http://www.wikidata.org/entity/Q6583188,http://www.wikidata.org/entity/Q869,Thailand,Pumpuang Duangjan,80
http://www.wikidata.org/entity/Q276447,http://www.wikidata.org/entity/Q889,Afghanistan,Marina Golbahari,13
http://www.wikidata.org/entity/Q730984,http://www.wikidata.org/entity/Q917,Bhutan,Dzongsar Jamyang Khyentse Rinpoche,18
http://www.wikidata.org/entity/Q47122,http://www.wikidata.org/entity/Q928,Philippines,Enrique Iglesias,89
http://www.wikidata.org/entity/Q218168,http://www.wikidata.org/entity/Q902,Bangladesh,EN,38
http://www.wikidata.org/entity/Q31186945,http://www.wikidata.org/entity/Q921,Brunei,Nina Iskandar,2
http://www.wikidata.org/entity/Q315309,http://www.wikidata.org/entity/Q43,Turkey,İlhan Mansız,54
http://www.wikidata.org/entity/Q1110560,http://www.wikidata.org/entity/Q79,Egypt,Umm Kulthum,88
http://www.wikidata.org/entity/Q78516,http://www.wikidata.org/entity/Q159,Russia,Anna Netrebko,167
http://www.wikidata.org/entity/Q159577,http://www.wikidata.org/entity/Q148,People's Republic of China,Jet Li,113
