0,1
Qatar,95.46
Zimbabwe,88.93
UA Emirates,88
Madagascar,87.6
Solomon Isl.,87.4
Tanzania,87.1
North Korea,86.14
Cambodia,85.92
Oman,85.04
Ethiopia,84.68
Niger,84.27
Paraguay,84.21
Kuwait,83.8
Bolivia,83.76
Eritrea,83.62
Bahrain,83.53
Rwanda,82.23
Peru,81.88
Indonesia,81.67
Nicaragua,81.3
Nepal,80.77
Cameroon,80.75
Guatemala,80.27
Saudi Arabia,80.15
Malawi,79.95
Liberia,79.72
Mali,79.67
C.A. Republic,79.49
Vietnam,79.44
Angola,79.07
Honduras,78.94
Mozambique,78.93
Bangladesh,78.78
G.-Bissau,78.37
Laos,78.09
Pakistan,78.08
Vanuatu,78.01
Colombia,78
Zambia,77.85
Malaysia,77.55
Burundi,77.38
Singapore,76.83
Belize,76.75
Ecuador,76.52
Kenya,75.56
Kazakhstan,75.52
Mexico,75.42
New Zealand,75.33
Fiji,75.26
Domin. Rep.,75.16
Thailand,75.03
China,74.29
St. Vincent & ...,74.1
Saint Lucia,73.23
Burkina Faso,72.72
Switzerland,72.71
Benin,72.6
El Salvador,72.57
Panama,72.57
Macao,72.51
South Korea,72.45
Brunei,72.34
Ghana,72.23
Norway,71.95
Iraq,71.76
Kyrgyzstan,71.67
Argentina,71.6
Bahamas,71.49
Malta,71.41
Belarus,71.39
Lesotho,71.34
Netherlands,71.32
Uganda,71.31
Costa Rica,71.14
Japan,71.03
Uzbekistan,70.92
Syria,70.77
Australia,70.55
Iceland,70.46
Mauritius,70.45
Estonia,70.17
India,70.09
Jamaica,70
Burma,69.96
Chad,69.93
S.T.&Principe,69.88
Canada,69.74
Russia,69.72
Turkey,69.41
Uruguay,69.25
DR Congo,69.07
Haiti,68.93
Cyprus,68.77
Ireland,68.57
Sri Lanka,68.5
N. Caledonia,68.39
Philippines,68.3
Brazil,68.24
Iran,68.09
Czechia,68.06
Georgia,68.03
Sweden,68.01
Tr.&Tobago,67.96
Lithuania,67.86
Sudan,67.82
Venezuela,67.81
Yemen,67.64
R. of Congo,67.61
Maldives,67.49
Bhutan,67.4
Azerbaijan,67.34
Hungary,67.21
Tunisia,67.15
Egypt,67.09
UK,67.09
Latvia,66.83
Denmark,66.65
Mongolia,66.57
Afghanistan,66.51
USA,66.44
Slovakia,66.42
Palestine,66.29
Austria,66.28
Gambia,66.26
Albania,66.15
Israel,66.07
Germany,66.04
Morocco,65.95
Hong Kong,65.77
Chile,65.55
Luxembourg,65.54
Poland,65.49
Botswana,65.15
Suriname,65.07
Ivory Coast,64.89
Algeria,64.48
Lebanon,64.33
Guyana,64.1
Finland,64.03
Barbados,63.73
Ukraine,63.57
North Macedonia,63.44
Armenia,63
Bulgaria,62.64
Spain,62.41
Romania,62.34
Jordan,62.32
Serbia,62.27
Portugal,62.21
Guinea,62.19
Mauritania,62.19
Slovenia,62.19
Namibia,62.18
Montenegro,62.01
Cape Verde,61.71
Libya,60.97
South Africa,59.88
France,59.67
Nigeria,59.59
Togo,59.37
Belgium,58.81
Croatia,58.75
Eq. Guinea,58.48
Greece,58.11
Italy,57.59
Gabon,57.01
Senegal,56.73
Sierra Leone,55.92
Turkmenistan,55.59
Tonga,55.26
Comoros,54.53
Samoa,54.24
Swaziland,53.61
Bosnia & Herz.,52.35
Tajikistan,50.53
Puerto Rico,49.51
Papua N.G.,48.14
Somalia,46.98
Djibouti,44.15
Moldova,43.93
