0,1,2,3,4,5,6,7,8
Afghanistan,22,Aryana Sayeed,http://www.wikidata.org/entity/Q10944745,1,40353524.0,afghan singer,"Aryana Sayeed (Dari/Pashto: آريانا سعيد, born 1970) is an Afghan pop singer and songwriter. She sings mostly in Dari but also has many songs in Pashto and some in Uzbek. Sayeed also had hosting roles in musical television shows for the 1TV and TOLO networks along with appearances on reality shows. Sayeed has established herself as one of Afghanistan's most famous contemporary musical artists, performing regularly in concerts and philanthropic festivals within and outside Afghanistan.",https://en.wikipedia.org/wiki/Aryana_Sayeed
Albania,97,Dua Lipa,http://www.wikidata.org/entity/Q21914464,1,49002318.0,English and Albanian singer and songwriter,"Dua Lipa ( (listen) DOO-ə LEE-pə, Albanian: [ˈdua ˈlipa]; born (1995-08-22)22 August 1995) is an English and Albanian  singer and songwriter. Possessing a mezzo-soprano vocal range, Lipa has received numerous accolades, including six Brit Awards, three Grammy Awards, two MTV Europe Music Awards, an MTV Video Music Award, two Billboard Music Awards, an American Music Award, and two Guinness World Records. The songs ""No Lie"" and ""New Rules"" each have over 1 billion views on YouTube, the latter over 2.8 billion. Her two albums, Dua Lipa (2017) and Future Nostalgia (2020), are the most-streamed female albums on Spotify with over 10 billion streams each.
After working as a model, she signed with Warner Bros. Records in 2014 and released her first album in 2017. The album peaked at number three on the UK Albums Chart and yielded eight singles, including ""Be the One"", ""IDGAF"", and the UK number-one single ""New Rules"", which also peaked at number six in the US. The album has been certified platinum in numerous countries worldwide and won Lipa the Brit Awards for British Female Solo Artist and British Breakthrough Act in 2018.
Her 2018 single ""One Kiss"" peaked at number one in the UK and became the year's longest-running number-one single by a female artist, winning the 2019 Brit Award for Song of the Year. In 2019, she won the Grammy Award for Best New Artist, as well as the Grammy Award for Best Dance Recording for her Silk City collaboration ""Electricity"". Later that year, Lipa released ""Don't Start Now"" as the lead single from her second studio album. Reaching number two in the UK and US, and number four on the US year-end chart, it was the most commercially successful song by a female artist in the US in 2020. Its follow-up singles ""Physical"", ""Break My Heart"", and ""Levitating"" also charted in the top ten, with the lattermost reaching number one on the US year-end chart in 2021.
Future Nostalgia received critical acclaim and earned six Grammy nominations—including Album of the Year, Record of the Year and Song of the Year—and became her first UK number-one album. The album helped Lipa win British Female Solo Artist and British Album of the Year at the 2021 Brit Awards. She was included on the Time 100 Next list in 2021.",https://en.wikipedia.org/wiki/Dua_Lipa
Algeria,29,Souad Massi,http://www.wikidata.org/entity/Q236370,1,2597169.0,Algerian singer,"Souad Massi (Arabic: سعاد ماسي; born August 23, 1972), is an Algerian Berber singer, songwriter and guitarist. She began her career performing in the Kabyle political rock band Atakor, before leaving the country following a series of death threats. In 1999, Massi performed at the Femmes d'Algérie concert in Paris, which led to a recording contract with Island Records.
Massi's music, which prominently features the acoustic guitar, displays Western musical style influences such as rock, country or the Portuguese fado but sometimes incorporates oriental musical influences and oriental instruments like the oud as well as African musical stylings. Massi sings in Classical Arabic, Algerian Arabic,Egyptian Arabic, French, occasionally in English, and in the Kabyle Berber language, often employing more than one language in the same song.

",https://en.wikipedia.org/wiki/Souad_Massi
Andorra,27,Susanne Georgi,http://www.wikidata.org/entity/Q236034,1,10936764.0,Danish singer,"Susanne Georgi Nielsen (born 27 July 1976 in Sjølund), commonly known as Susanne Georgi, is a Danish singer who lives and works in Andorra and represented the country in the Eurovision Song Contest 2009.",https://en.wikipedia.org/wiki/Susanne_Georgi
Angola,11,Neide Van-Dúnem,http://www.wikidata.org/entity/Q4381715,1,20463412.0,"contemporary singer, songwriter, and film/television actress","Neide Núria de Sousa Van-Dúnem Vieira (born July 4, 1986), also known as Neide, is a popular Angolan contemporary singer, songwriter, and film/television actress. Born and raised in 
Luanda, Angola, Neide started her acting career in local theater in 2003, at the age of 17, being cast in the television soap ""Sede de Viver"" a year later. Her singing career officially began in 2007 with the release of the hit single ""Olá Baby"" in the compilation album Eu e Elas (vol 1), a song for which the video reached the number two spot on the MTV Africa Video Chart.",https://en.wikipedia.org/wiki/Neide_Van-D%C3%BAnem
Argentina,52,Mercedes Sosa,http://www.wikidata.org/entity/Q216450,1,476992.0,Argentine singer (1935-2009),"Haydée Mercedes Sosa (American Spanish: [meɾˌsedes ˈsosa]; 9 July 1935 – 4 October 2009), sometimes known as La Negra (lit. 'The Black One', an affectionate nickname for people with a darker complexion in Argentina), was an Argentine singer who was popular throughout Latin America and many countries outside the region. With her roots in Argentine folk music, Sosa became one of the preeminent exponents of El nuevo cancionero. She gave voice to songs written by many Latin American songwriters. Her music made people hail her as the ""voice of the voiceless ones"".Sosa performed in venues such as the Lincoln Center in New York City, the Théâtre Mogador in Paris and the Sistine Chapel in Vatican City, as well as sell-out shows in New York's Carnegie Hall and the Roman Colosseum during her final decade of life. Her career spanned four decades and she was the recipient of six Latin Grammy awards (2000, 2003, 2004, 2006, 2009, 2011), including a Latin Grammy Lifetime Achievement Award in 2004 and two posthumous Latin Grammy Award for Best Folk Album in 2009 and 2011. She won the Premio Gardel in 2000, the main musical award in Argentina. She served as an ambassador for UNICEF.

",https://en.wikipedia.org/wiki/Mercedes_Sosa
Armenia,48,Sirusho,http://www.wikidata.org/entity/Q229383,1,12060871.0,Armenian singer,"Siranush Harutyunyan (Armenian: Սիրանուշ Հարությունյան; born 7 January 1987), known professionally as Sirusho (Armenian: Սիրուշո), is an Armenian singer and songwriter. She received her first award when she was nine years old for her song ""Lusabats"". Sirusho's first studio album, Sirusho, was released in 2000; followed by the second album Sheram in 2005. In the same year, she was awarded the Future of Armenian Music, Best Album and Best Female Performer awards in the first Armenian National Music Awards.Sirusho reached international recognition after representing Armenia in the Eurovision Song Contest 2008 with her co-written song ""Qélé, Qélé"" in Belgrade, Serbia. The song finished fourth in the final and became a hit in Europe. The BBC described her as ""national treasure"" of Armenia during the contest.In 2012, Sirusho released the single ""PreGomesh"", which inspired her to launch a range of handcrafted silver jewelry of the same name, representing Armenian culture and craftsmanship mixed with modern fashion trends. Sirusho is the first Armenian artist to be twice-nominated at World Music Awards with ""PreGomesh"".In 2013, W magazine featured Sirusho in their list of ""6 un-American idols"", with the author saying ""the door is still open for Sirusho to introduce the world to a sound and language largely unknown in the West"". In 2017, Sirusho was awarded with the title of Honored Artist of Armenia upon the decree of President Serzh Sargsyan. Sirusho's musical style reflects the Armenian traditional sounds mixed with modern music.",https://en.wikipedia.org/wiki/Sirusho
Australia,111,Kylie Minogue,http://www.wikidata.org/entity/Q11998,1,16894.0,Australian singer and actress,"Kylie Ann Minogue  (; born 28 May 1968) is an Australian singer, songwriter and actress. Minogue is the highest-selling female Australian artist of all time, having sold over 80 million records worldwide. She has been recognised for reinventing herself in music as well as fashion, and is referred to by the European press as the ""Princess of Pop"" and a style icon. Her accolades include a Grammy Award, three Brit Awards and 17 ARIA Music Awards.
Born and raised in Melbourne, Minogue first achieved recognition starring in the Australian soap opera Neighbours, playing tomboy mechanic Charlene Robinson. She gained prominence as a recording artist in the late 1980s and released four bubblegum and dance-pop-influenced studio albums produced by Stock Aitken Waterman. By the early 1990s, she had amassed several top ten singles in the UK and Australia, including ""I Should Be So Lucky"", ""The Loco-Motion"", ""Hand on Your Heart"", and ""Better the Devil You Know"". Taking more creative control over her music, Minogue signed with Deconstruction Records in 1993 and released Kylie Minogue (1994) and Impossible Princess (1997), both of which received positive reviews. She returned to mainstream dance-oriented music with 2000's Light Years, including the number-one hits ""Spinning Around"" and ""On a Night Like This"". The follow-up, Fever (2001), was an international breakthrough for Minogue, becoming her best-selling album to date. Two of its singles, ""Love at First Sight"" and ""In Your Eyes"", became hits, but its lead single, ""Can't Get You Out of My Head"" became one of the most successful singles of the 2000s, selling over five million units.
Minogue continued reinventing her image and experimenting with a range of genres on her subsequent albums, which spawned successful singles such as ""Slow"", ""2 Hearts"", ""All the Lovers"", ""Santa Baby"", ""Timebomb"" and ""Dancing"". With her 2020 album Disco, she became the first female artist to have a chart-topping album in the UK for five consecutive decades. Minogue made her film debut in The Delinquents (1989) and portrayed Cammy in Street Fighter (1994). She has also appeared in the films Moulin Rouge! (2001), Jack & Diane, Holy Motors (2012) and San Andreas (2015). In 2014, she appeared as a judge on the third series of The Voice UK and The Voice Australia. Her other ventures include product endorsements, children's books, fashion, and charitable work.
Minogue was appointed an Officer of the Order of the British Empire in the 2008 New Year Honours for services to music. She was appointed by the French government as a Chevalier (knight) of the Ordre des Arts et des Lettres for her contribution to the enrichment of French culture. While touring in 2005, Minogue was diagnosed with breast cancer. She was awarded an honorary Doctor of Health Science (D.H.Sc.) degree by Anglia Ruskin University in 2011 for her work in raising awareness for breast cancer. At the 2011 ARIA Music Awards, Minogue was inducted by the Australian Recording Industry Association into the ARIA Hall of Fame. She was appointed Officer of the Order of Australia (AO) in the 2019 Australia Day Honours.",https://en.wikipedia.org/wiki/Kylie_Minogue
Austria,167,Anna Netrebko,http://www.wikidata.org/entity/Q78516,1,2293506.0,Russian-born Austrian operatic soprano,"Anna Yuryevna Netrebko (Russian: Анна Юрьевна Нетребко; born 18 September 1971) is a Russian-Austrian operatic soprano with an active international career who has  performed prominently at the Salzburg Festival, Metropolitan Opera, Vienna State Opera, and The Royal Opera.
Discovered and promoted by Valery Gergiev, she began her career at the Mariinsky Theatre, collaborating with the conductor in the theater and performances elsewhere. She was noticed globally after playing Donna Anna in Mozart's Don Giovanni at the 2002 Salzburg Festival. She had been known for her rendition of lyric and coloratura soprano roles but proceeded into heavier 19th-century romantic roles, such as Leonora in Il trovatore and the role of Lady Macbeth in Macbeth. Since 2016, she has turned her focus to verismo repertoire. In 2015 she married Azerbaijani tenor Yusif Eyvazov, with whom she has been performing frequently since.
She has been an exclusive artist for Deutsche Grammophon since 2002. She has won multiple Echo Klassik Awards, and was included on the  Time 100 list in 2007. She was named a People's Artist of Russia in 2008, and an Austrian Kammersängerin in 2017.

",https://en.wikipedia.org/wiki/Anna_Netrebko
Azerbaijan,41,Sabina Babayeva,http://www.wikidata.org/entity/Q375662,1,34709981.0,singer from Azerbaijan,"Sabina Babayeva (Azerbaijani: Səbinə Babayeva; born 2 December 1979, Baku) is an Azerbaijani singer. She represented Azerbaijan in the grand final of the Eurovision Song Contest 2012, held in Baku, Azerbaijan on 26 May 2012, with the song ""When the Music Dies"", as the 13th act, and finished 4th overall.

",https://en.wikipedia.org/wiki/Sabina_Babayeva
