Finland,98.8
Australia,98.2
Sweden,98.2
Iceland,98.1
Norway,97.9
New Zealand,97.4
Canada,94.8
Ireland,94
Switzerland,90.6
France,88.1
Luxembourg,87.2
Japan,85.9
Denmark,85.5
United Kingdom,84.7
Portugal,84.4
United States of America,84.2
Netherlands,82.4
Austria,81.3
Germany,81.1
Belgium,80.7
Estonia,80.3
Spain,80.2
Malta,77.6
Singapore,76.9
Israel,76.5
Italy,75.9
Cyprus,73.1
South Korea,71.7
Brunei Darussalam,68.4
Uruguay,67.7
Greece,67.5
Barbados,66
Lithuania,62.7
Slovenia,60.9
Czech Republic,58.8
Jordan,58
Antigua and Barbuda,57.5
Trinidad and Tobago,57.2
Argentina,56.9
Costa Rica,56.2
Slovakia,56.2
Chile,56.1
Panama,56
Bahamas,55.6
Kuwait,55
Latvia,54.8
Russia,54.1
Cuba,53.9
Seychelles,53.6
Taiwan,53.2
Venezuela,51.3
Maldives,51.2
Mauritius,51.1
Croatia,50.8
Malaysia,50.3
Brazil,50
Belarus,49.9
Turkey,49.5
Iran,49.2
Colombia,49.1
Ecuador,48.7
Tunisia,48.7
Qatar,48.6
United Arab Emirates,48.6
Lebanon,47.8
Paraguay,47
Saint Lucia,46.3
Peru,46
Algeria,45.3
Poland,44.7
Moldova,44.3
Dominica,44.2
Jamaica,43.6
Romania,43.6
Grenada,42.9
Hungary,42.8
El Salvador,42.6
Saint Vincent and the Grenadines,42.6
Turkmenistan,42
Nicaragua,41.7
Albania,41.2
Bahrain,41.2
Mexico,40.8
Mozambique,40.7
Thailand,40.6
Ukraine,39.8
Malawi,39.6
Tonga,39.5
Belize,39.4
Ethiopia,38
Sri Lanka,37.8
Comoros,37.7
Dominican Republic,37.4
Saudi Arabia,37.4
Suriname,37.4
Oman,36.4
Armenia,36.3
Iraq,36.3
Madagascar,36.1
Burundi,36
Tanzania,35.8
Honduras,35.4
Egypt,35.3
Kenya,34.9
Guatemala,34.3
Montenegro,33.9
Papua New Guinea,33.9
Serbia,33.6
Timor-Leste,33.6
Samoa,33.4
Bulgaria,33
Uganda,32.6
Marshall Islands,32.5
Bolivia,32.4
Kazakhstan,32
Viet Nam,32
Guyana,31.9
Bosnia and Herzegovina,31.6
Georgia,31.1
Haiti,31.1
Liberia,30.9
Rwanda,30.9
Philippines,30.4
Niger,30.3
Cambodia,30.1
Fiji,30
Dem. Rep. Congo,29.9
Kiribati,29.2
Mali,29.2
Micronesia,29
Burkina Faso,28.9
South Africa,28.9
Vanuatu,28.6
Gabon,28.2
Laos,27.8
Zimbabwe,27.2
China,27.1
Kyrgyzstan,27
Morocco,27
Solomon Islands,27
Zambia,27
Angola,26.8
Chad,26.8
Indonesia,26.8
Cabo Verde,26.5
North Macedonia,26.5
Benin,25.6
Senegal,25.4
Sierra Leone,25.1
Azerbaijan,24.9
Guinea,24.7
Equatorial Guinea,24.6
Sao Tome and Principe,24.6
Bhutan,24.4
Namibia,24.4
Togo,24.1
Gambia,23.9
Mauritania,22.4
Eritrea,22.1
Guinea-Bissau,22.1
Central African Republic,22
Djibouti,21.1
Eswatini,21.1
Myanmar,20.7
Cote d'Ivoire,20.3
Bangladesh,20.2
Republic of Congo,20
Botswana,19.7
Ghana,18
Nigeria,18
Afghanistan,17.7
Sudan,17.6
Mongolia,17.4
Cameroon,16.4
Lesotho,15.3
Tajikistan,15.2
Uzbekistan,15
Nepal,14.6
India,13.4
Pakistan,9.9
