0,1
 United States,275 232
 China,208 418
 United Kingdom,186 000
 Japan,139 078
 Indonesia,135 081
 Italy,125 948
 Russia,115 171
 France,106 799
 Iran,102 691
 India,90 000
 Turkey,88 975
 Spain,83 622
 Germany,79 916
 South Korea,63 476
 Brazil,46 829
 Taiwan,28 084
 Vietnam,24 589
 Ukraine,24 416
 Egypt,23 000
 Poland,21 130
 Australia,19 241
 Portugal,18 925
 Mexico,18 713
 Colombia,17 066
 Netherlands,16 502
 Czechia,16 474
 Malaysia,15 354
 Romania,14 984
 Serbia,14 901
 Hong Kong,14 603
 Norway,14 114
 Belgium,13 913
 Bulgaria,12 194
 Switzerland,12 156
 Singapore,12 000
 Argentina,11 514
 Denmark,10 715
 Canada,10 433
 Finland,10 208
 Hungary,9 589
 Greece,9 583
 Slovakia,9 400
 Austria,8 711
 Israel,8 411
 Belarus,8 205
 Sweden,8 118
 Chile,7 058
 Peru,6 885
 Thailand,6 750
 Estonia,5 809
 South Africa,5 418
 Slovenia,5 076
 Moldova,4 559
 Ecuador,4 153
 Sri Lanka,4 115
 Algeria,3 955
 Pakistan,3 811
 Morocco,3 677
 Myanmar,3 660
 Lithuania,3 479
 Uruguay,3 231
 Afghanistan,2 795
 New Zealand,2 526
 Saudi Arabia,2 387
 Latvia,2 375
 Venezuela,2 275
 Costa Rica,2 158
 Lebanon,2 000
 Luxembourg,2 000
 Dominican Republic,1 866
 Ireland,1 773
 Iceland,1 767
 Bolivia,1 578
 Philippines,1 507
 Kyrgyzstan,1 455
 Nigeria,1 314
 Kazakhstan,1 226
 Syria,1 138
 Guatemala,1 042
 Paraguay,1 007
 Uzbekistan,1 003
 Eritrea,970
 Panama,940
 Cyprus,930
 Cuba,728
 Tunisia,720
 El Salvador,661
 Georgia,581
 Azerbaijan,542
 Jordan,511
 Malta,511
 Turkmenistan,450
 Fiji,401
 Armenia,396
 Albania,390
 Kenya,300
 United Arab Emirates,293
 Uganda,288
 Mongolia,285
 Ethiopia,240
 Zimbabwe,232
  Vatican City,228
 Qatar,209
 Kuwait,196
 Tanzania,172
 Botswana,158
 Tajikistan,132
 Papua New Guinea,122
 Madagascar,119
 Malawi,117
 Palestine,114
 Namibia,106
 Honduras,102
 Brunei,91
 Laos,88
 Benin,84
 Mauritius,80
 Réunion,69
 Democratic Republic of the Congo,64
 Andorra,57
 Suriname,47
 American Samoa,46
 Guyana,42
 Monaco,41
 Bahrain,40
 Ghana,28
 Nicaragua,27
 Libya,26
 Angola,22
 Gambia,14
 Mali,14
 Burkina Faso,12
 Oman,7
