country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,22.0,Aryana Sayeed,http://www.wikidata.org/entity/Q10944745,wd:Q10944745,40353524,afghan singer
Afghanistan,22.0,Ahmad Zahir,http://www.wikidata.org/entity/Q195522,wd:Q195522,974608,Afghan singer (1946-1979)
Afghanistan,17.0,Sonita Alizadeh,http://www.wikidata.org/entity/Q20110468,wd:Q20110468,48337541,Afghan rapper and activist
Afghanistan,13.0,Farhad Darya,http://www.wikidata.org/entity/Q741679,wd:Q741679,1969571,Afghan singer/writer/composer/philanthropist
Afghanistan,12.0,Dawood Sarkhosh,http://www.wikidata.org/entity/Q4347166,wd:Q4347166,4260746,Hazara singer and musician from Afghanistan
Afghanistan,11.0,Soosan Firooz,http://www.wikidata.org/entity/Q7562761,wd:Q7562761,38797361,Afghan actress and rapper
Afghanistan,10.0,Naghma,http://www.wikidata.org/entity/Q3918308,wd:Q3918308,5653959,Afghan singer
Afghanistan,8.0,Nashenas,http://www.wikidata.org/entity/Q380162,wd:Q380162,7019239,Afghan musician (born 1935)
Afghanistan,8.0,Seeta Qasemi,http://www.wikidata.org/entity/Q16222397,wd:Q16222397,41695296,Afghan singer
Afghanistan,8.0,Nasrat Parsa,http://www.wikidata.org/entity/Q337491,wd:Q337491,1874691,Afghan singer (1968-2005)
Afghanistan,8.0,Qasem Jo,http://www.wikidata.org/entity/Q2121416,wd:Q2121416,62793038,Afghan musician (1878–1957)
Afghanistan,7.0,Amir-Jan Sabori,http://www.wikidata.org/entity/Q472198,wd:Q472198,14751971,Afghan musician
Afghanistan,7.0,Paradise Sorouri,http://www.wikidata.org/entity/Q25422922,wd:Q25422922,,
Afghanistan,7.0,Mermen Qamar Gul,http://www.wikidata.org/entity/Q7266402,wd:Q7266402,23949667,Afghan Pioneer artis
Afghanistan,7.0,Sarban,http://www.wikidata.org/entity/Q2224651,wd:Q2224651,7467159,Afghan singer
Afghanistan,7.0,Farid Zaland,http://www.wikidata.org/entity/Q1396681,wd:Q1396681,9698063,"Iranian and Afghan musician, composer and producer"
Afghanistan,7.0,Ehsan Aman,http://www.wikidata.org/entity/Q933314,wd:Q933314,7475906,Afghan tennis player and singer
Afghanistan,7.0,Hangama,http://www.wikidata.org/entity/Q539848,wd:Q539848,8570289,Afghan singer
Afghanistan,7.0,Ahmad Wali,http://www.wikidata.org/entity/Q400849,wd:Q400849,33437397,Afghan singer
Afghanistan,6.0,Mojgan Azimi,http://www.wikidata.org/entity/Q61063667,wd:Q61063667,68796340,Afghan singer
Albania,93.0,Dua Lipa,http://www.wikidata.org/entity/Q21914464,wd:Q21914464,49002318,English and Albanian singer and songwriter
United Kingdom,93.0,Dua Lipa,http://www.wikidata.org/entity/Q21914464,wd:Q21914464,49002318,English and Albanian singer and songwriter
