0,1,2
United Arab Emirates,3.67,Emirati dirham
Afghanistan,88.27,Afghan afghani
Albania,117.47,Albanian lek
Armenia,387.08,Armenian dram
Netherlands Antilles,1.79,Netherlands Antillean guilder
Angola,484.97,Angolan kwanza
Argentina,159.33,Argentine peso
Australia,1.55,Australian dollar
Aruba,1.79,Aruban florin
Azerbaijan,1.7,Azerbaijani manat
Bosnia and Herzegovina,1.96,Bosnia and Herzegovina convertible mark
Barbados,2,Barbadian dollar
Bangladesh,101.08,Bangladeshi taka
Bulgaria,1.96,Bulgarian lev
Bahrain,0.38,Bahraini dinar
Burundi,"2,039.50",Burundi franc
Bermuda,1,Bermudian dollar
Brunei,1.4,Bruneian dollar
Bolivia,6.8,Bolivian boliviano
Brazil,5.12,Brazilian real
The Bahamas,1,Bahamian dollar
Bhutan,81.93,Bhutanese ngultrum/Indian rupee
Botswana,13.23,Botswana pula
Belarus,2.53,Belarusian third rubel
Belize,1.99,Belizean dollar
Canada,1.35,Canadian dollar
"Congo, Democratic Republic of the","2,047.16",Congolese franc
Switzerland,0.99,Swiss franc
Chile,919.31,Chilean peso
"China, People's Republic of",7.23,Renminbi
Colombia,"5,105.07",Colombian peso
Costa Rica,612.34,Costa Rican colon
Cuba,23.64,Cuban peso
Cape Verde,110.3,Cape Verdean escudo
Czech Republic,24.32,Czech koruna
Djibouti,177.78,Djiboutian franc
"Denmark, Faroe Islands, Greenland",7.44,Danish krone
Dominican Republic,53.31,Dominican peso
Algeria,140.29,Algerian dinar
Egypt,24.32,Egyptian pound
Eritrea,15,Eritrean nakfa
Ethiopia,52.91,Ethiopian birr
Fiji,2.28,Fijian dollar
Falkland Islands,0.87,Falkland Islands pound
United Kingdom,0.87,Sterling
Georgia,2.72,Georgian lari
Ghana,14.06,Ghanaian cedi
Gibraltar,0.87,Gibraltar pound
The Gambia,61.01,Gambian dalasi
Guinea,"8,478.73",Guinean franc
Guatemala,7.7,Guatemalan quetzal
Guyana,205.69,Guyanese dollar
Hong Kong,7.85,Hong Kong dollar
Honduras,24.34,Honduran lempira
Croatia,7.54,Croatian kuna
Haiti,129.03,Haitian gourde
Hungary,400.21,Hungarian forint
Indonesia,"15,675.03",Indonesian rupiah
"Israel, West Bank",3.55,new Israeli shekel
India,81.93,Indian rupee
Iraq,"1,459.19",Iraqi dinar
Iran,"42,237.27",Iranian rial
