0,1
United States,13513
Brazil,4093
Mexico,1714
Canada,1467
Russia,1218
Argentina,916
Bolivia,855
Colombia,836
Paraguay,799
Indonesia,673
Papua New Guinea,561
Germany,539
China,507
Chile,481
France,464
United Kingdom,460
Venezuela,444
Ecuador,432
Australia,418
South Africa,407
India,346
Iran,319
Guatemala,291
Philippines,247
Sweden,231
Saudi Arabia,214
Democratic Republic of the Congo,198
Kenya,197
Zimbabwe,196
Peru,191
Ukraine,187
Japan,175
Tanzania,166
Costa Rica,161
Pakistan,151
Algeria,149
Finland,148
Nicaragua,147
Libya,146
Spain,135
Uruguay,133
Cuba,133
Oman,132
Italy,129
Czech Republic,128
Poland,126
New Zealand,123
Panama,117
Guyana,117
Malaysia,114
Namibia,112
South Korea,111
Honduras,103
Iraq,102
Angola,102
Thailand,101
Turkey,98
Mozambique,98
Kazakhstan,96
Iceland,96
Norway,95
Syria,90
South Sudan,89
Zambia,88
Madagascar,83
Egypt,83
North Korea,82
Denmark,80
Greece,77
Botswana,74
Croatia,69
Bulgaria,68
El Salvador,68
Sudan,67
Belarus,65
Myanmar,64
Portugal,64
Switzerland,63
Lithuania,61
Chad,59
Ethiopia,57
Yemen,57
Suriname,55
Morocco,55
French Polynesia,54
Bahamas,54
Nigeria,54
Uzbekistan,53
Somalia,52
Austria,50
Belize,47
Nepal,47
Uganda,47
Afghanistan,46
Vietnam,45
Romania,45
Gabon,44
Mongolia,44
United Arab Emirates,43
Latvia,42
Israel,42
Hungary,41
Laos,41
Belgium,41
Ireland,40
Central African Republic,39
Taiwan,37
Dominican Republic,36
Solomon Islands,36
Slovakia,35
Cameroon,33
Malawi,32
Vanuatu,31
Niger,30
Mauritania,30
Liberia,29
Netherlands,29
Puerto Rico,29
Tunisia,29
Kyrgyzstan,28
Jamaica,28
Fiji,28
Republic of the Congo,27
Turkmenistan,26
Serbia,26
New Caledonia,25
Mali,25
Lesotho,24
Bosnia and Herzegovina,24
Tajikistan,24
Burkina Faso,23
Azerbaijan,23
Georgia,22
Senegal,20
Kiribati,19
Jordan,18
Bangladesh,18
Sri Lanka,18
Estonia,18
Antarctica,17
Cambodia,16
Guinea,16
Slovenia,16
Marshall Islands,15
Greenland,15
Haiti,14
Seychelles,14
Eswatini,14
Eritrea,13
Djibouti,13
Cook Islands,11
Ghana,10
North Macedonia,10
Cape Verde,9
Singapore,9
Maldives,9
Guinea-Bissau,8
Spratly Islands,8
Sierra Leone,8
Turks and Caicos Islands,8
Togo,8
Lebanon,8
Kuwait,7
Moldova,7
Equatorial Guinea,7
Falkland Islands,7
Burundi,7
Armenia,7
Rwanda,7
Qatar,6
Timor-Leste,6
Tonga,6
Saint Vincent and the Grenadines,6
Western Sahara,6
Benin,6
Micronesia,6
Kosovo,6
Montenegro,5
Mauritius,5
Guam,5
Northern Mariana Islands,5
Comoros,4
Bahrain,4
French Southern and Antarctic Lands,4
British Virgin Islands,4
Samoa,4
Trinidad & Tobago,4
Svalbard,4
Palau,3
Grenada,3
American Samoa,3
Albania,3
Antigua & Barbuda,3
Cayman Islands,3
Dominica,2
Bhutan,2
Guernsey,2
Hong Kong,2
Luxembourg,2
Sao Tome & Principe,2
Saint Helena,2
Saint Pierre and Miquelon,2
Saint Kitts and Nevis,2
Saint Lucia,2
Virgin Islands,2
West Bank,2
Wallis and Futuna,2
Wake Island,1
Saint Barthelemy,1
Tuvalu,1
Saint Martin,1
Niue,1
Norfolk Island,1
Nauru,1
Paracel Islands,1
Macao,1
Montserrat,1
Malta,1
Christmas Island,1
Jan Mayen,1
Gaza Strip,1
Isle of Man,1
British Indian Ocean Territory,1
Jersey,1
Gambia,1
Gibraltar,1
Brunei,1
Aruba,1
Barbados,1
Bermuda,1
Anguilla,1
Akrotiri,1
Faroe Islands,1
Cocos  Islands,1
Ivory Coast,34
