country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,18,Nasrin Oryakhil,http://www.wikidata.org/entity/Q18001537,wd:Q18001537,43750807,Afghanistani gynecologist and obstetrician
Albania,11,Sehadete Mekuli,http://www.wikidata.org/entity/Q16594585,wd:Q16594585,41058952,Albanian physician
Algeria,20,Émile Boirac,http://www.wikidata.org/entity/Q18436,wd:Q18436,1127945,"French philosopher, parapsychologist, promoter of Esperanto and writer"
Andorra,4,Vanessa Mendoza Cortés,http://www.wikidata.org/entity/Q108179004,wd:Q108179004,69312321,Andorran activist
Angola,8,Fernando Nobre,http://www.wikidata.org/entity/Q3069519,wd:Q3069519,10302207,physician
Antigua and Barbuda,28,Rodney Williams,http://www.wikidata.org/entity/Q17566330,wd:Q17566330,43586519,Governor-General of Antigua and Barbuda (born 1947)
Argentina,62,Bernardo Houssay,http://www.wikidata.org/entity/Q237160,wd:Q237160,252453,Argentine physician (1887-1971)
Armenia,17,Adelaida Avagyan,http://www.wikidata.org/entity/Q4681651,wd:Q4681651,36912611,hygienist
Australia,62,Howard Florey,http://www.wikidata.org/entity/Q137106,wd:Q137106,40494,Australian pathologist (1898-1968)
Austria,107,Alfred Adler,http://www.wikidata.org/entity/Q152393,wd:Q152393,81590,Austrian psychiatrist and psychotherapist (1870-1937)
Azerbaijan,17,Zarifa Aliyeva,http://www.wikidata.org/entity/Q4062333,wd:Q4062333,33913631,Azerbaijani ophthalmologist (1923-1985)
Bahrain,2,Mariam Al Jalahma,http://www.wikidata.org/entity/Q96464767,wd:Q96464767,64322725,"Bahraini physician, civil servant and politician"
Bangladesh,10,Anukulchandra Chakraborty,http://www.wikidata.org/entity/Q3349646,wd:Q3349646,61235661,founder of Satsang ashram
Barbados,13,Edward L. Atkinson,http://www.wikidata.org/entity/Q476650,wd:Q476650,15022348,Royal Navy surgeon and Antarctic explorer (1881-1929)
Belarus,79,Lev Vygotsky,http://www.wikidata.org/entity/Q180819,wd:Q180819,95176,Soviet psychologist
Belgium,79,Andreas Vesalius,http://www.wikidata.org/entity/Q170267,wd:Q170267,32491,"Flemish anatomist, physician and author (1514–1564)"
Benin,3,Léopold K. Fakambi,http://www.wikidata.org/entity/Q108309762,wd:Q108309762,68615064,Beninese agricultural engineer (1942-2021)
Bhutan,2,Pema Dorji,http://www.wikidata.org/entity/Q4166591,wd:Q4166591,21433532,Bhutanese doctor
Bolivia,10,Amelia Villa,http://www.wikidata.org/entity/Q4742315,wd:Q4742315,35375380,female physician from Bolivia
Bosnia and Herzegovina,16,Vasa Pelagić,http://www.wikidata.org/entity/Q1262144,wd:Q1262144,31593135,"Bosnian Serb writer, physician, educator, clergyman, nationalist"
Botswana,9,Sheila Tlou,http://www.wikidata.org/entity/Q859625,wd:Q859625,6338908,"Motswana politician, health specialist and nurse"
Brazil,56,Peter Medawar,http://www.wikidata.org/entity/Q214209,wd:Q214209,172002,"UK biologist, 1915–1987"
Bulgaria,23,Stamen Grigorov,http://www.wikidata.org/entity/Q382140,wd:Q382140,3025715,Bulgarian physician and microbiologist (1878-1945)
Burkina Faso,3,Florentine Van Espen,http://www.wikidata.org/entity/Q91465763,wd:Q91465763,,
Burundi,6,Augusta Chiwy,http://www.wikidata.org/entity/Q4820899,wd:Q4820899,28434483,Belgian nurse
Cambodia,3,Yajnavaraha,http://www.wikidata.org/entity/Q4536315,wd:Q4536315,17577941,Cambodian royal physician
Cameroon,12,Ingeborg Rapoport,http://www.wikidata.org/entity/Q887122,wd:Q887122,46712232,German physician and East German communist functionary (1912-2017)
Canada,76,Jordan Peterson,http://www.wikidata.org/entity/Q6276882,wd:Q6276882,30483032,Canadian clinical psychologist (born 1962)
Cape Verde,6,Roberto Duarte Silva,http://www.wikidata.org/entity/Q904665,wd:Q904665,38404282,Portuguese chemist
Central African Republic,2,Jean Blancou,http://www.wikidata.org/entity/Q3170796,wd:Q3170796,34287282,French veterinarian
Chad,7,Grace Kodindo,http://www.wikidata.org/entity/Q24565239,wd:Q24565239,63216658,Chadian obstetrician-gynecologist
