0,1,2,3,4,5,6,7,8
Afghanistan,42,Vasubandhu,http://www.wikidata.org/entity/Q316343,wd:Q316343,304972.0,4th/5th century Indian Buddhist monk,"Vasubandhu (traditional Chinese: 世親; ; pinyin: Shìqīn; Devanagari: वसुबंधु;  Tibetan: དབྱིག་གཉེན་ Wylie: dbyig gnyen; fl. 4th to 5th century CE) was an influential Buddhist monk and scholar from Puruṣapura in ancient India, modern day Peshawar, Pakistan. He was a philosopher who wrote commentary on the Abhidharma, from the perspectives of the Sarvastivada and Sautrāntika schools. After his conversion to Mahayana Buddhism, along with his half-brother, Asanga, he was also one of the main founders of the Yogacara school.
Vasubandhu's Abhidharmakośakārikā (""Commentary on the Treasury of the Abhidharma"") is widely used in Tibetan and East Asian Buddhism, as the major source for non-Mahayana Abhidharma philosophy. His philosophical verse works set forth the standard for the Indian Yogacara metaphysics of ""appearance only"" (vijñapti-mātra), which has been described as a form of ""epistemological idealism"",  phenomenology and close to Immanuel Kant's transcendental idealism. Apart from this, he wrote several commentaries, works on logic,  argumentation and devotional poetry.
Vasubandhu is one of the most influential thinkers in the Indian Buddhist philosophical tradition. In Jōdo Shinshū, he is considered the Second Patriarch; in Chan Buddhism, he is the 21st Patriarch.",https://en.wikipedia.org/wiki/Vasubandhu
Albania,182,Mother Teresa,http://www.wikidata.org/entity/Q30547,wd:Q30547,347105.0,Albanian-Indian Catholic nun and missionary (1910–1997),"Mary Teresa Bojaxhiu, MC (pronounced [bɔjaˈdʒiu]; 26 August 1910 – 5 September 1997), better known as Mother Teresa (Albanian: Nënë Tereza), was an Albanian-Indian Catholic nun who, in 1950, founded the Missionaries of Charity. Anjezë Gonxhe Bojaxhiu (pronounced [aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu]) was born in  Skopje—at the time, part of the Ottoman Empire. After eighteen years, she moved to Ireland and then to India, where she lived most of her life. Saint Teresa of Calcutta was canonised on 4 September 2016. The anniversary of her death is her feast day.
After Mother Teresa founded her religious congregation, it grew to have over 4,500 nuns and was active in 133 countries as of 2012. The congregation manages homes for people who are dying of HIV/AIDS, leprosy, and tuberculosis. The congregation also runs soup kitchens, dispensaries, mobile clinics, children's and family counselling programmes, as well as orphanages and schools. Members take vows of chastity, poverty, and obedience and also profess a fourth vow: to give ""wholehearted free service to the poorest of the poor.""Mother Teresa received several honours, including the 1962 Ramon Magsaysay Peace Prize and the 1979 Nobel Peace Prize. A controversial figure during her life and after her death, Mother Teresa was admired by many for her charitable work. She was praised and criticised on various counts, such as for her views on abortion and contraception, and was criticized for poor conditions in her houses for the dying. Her authorized biography was written by Navin Chawla and published in 1992, and she has been the subject of other books as well as films. On 6 September 2017, Mother Teresa and Saint Francis Xavier were named co-patrons of the Roman Catholic Archdiocese of Calcutta.",https://en.wikipedia.org/wiki/Mother_Teresa
Algeria,206,Augustine of Hippo,http://www.wikidata.org/entity/Q8018,wd:Q8018,2030.0,"early Christian theologian, philosopher and Church Father","Augustine of Hippo ( aw-GUST-in, US also  AW-gə-steen; Latin: Aurelius Augustinus Hipponensis; 13 November 354 – 28 August 430), also known as Saint Augustine, was a theologian and philosopher of Berber origin and the bishop of Hippo Regius in Numidia, Roman North Africa. His writings influenced the development of Western philosophy and Western Christianity, and he is viewed as one of the most important Church Fathers of the Latin Church in the Patristic Period. His many important works include The City of God, On Christian Doctrine, and Confessions.
According to his contemporary, Jerome, Augustine ""established anew the ancient Faith"". In his youth he was drawn to the eclectic Manichaean faith, and later to the Hellenistic philosophy of Neoplatonism. After his conversion to Christianity and baptism in 386, Augustine developed his own approach to philosophy and theology, accommodating a variety of methods and perspectives. Believing the grace of Christ was indispensable to human freedom, he helped formulate the doctrine of original sin and made significant contributions to the development of just war theory. When the Western Roman Empire began to disintegrate, Augustine imagined the Church as a spiritual City of God, distinct from the material Earthly City. The segment of the Church that adhered to the concept of the Trinity as defined by the Council of Nicaea and the Council of Constantinople closely identified with Augustine's On the Trinity.
Augustine is recognized as a saint in the Catholic Church, the Eastern Orthodox Church, and the Anglican Communion. He is also a preeminent Catholic Doctor of the Church and the patron of the Augustinians. His memorial is celebrated on 28 August, the day of his death. Augustine is the patron saint of brewers, printers, theologians, and a number of cities and dioceses. His thoughts profoundly influenced the medieval worldview. Many Protestants, especially Calvinists and Lutherans, consider him one of the theological fathers of the Protestant Reformation due to his teachings on salvation and divine grace. Protestant Reformers generally, and Martin Luther in particular, held Augustine in preeminence among early Church Fathers. From 1505 to 1521, Luther was a member of the Order of the Augustinian Eremites.
In the East, his teachings are more disputed, and were notably attacked by John Romanides, but other theologians and figures of the Eastern Orthodox Church have shown significant approbation of his writings, chiefly Georges Florovsky. The most controversial doctrine associated with him, the filioque, was rejected by the Eastern Orthodox Church. Other disputed teachings include his views on original sin, the doctrine of grace, and predestination. Though considered to be mistaken on some points, he is still considered a saint and has influenced some Eastern Church Fathers, most notably Gregory Palamas. In the Greek and Russian Orthodox Churches, his feast day is celebrated on 15 June. The historian Diarmaid MacCulloch has written: ""Augustine's impact on Western Christian thought can hardly be overstated; only his beloved example, Paul of Tarsus, has been more influential, and Westerners have generally seen Paul through Augustine's eyes.""

",https://en.wikipedia.org/wiki/Augustine_of_Hippo
Andorra,51,Joan Enric Vives Sicília,http://www.wikidata.org/entity/Q57473,wd:Q57473,392266.0,Archbishop of Urgell and Co-Prince of Andorra,"Joan-Enric Vives i Sicília (Catalan pronunciation: [ʒuˈan ənˈriɡ ˈbiβəz i siˈsili.ə]; born 24 July 1949) is a Spanish cleric, who has served as Bishop of Urgell since 2003, and is therefore the Co-Prince of Andorra. This makes him a joint-head-of-state (alongside the President of France) and one of the two Catholic religious figures in the world who also leads a country, the other such prelate being the Pope himself (who leads Vatican City). 
He holds the rank of archbishop as a personal distinction, his diocese being a suffragan diocese.

",https://en.wikipedia.org/wiki/Joan_Enric_Vives_i_Sic%C3%ADlia
Angola,38,José Manuel Imbamba,http://www.wikidata.org/entity/Q1709402,wd:Q1709402,47657175.0,Angolan Roman Catholic archbishop and university teacher,"José Manuel Imbamba (born 7 January 1965 in Boma, Moxico Province, Angola) is an Angolan priest and the archbishop of Saurímo since 12 April 2011.",https://en.wikipedia.org/wiki/Jos%C3%A9_Manuel_Imbamba
Antigua and Barbuda,4,George Alexander McGuire,http://www.wikidata.org/entity/Q5536158,wd:Q5536158,14287316.0,American bishop,"George Alexander McGuire (28 March 1866 – 10 November 1934) is best known for his prominence in Marcus Garvey's Universal Negro Improvement Association (UNIA). McGuire was elected in 1920 as Chaplain-General of the UNIA and wrote important documents about black ritual and catechism, drawing from his knowledge of religion and African history. Both he and Garvey were immigrants to the United States from Caribbean islands who had a vision of Pan-African goals.
In addition McGuire was known for his other religious contributions. Already a minister in the Moravian Church when he immigrated in 1894 to the US, McGuire soon joined the Episcopal Church. He was ordained in 1897 as an Episcopal priest. An early member of the American Negro Historical Society in Philadelphia, McGuire became more concerned about developing institutions that supported persons of African ancestry. In 1921 McGuire founded the African Orthodox Church (AOC); and he was consecrated that year as its first bishop, serving until his death in 1934. During his tenure, new congregations were started in several cities in the US, Canada, the Caribbean, and in East Africa.
McGuire envisioned the AOC as a home for Blacks of Episcopal belief who wanted ecclesiastical independence. It was based on Christian tradition and Apostolic succession. Orthodoxy attracted persons of African descent because it had not been implicated in colonialism or slavery.",https://en.wikipedia.org/wiki/George_Alexander_McGuire
Argentina,205,Pope Francis,http://www.wikidata.org/entity/Q450675,wd:Q450675,1687680.0,266th pope of the Catholic Church,"Pope Francis (Latin: Franciscus; Italian: Francesco; Spanish: Francisco; born Jorge Mario Bergoglio, 17 December 1936) is the head of the Catholic Church, the bishop of Rome and sovereign of the Vatican City State. Francis is the first pope to be a member of the Society of Jesus, the first from the Americas, the first from the Southern Hemisphere, and the first pope from outside Europe since Gregory III, a Syrian who reigned in the 8th century.
Born in Buenos Aires, Argentina, Bergoglio worked for a time as a bouncer and a janitor as a young man before training to be a chemist and working as a technician in a food science laboratory. After recovering from a severe illness, he was inspired to join the Society of Jesus (Jesuits) in 1958. He was ordained a Catholic priest in 1969, and from 1973 to 1979 was the Jesuit provincial superior in Argentina. He became the Archbishop of Buenos Aires in 1998 and was created a cardinal in 2001 by Pope John Paul II. He led the Argentine Church during the December 2001 riots in Argentina. The administrations of Néstor Kirchner and Cristina Fernández de Kirchner considered him to be a political rival. Following the resignation of Pope Benedict XVI on 28 February 2013, a papal conclave elected Bergoglio as his successor on 13 March. He chose Francis as his papal name in honor of Saint Francis of Assisi. Throughout his public life, Francis has been noted for his humility, emphasis on God's mercy, international visibility as pope, concern for the poor, and commitment to interreligious dialogue. He is credited with having a less formal approach to the papacy than his predecessors, for instance choosing to reside in the Domus Sanctae Marthae guesthouse rather than in the papal apartments of the Apostolic Palace used by previous popes.
Francis maintains the views of the church regarding the ordination of women as priests, but has initiated dialogue on the possibility of deaconesses and has made women full members of dicasteries in the Roman Curia. He maintains that the church should be more open and welcoming for members of the LGBT community. Francis is an outspoken critic of unbridled capitalism and free market economics, consumerism, and overdevelopment; he advocates taking action on climate change, a focus of his papacy with the promulgation of Laudato si'. In international diplomacy, he helped to restore full diplomatic relations between the United States and Cuba, supported the cause of refugees during the European and Central American migrant crises, and made a deal with China to define how much influence the nation has in appointing their Catholic bishops. He has faced criticism from theological conservatives on many questions, especially what some interpret as his suggestion in a footnote of Amoris Laetitia that divorced and remarried Catholics may be admitted to receive the Eucharist.",https://en.wikipedia.org/wiki/Pope_Francis
Armenia,43,Gregory the Illuminator,http://www.wikidata.org/entity/Q309953,wd:Q309953,12651.0,Patron saint of the Armenian Apostolic Church (c.257-c.331),"Gregory the Illuminator (classical Armenian: Գրիգոր Լուսաւորիչ, reformed spelling: Գրիգոր Լուսավորիչ, Grigor Lusavorich;  c. 257 – c. 328) was the founder and first head of the Armenian Apostolic Church. He converted Armenia from paganism to Christianity in the early fourth century (traditionally dated to 301), making Armenia the first state to adopt Christianity as its official religion. He is venerated as a saint in the Armenian Apostolic Church and in some other churches. 
Gregory is said to have been the son of a Parthian nobleman, Anak, who assassinated the Arsacid king of Armenia Khosrov II. The young Gregory was saved from the extermination of Anak's family and was raised as a Christian in Caesarea of Cappadocia. Gregory returned to Armenia as an adult and entered the service of King Tiridates III, who had Gregory tortured after he refused to sacrifice to a pagan goddess. After discovering Gregory's true identity, Tiridates had him thrown into a deep pit called Khor Virap. Gregory was miraculously saved from death and released after many years with the help of Tiridates' sister Khosrovidukht. Gregory then healed Tiridates, who the hagiographical sources say had been transfomed into a boar for his sins, and preached Christianity in Armenia. He was consecrated bishop of Armenia at Caesarea, baptized King Tiridates and the Armenian people, and traveled throughout Armenia, destroying pagan temples and building churches in their place.
Gregory eventually gave up the patriarchate to live as a hermit and was succeeded by his son Aristaces. Gregory's descendants, called the Gregorids, hereditarily held the office of Patriarch of Armenia with some interruptions until the fifth century. It is in Gregory's honor that the Armenian Church is sometimes called lusavorchʻakan (""of the Illuminator"") or Gregorian.

",https://en.wikipedia.org/wiki/Gregory_the_Illuminator
Australia,40,George Pell,http://www.wikidata.org/entity/Q434118,wd:Q434118,914259.0,Australian Catholic cardinal (1941–2023),"George Pell  (8 June 1941 – 10 January 2023) was an Australian cardinal of the Catholic Church. He served as the inaugural prefect of the Secretariat for the Economy between 2014 and 2019, and was a member of the Council of Cardinal Advisers between 2013 and 2018. Ordained a priest in 1966 and bishop in 1987, he was made a cardinal in 2003. Pell served as the eighth Archbishop of Sydney (2001–2014), the seventh Archbishop of Melbourne (1996–2001) and an auxiliary bishop of Melbourne (1987–1996). He was also an author, columnist and public speaker. From 1996, Pell maintained a high public profile on a wide range of issues, while retaining an adherence to Catholic orthodoxy.
Pell worked as a priest in rural Victoria and in Melbourne and also chaired the aid organisation Caritas Australia (part of Caritas Internationalis) from 1988 to 1997. He was appointed a delegate to the Australian Constitutional Convention in 1998, received the Centenary Medal from the Australian government in 2003 and was appointed a Companion of the Order of Australia (AC) in the 2005 Queen's Birthday Honours. During his tenure as Archbishop of Melbourne, Pell set up the ""Melbourne Response"" protocol in 1996 to investigate and deal with complaints of child sexual abuse in the archdiocese. The protocol was the first of its kind in the world and was subjected to a variety of criticisms.In 2018, Pell was found guilty of child sexual abuse, but on appeal, the convictions were quashed in 2020 by the High Court of Australia. A separate investigation by the Holy See's Congregation for the Doctrine of the Faith into these allegations of abuse concluded upon his acquittal by the High Court.According to findings released by Australia's Royal Commission into Institutional Responses to Child Sexual Abuse in 2020, Pell knew of child sexual abuse by clergy by the 1970s but did not take adequate action to address it. Pell said he was ""surprised"" and that the commission's views ""are not supported by evidence"".

",https://en.wikipedia.org/wiki/George_Pell
Austria,49,Ivan Illich,http://www.wikidata.org/entity/Q84186,wd:Q84186,236515.0,Austrian philosopher and theologist,"Ivan Dominic Illich ( iv-AHN IL-itch, German: [ˈiːvan ˈɪlɪtʃ]; 4 September 1926 – 2 December 2002) was an Austrian Roman Catholic priest, theologian, philosopher, and social critic. His 1971 book Deschooling Society criticises modern society's institutional approach to education, an approach that constrains learning to narrow situations in a fairly short period of the human lifespan. His 1975 book Medical Nemesis, importing to the sociology of medicine the concept of medical harm, argues that industrialised society widely impairs quality of life by overmedicalising life, pathologizing normal conditions, creating false dependency, and limiting other more healthful solutions. Illich called himself ""an errant pilgrim.""

",https://en.wikipedia.org/wiki/Ivan_Illich
