country,countryLabel,nummodel
http://www.wikidata.org/entity/Q805,Yemen,2
http://www.wikidata.org/entity/Q817,Kuwait,3
http://www.wikidata.org/entity/Q854,Sri Lanka,20
http://www.wikidata.org/entity/Q265,Uzbekistan,5
http://www.wikidata.org/entity/Q813,Kyrgyzstan,1
http://www.wikidata.org/entity/Q398,Bahrain,3
http://www.wikidata.org/entity/Q801,Israel,294
http://www.wikidata.org/entity/Q819,Laos,3
http://www.wikidata.org/entity/Q869,Thailand,183
http://www.wikidata.org/entity/Q878,United Arab Emirates,2
http://www.wikidata.org/entity/Q159,Russia,343
http://www.wikidata.org/entity/Q148,People's Republic of China,161
http://www.wikidata.org/entity/Q230,Georgia,12
http://www.wikidata.org/entity/Q43,Turkey,227
http://www.wikidata.org/entity/Q810,Jordan,1
http://www.wikidata.org/entity/Q865,Taiwan,110
http://www.wikidata.org/entity/Q822,Lebanon,48
http://www.wikidata.org/entity/Q889,Afghanistan,8
http://www.wikidata.org/entity/Q902,Bangladesh,87
http://www.wikidata.org/entity/Q836,Myanmar,29
http://www.wikidata.org/entity/Q668,India,879
http://www.wikidata.org/entity/Q881,Vietnam,56
http://www.wikidata.org/entity/Q17,Japan,2267
http://www.wikidata.org/entity/Q79,Egypt,35
http://www.wikidata.org/entity/Q843,Pakistan,148
http://www.wikidata.org/entity/Q917,Bhutan,1
http://www.wikidata.org/entity/Q851,Saudi Arabia,5
http://www.wikidata.org/entity/Q842,Oman,1
http://www.wikidata.org/entity/Q833,Malaysia,85
http://www.wikidata.org/entity/Q334,Singapore,38
http://www.wikidata.org/entity/Q424,Cambodia,4
http://www.wikidata.org/entity/Q884,South Korea,682
http://www.wikidata.org/entity/Q796,Iraq,4
http://www.wikidata.org/entity/Q846,Qatar,1
http://www.wikidata.org/entity/Q837,Nepal,93
http://www.wikidata.org/entity/Q227,Azerbaijan,8
http://www.wikidata.org/entity/Q794,Iran,49
http://www.wikidata.org/entity/Q711,Mongolia,10
http://www.wikidata.org/entity/Q229,Cyprus,3
http://www.wikidata.org/entity/Q252,Indonesia,329
http://www.wikidata.org/entity/Q232,Kazakhstan,15
http://www.wikidata.org/entity/Q928,Philippines,386
http://www.wikidata.org/entity/Q399,Armenia,9
