country,countryLabel,nummodel
http://www.wikidata.org/entity/Q760,Saint Lucia,1
http://www.wikidata.org/entity/Q792,El Salvador,14
http://www.wikidata.org/entity/Q778,The Bahamas,3
http://www.wikidata.org/entity/Q96,Mexico,292
http://www.wikidata.org/entity/Q241,Cuba,44
http://www.wikidata.org/entity/Q804,Panama,37
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,296
http://www.wikidata.org/entity/Q766,Jamaica,22
http://www.wikidata.org/entity/Q783,Honduras,14
http://www.wikidata.org/entity/Q769,Grenada,1
http://www.wikidata.org/entity/Q16,Canada,375
http://www.wikidata.org/entity/Q774,Guatemala,13
http://www.wikidata.org/entity/Q242,Belize,2
http://www.wikidata.org/entity/Q30,United States of America,4181
http://www.wikidata.org/entity/Q800,Costa Rica,38
http://www.wikidata.org/entity/Q754,Trinidad and Tobago,12
http://www.wikidata.org/entity/Q786,Dominican Republic,48
http://www.wikidata.org/entity/Q244,Barbados,2
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,3
http://www.wikidata.org/entity/Q790,Haiti,15
