country,countryLabel,nummodel
http://www.wikidata.org/entity/Q298,Chile,126
http://www.wikidata.org/entity/Q155,Brazil,1064
http://www.wikidata.org/entity/Q804,Panama,37
http://www.wikidata.org/entity/Q77,Uruguay,38
http://www.wikidata.org/entity/Q419,Peru,136
http://www.wikidata.org/entity/Q414,Argentina,306
http://www.wikidata.org/entity/Q736,Ecuador,45
http://www.wikidata.org/entity/Q733,Paraguay,30
http://www.wikidata.org/entity/Q750,Bolivia,47
http://www.wikidata.org/entity/Q717,Venezuela,351
http://www.wikidata.org/entity/Q739,Colombia,272
http://www.wikidata.org/entity/Q730,Suriname,6
http://www.wikidata.org/entity/Q734,Guyana,3
