0,1,2
Vladimir Putin,264,Russia
-,-,-
-,-,-
-,-,-
Naruhito,190,Japan
-,-,-
-,-,-
-,-,-
-,-,-
Mikhail Gorbachev,170,Russia
Anna Netrebko,167,Russia
-,-,-
-,-,-
Recep Tayyip Erdoﾄ・an,160,Turkey
Dmitry Medvedev,160,Russia
His Holiness the Dalai Lama 14 Tendzin Gyatso,158,People's Republic of China
-,-,-
Angelina Jolie,154,Cambodia
-,-,-
Jackie Chan,153,People's Republic of China
Kim Jong-un,152,North Korea
Xi Jinping,151,People's Republic of China
Narendra Modi,150,India
-,-,-
Aung San Suu Kyi,149,Myanmar
-,-,-
-,-,-
Agnez Mo,147,Indonesia
-,-,-
-,-,-
Ban Ki-moon,143,South Korea
-,-,-
-,-,-
Mahmoud Ahmadinejad,138,Iran
-,-,-
-,-,-
Benjamin Netanyahu,136,Israel
,,
-,-,-
-,-,-
-,-,-
Shinzﾅ・ Abe,131,Japan
-,-,-
Malala Yousafzai,129,Pakistan
Orhan Pamuk,129,Turkey
Bashar al-Assad,128,Syria
-,-,-
Steven Seagal,127,Russia
-,-,-
-,-,-
Natalie Portman,121,Israel
-,-,-
-,-,-
-,-,-
Akihito,119,Japan
-,-,-
Hassan Rouhani,117,Iran
-,-,-
-,-,-
-,-,-
Shah Rukh Khan,116,India
-,-,-
-,-,-
Hu Jintao,114,People's Republic of China
Ilham Aliyev,114,Azerbaijan
Haruki Murakami,113,Japan
Amitabh Bachchan,113,India
Jet Li,113,People's Republic of China
Jet Li,113,Singapore
-,-,-
-,-,-
Salman Rushdie,111,India
Garry Kasparov,111,Russia
Ali Khamenei,110,Iran
Keanu Reeves,110,Lebanon
,,
-,-,-
-,-,-
Aishwarya Rai Bachchan,109,India
Valentina Tereshkova,109,Russia
Alexei Navalny,108,Russia
-,-,-
Abdullah Gﾃｼl,106,Turkey
Hamid Karzai,105,Afghanistan
Muhammad Yunus,105,Bangladesh
Rodrigo Duterte,105,Philippines
Maria Sharapova,105,Russia
Nursultan Nazarbayev,105,Kazakhstan
-,-,-
-,-,-
Manmohan Singh,104,India
Mohammad Khatami,103,Iran
-,-,-
Mo Yan,102,People's Republic of China
Gao Xingjian,102,People's Republic of China
Joko Widodo,102,Indonesia
-,-,-
Kazuo Ishiguro,101,Japan
-,-,-
Tsai Ing-wen,101,Taiwan
Moon Jae-in,101,South Korea
Imelda Marcos,101,Philippines
-,-,-
Viktor Yanukovych,101,Russia
Shirin Ebadi,100,Iran
-,-,-
-,-,-
Alla Pugacheva,100,Russia
-,-,-
Layal Abboud,99,Lebanon
Park Geun-hye,99,South Korea
Abdel Fattah el-Sisi,99,Egypt
-,-,-
,,
-,-,-
Pervez Musharraf,98,Pakistan
Vajiralongkorn I of Thailand,98,Thailand
-,-,-
-,-,-
Hayao Miyazaki,96,Japan
Abdullah II of Jordan,96,Jordan
Mahathir Mohamad,96,Malaysia
Viswanathan Anand,96,India
Amartya Sen,96,India
Priyanka Chopra,96,India
Ichirﾅ・ Mizuki,95,Japan
Nadia Murad Basee,94,Iraq
-,-,-
Yoshihide Suga,93,Japan
Mesut ﾃ・zil,93,Turkey
Gﾃｩrard Depardieu,93,Russia
-,-,-
Salman of Saudi Arabia,92,Saudi Arabia
Psy,92,South Korea
-,-,-
Natalia Oreiro,92,Russia
Salman Khan,92,India
Aamir Khan,92,India
-,-,-
-,-,-
-,-,-
-,-,-
Serzh Sargsyan,91,Armenia
Kenzaburﾅ・ ﾅ・e,90,Japan
Ghil'ad Zuckermann,90,Israel
-,-,-
-,-,-
Enrique Iglesias,89,Philippines
-,-,-
-,-,-
-,-,-
,,
-,-,-
Pratibha Patil,88,India
Yoko Ono,87,Japan
Ashraf Ghani,87,Islamic Republic of Afghanistan
-,-,-
Sheikh Hasina,87,Pakistan
-,-,-
Gurbanguly Berdimuhamedow,87,Turkmenistan
Sheikh Hasina,87,Bangladesh
-,-,-
-,-,-
Li Keqiang,87,People's Republic of China
-,-,-
-,-,-
-,-,-
Tawakel Karman,86,Yemen
-,-,-
Jigme Khesar Namgyel Wangchuck,86,Bhutan
Sergey Lavrov,86,Russia
-,-,-
Gloria Macapagal Arroyo,85,Philippines
-,-,-
-,-,-
-,-,-
Gal Gadot,84,Israel
Asif Ali Zardari,84,Pakistan
-,-,-
Jolin Tsai,84,Taiwan
Ahmet Davutoﾄ・lu,84,Turkey
Tu Youyou,84,People's Republic of China
Milla Jovovich,84,Russia
Jiang Zemin,84,People's Republic of China
Wen Jiabao,84,People's Republic of China
-,-,-
Rajnath Singh,84,India
-,-,-
Ehud Olmert,83,Israel
,,
-,-,-
-,-,-
