#,COUNTRY,AMOUNT,DATE,GRAPH,HISTORY
1,South Africa,132.4,2010,,
2,Botswana,92.9,2010,,
3,Lesotho,82.7,2009,,
4,Swaziland,77.5,2004,,
5,Bermuda,67.3,2004,,
6,Sweden,63.5,2010,,
7,Suriname,45.2,2004,,
8,Costa Rica,36.7,2009,,
9,Nicaragua,31.6,2010,,
10,Grenada,30.6,2010,,
11,Australia,28.6,2010,,
11,Saint Kitts and Nevis,28.6,2010,,
13,Belgium,27.9,2010,,
14,United States,27.3,2010,,
15,Bolivia,26.1,2010,,
16,New Zealand,25.8,2010,,
17,Saint Vincent and the Grenadines,25.6,2010,,
17,Zimbabwe,25.6,2008,,
19,Barbados,24.9,2009,,
20,Iceland,24.7,2009,,
21,Jamaica,24.4,2010,,
22,Peru,23.5,2009,,
23,The Bahamas,22.7,2010,,
24,Norway,19.2,2010,,
25,Trinidad and Tobago,18.5,2009,,
26,Israel,17.6,2009,,
27,France,16.2,2009,,
28,Guyana,15.5,2010,,
29,Finland,15.2,2010,,
30,South Korea,13.5,2004,,
31,Chile,13.3,2009,,
32,Mexico,13.2,2010,,
33,Mongolia,12.4,2010,,
34,Luxembourg,11.9,2009,,
35,El Salvador,11,2010,,
35,Solomon Islands,11,2009,,
37,Ecuador,10.9,2006,,
38,Ireland,10.7,2010,,
39,Austria,10.4,2010,,
40,Moldova,10.3,2010,,
,European Union average,10.19,2009,,
41,Bangladesh,9.82,2006,,
42,Uruguay,9.8,2004,,
43,Germany,9.4,2010,,
44,Netherlands,9.2,2010,,
45,Argentina,8.5,2008,,
46,Kazakhstan,8.4,2009,,
47,Italy,7.6,2006,,
47,Brunei,7.6,2006,,
49,Sri Lanka,7.3,2004,,
50,Colombia,6.8,2010,,
51,Belize,6.7,2010,,
51,Thailand,6.7,2010,,
53,Oman,6.6,2009,,
54,Denmark,6.4,2009,,
55,Lithuania,6.3,2010,,
55,Philippines,6.3,2009,,
57,Estonia,6,2010,,
57,Paraguay,6,2006,,
59,Kyrgyzstan,5.9,2010,,
60,Monaco,5.7,2006,,
61,Senegal,5.6,2010,,
62,Republic of Macedonia,5,2006,,
63,Morocco,4.8,2009,,
64,Malta,4.7,2009,,
64,Romania,4.7,2009,,
66,Bahrain,4.6,2009,,
66,Czech Republic,4.6,2009,,
68,Kuwait,4.5,2009,,
69,Poland,4.1,2010,,
70,Portugal,4,2010,,
71,Mauritius,3.9,2010,,
72,Latvia,3.5,2010,,
73,Spain,3.4,2010,,
73,Russia,3.4,2010,,
75,Croatia,3.2,2010,,
76,Slovenia,3.1,2010,,
77,Maldives,3,2009,,
77,Palestine,3,2005,,
79,Sudan,2.9,2009,,
79,Guatemala,2.9,2009,,
81,Bulgaria,2.8,2010,,
82,Singapore,2.7,2006,,
83,Slovakia,2.6,2009,,
84,Hungary,2.5,2010,,
84,Cyprus,2.5,2009,,
86,Cameroon,2.4,2008,,
86,Algeria,2.4,2008,,
88,Belarus,2.3,2009,,
89,Uganda,2.1,2010,,
89,Kenya,2.1,2009,,
91,Jordan,2,2006,,
92,Greece,1.9,2010,,
92,Georgia,1.9,2010,,
94,India,1.8,2010,,
94,Montenegro,1.8,2006,,
94,Qatar,1.8,2004,,
97,Canada,1.7,2010,,
98,Hong Kong,1.6,2010,,
99,Turkey,1.5,2008,,
99,United Arab Emirates,1.5,2006,,
101,Ukraine,1.4,2010,,
101,Sierra Leone,1.4,2009,,
103,Bosnia and Herzegovina,1.2,2010,,
103,Andorra,1.2,2010,,
105,Japan,1,2010,,
105,Guinea,1,2008,,
107,Yemen,0.8,2009,,
107,Syria,0.8,2008,,
107,Nepal,0.8,2006,,
110,Albania,0.7,2010,,
110,Serbia,0.7,2010,,
112,Turkmenistan,0.6,2006,,
113,Tajikistan,0.5,2009,,
113,Lebanon,0.5,2006,,
115,Armenia,0.4,2010,,
116,Azerbaijan,0.2,2010,,
116,Mozambique,0.2,2009,,
118,Egypt,0.1,2009,,
119,Liechtenstein,0.0,2010,,
