Column1,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,7,Somaya Faruqi,http://www.wikidata.org/entity/Q102271635,wd:Q102271635,67549518,Afghanistan robotics expert
Albania,9,Lara Colturi,http://www.wikidata.org/entity/Q114350597,wd:Q114350597,71890695,Italian-born Albanian alpine skier
Algeria,7,Loubna Benhadja,http://www.wikidata.org/entity/Q67798460,wd:Q67798460,68367591,Algerian athletics competitor
Andorra,12,Victoria Jiménez Kasintseva,http://www.wikidata.org/entity/Q67372349,wd:Q67372349,62993222,Andorran tennis player
Angola,4,Stélvia Pascoal,http://www.wikidata.org/entity/Q107315534,wd:Q107315534,69441584,Angolan handball player
Antigua and Barbuda,4,Joella Lloyd,http://www.wikidata.org/entity/Q107363821,wd:Q107363821,68070767,Antiguan athlete
Argentina,17,Chiara Sacchi,http://www.wikidata.org/entity/Q101517850,wd:Q101517850,65842154,Argentinian climate activist
Armenia,19,Maléna,http://www.wikidata.org/entity/Q109609541,wd:Q109609541,69158229,Armenian singer
Australia,29,Angourie Rice,http://www.wikidata.org/entity/Q24034671,wd:Q24034671,50452328,Australian actress
Austria,18,Pia Maria,http://www.wikidata.org/entity/Q110884054,wd:Q110884054,70113130,Austrian singer-songwriter
Azerbaijan,10,Khanim Balajayeva,http://www.wikidata.org/entity/Q28479277,wd:Q28479277,58744070,Azerbaijani chess player
Bahrain,16,Hala Al Turk,http://www.wikidata.org/entity/Q12208559,wd:Q12208559,38242080,pop singer
Bangladesh,6,Diya Siddique,http://www.wikidata.org/entity/Q106950724,wd:Q106950724,67742795,Bangladeshi archer
Barbados,4,Velma Scantlebury,http://www.wikidata.org/entity/Q23092056,wd:Q23092056,49289974,Barbadian-born American transplant surgeon
Belarus,35,Zinaida Kupriyanovich,http://www.wikidata.org/entity/Q23039005,wd:Q23039005,60167198,"Belarusian singer, actress and television presenter"
Belgium,43,"Princess Elisabeth, Duchess of Brabant",http://www.wikidata.org/entity/Q830697,wd:Q830697,1769364,Belgian princess and heir apparent
Benin,11,Ayra Starr,http://www.wikidata.org/entity/Q106462586,wd:Q106462586,66454880,Nigerian singer
Bhutan,2,Deki Lhazom,http://www.wikidata.org/entity/Q113879141,wd:Q113879141,71721885,Bhutanese footballer
Bolivia,2,Cielo Veizaga,http://www.wikidata.org/entity/Q98088402,wd:Q98088402,69312756,Bolivian association football player
Bosnia and Herzegovina,14,Lana Pudar,http://www.wikidata.org/entity/Q107227261,wd:Q107227261,67945546,Bosnian swimmer
Botswana,2,Malia Baker,http://www.wikidata.org/entity/Q101948111,wd:Q101948111,,
Brazil,28,Melody,http://www.wikidata.org/entity/Q25438724,wd:Q25438724,51095611,Brazilian pop singer
Bulgaria,14,Krisia Todorova,http://www.wikidata.org/entity/Q17418129,wd:Q17418129,43394930,Bulgarian singer
Burkina Faso,1,Pascaline Dambinga,http://www.wikidata.org/entity/Q116820093,wd:Q116820093,,
Burundi,5,Sada Nahimana,http://www.wikidata.org/entity/Q52424784,wd:Q52424784,57293133,Burundian tennis player
Cambodia,7,Norodom Jenna,http://www.wikidata.org/entity/Q106729150,wd:Q106729150,67583591,princess of Cambodia
Cameroon,5,Norah Milanesi,http://www.wikidata.org/entity/Q107723803,wd:Q107723803,68368168,Cameroonian swimmer
Canada,49,Emma Raducanu,http://www.wikidata.org/entity/Q64849968,wd:Q64849968,67867692,British professional tennis player
Cape Verde,5,Jayla Pina,http://www.wikidata.org/entity/Q107642670,wd:Q107642670,68320733,Cape Verdean swimmer
Central African Republic,1,Jennifer Zameto,http://www.wikidata.org/entity/Q109665705,wd:Q109665705,,
Chad,1,Aron Salomé Atchoumgaï,http://www.wikidata.org/entity/Q67180125,wd:Q67180125,,
Chile,25,Xiye Bastida,http://www.wikidata.org/entity/Q81646058,wd:Q81646058,61899597,Mexican-Chilean climate activist and member of the indigenous Mexican Otomi-Toltec nation
Colombia,20,María Camila Osorio Serrano,http://www.wikidata.org/entity/Q29052147,wd:Q29052147,53640968,Colombian female tennis player
Comoros,1,Anlaouia Hadhirami Ali,http://www.wikidata.org/entity/Q116908264,wd:Q116908264,,
Costa Rica,4,María Paula Salas,http://www.wikidata.org/entity/Q65583730,wd:Q65583730,61290344,Costa Rican footballer
Croatia,9,Petra Marčinko,http://www.wikidata.org/entity/Q110156289,wd:Q110156289,69528629,Croatian tennis player
Cuba,12,Malu Trevejo,http://www.wikidata.org/entity/Q41671678,wd:Q41671678,55307073,Cuban-American dancer and singer-songwriter
Cyprus,6,Cleo Demetriou,http://www.wikidata.org/entity/Q5131632,wd:Q5131632,36938802,actress
Czech Republic,18,Linda Nosková,http://www.wikidata.org/entity/Q106354932,wd:Q106354932,67929086,Czech tennis player
Democratic Republic of the Congo,2,Murielle Musao,http://www.wikidata.org/entity/Q114175029,wd:Q114175029,,
Denmark,33,Princess Isabella of Denmark,http://www.wikidata.org/entity/Q1429306,wd:Q1429306,10818133,"Danish princess, elder daughter of Frederik, Crown Prince of Denmark and Mary, Crown Princess of Denmark"
Dominican Republic,2,Brieana Hallo,http://www.wikidata.org/entity/Q85004797,wd:Q85004797,63101787,Dominican association football player
East Timor,3,Maria Vitória,http://www.wikidata.org/entity/Q28128893,wd:Q28128893,,
Ecuador,28,Helena Gualinga,http://www.wikidata.org/entity/Q78185644,wd:Q78185644,62612546,Ecuadorian environmental and human rights activist
Egypt,11,Awak Kuier,http://www.wikidata.org/entity/Q60035092,wd:Q60035092,66913637,Finnish basketball player
El Salvador,3,Marjorie Herrera,http://www.wikidata.org/entity/Q28501667,wd:Q28501667,69051653,Salvadoran chess player
Equatorial Guinea,10,Salma Paralluelo,http://www.wikidata.org/entity/Q61762234,wd:Q61762234,70355535,Spanish association football player and athletics competitor
Eritrea,1,Artemis Hoseyni,http://www.wikidata.org/entity/Q81903692,wd:Q81903692,,
Estonia,25,Kelly Sildaru,http://www.wikidata.org/entity/Q20921043,wd:Q20921043,49263355,Estonian freestyle skier
Ethiopia,10,Lemlem Hailu,http://www.wikidata.org/entity/Q67135705,wd:Q67135705,61948096,Ethiopian middle-distance runner
Federated States of Micronesia,3,Taeyanna Adams,http://www.wikidata.org/entity/Q107583216,wd:Q107583216,68273368,Micronesian swimmer
Fiji,3,Sally Yee,http://www.wikidata.org/entity/Q26789890,wd:Q26789890,51445832,Fijian table tennis player
Finland,11,Awak Kuier,http://www.wikidata.org/entity/Q60035092,wd:Q60035092,66913637,Finnish basketball player
France,22,Thylane Blondeau,http://www.wikidata.org/entity/Q2339202,wd:Q2339202,32691595,French Model and actress
Gabon,4,Aya Girard de Langlade Mpali,http://www.wikidata.org/entity/Q107653119,wd:Q107653119,68330193,Gabonese swimmer
Georgia,22,Mariam Mamadashvili,http://www.wikidata.org/entity/Q27892748,wd:Q27892748,52332635,Georgian singer and stage actress
Germany,26,Viki Gabor,http://www.wikidata.org/entity/Q69349910,wd:Q69349910,62423260,Polish singer
Ghana,10,Mukarama Abdulai,http://www.wikidata.org/entity/Q58980616,wd:Q58980616,59244672,Ghanaian national under 17 women's world cup top scorer
Greece,36,Stefania Liberakakis,http://www.wikidata.org/entity/Q61696740,wd:Q61696740,62861324,Greek–Dutch singer
Grenada,4,Kimberly Ince,http://www.wikidata.org/entity/Q100272604,wd:Q100272604,65553057,Grenadian swimmer
Guatemala,4,Gabriela Rivera,http://www.wikidata.org/entity/Q48322110,wd:Q48322110,60517271,Guatemalan tennis player
Guinea,5,Aissata Denn Conte,http://www.wikidata.org/entity/Q99485470,wd:Q99485470,68310034,Guinean athletics competitor
Guyana,3,Aleka Persaud,http://www.wikidata.org/entity/Q107723709,wd:Q107723709,68368140,Guyanese swimmer
Haiti,7,Melchie Dumornay,http://www.wikidata.org/entity/Q83632876,wd:Q83632876,62927255,Haitian association football player
Hong Kong,6,Hsieh Kaylin Sin Yan,http://www.wikidata.org/entity/Q55281988,wd:Q55281988,64096838,Hong Kong fencer
Hungary,15,Ajna Késely,http://www.wikidata.org/entity/Q20740381,wd:Q20740381,51107853,Hungarian swimmer
Iceland,14,Diljá,http://www.wikidata.org/entity/Q116979332,wd:Q116979332,73208669,Icelandic singer
India,33,Ridhima Pandey,http://www.wikidata.org/entity/Q90815782,wd:Q90815782,63715561,Indian climate activist
Indonesia,18,Windy Cantika Aisah,http://www.wikidata.org/entity/Q97193011,wd:Q97193011,67788490,Indonesian weightlifter (born 2002)
Iran,13,Nika Shakarami,http://www.wikidata.org/entity/Q114357437,wd:Q114357437,71908910,teenage protester who participated in Iran's 2022 nationwide protests
Iraq,3,Honia Ibrahim,http://www.wikidata.org/entity/Q33644118,wd:Q33644118,54675825,Iraqi swimmer
Israel,24,Noa Kirel,http://www.wikidata.org/entity/Q43139030,wd:Q43139030,56153589,"Israeli singer, actress and television host (2001–)"
Italy,22,Alessandra Mele,http://www.wikidata.org/entity/Q116450762,wd:Q116450762,72947463,Norwegian and Italian singer-songwriter
Ivory Coast,2,Makèmè Konaté,http://www.wikidata.org/entity/Q89193206,wd:Q89193206,,
Jamaica,17,Briana Williams,http://www.wikidata.org/entity/Q55496617,wd:Q55496617,59381561,Jamaican female sprinter
Japan,38,"Aiko, Princess Toshi",http://www.wikidata.org/entity/Q743509,wd:Q743509,1122397,only child of Emperor Naruhito and Empress Masako of Japan
Jordan,5,Emanne Beasha,http://www.wikidata.org/entity/Q30022037,wd:Q30022037,54136600,Jordanian singer
Kazakhstan,20,Daneliya Tuleshova,http://www.wikidata.org/entity/Q47489453,wd:Q47489453,60249047,Kazakh singer
Kenya,25,Nyota Uhura,http://www.wikidata.org/entity/Q616755,wd:Q616755,145362,Star Trek character
Kosovo,6,Donika Grajqevci,http://www.wikidata.org/entity/Q96289173,wd:Q96289173,65703111,Kosovan footballer
Kuwait,4,Lara Dashti,http://www.wikidata.org/entity/Q107663019,wd:Q107663019,68335983,Kuwaiti swimmer
