country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,54,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
Albania,39,Safiye Sultan,http://www.wikidata.org/entity/Q437197,wd:Q437197,3715355,"Haseki Sultan of Murad III, mother of Mehmed III"
Algeria,40,Monica of Hippo,http://www.wikidata.org/entity/Q234689,wd:Q234689,740416,Christian saint; mother of St. Augustine
Andorra,5,Sara la Goda,http://www.wikidata.org/entity/Q6121781,wd:Q6121781,70741594,8th century Visigothic noblewoman
Angola,37,Nzingha Mbande,http://www.wikidata.org/entity/Q467650,wd:Q467650,419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663)
Antigua and Barbuda,8,Mary Thomas,http://www.wikidata.org/entity/Q29042635,wd:Q29042635,57001339,plantation worker in the Danish West Indies
Argentina,16,Juana Manuela Gorriti,http://www.wikidata.org/entity/Q14077,wd:Q14077,491370,Argentine writer
Armenia,24,Bezmiâlem Sultan,http://www.wikidata.org/entity/Q623135,wd:Q623135,4645444,"consort of Mahmud II, mother and Valide Sultan of Abdülmejid I"
Australia,28,Mary MacKillop,http://www.wikidata.org/entity/Q275976,wd:Q275976,2060813,Australian religious sister and saint (1842–1909)
Austria,120,Marie Antoinette,http://www.wikidata.org/entity/Q47365,wd:Q47365,45109,last Queen of France prior to the French Revolution
Azerbaijan,25,Khurshidbanu Natavan,http://www.wikidata.org/entity/Q2986900,wd:Q2986900,3634863,Azerbaijani poet
Bahrain,25,Hind bint Utbah,http://www.wikidata.org/entity/Q1093767,wd:Q1093767,30863821,wife of Abu Sufyan
Bangladesh,7,Rassundari Dasi,http://www.wikidata.org/entity/Q16856138,wd:Q16856138,42708725,Bengali writer
Barbados,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Belarus,45,Eliza Orzeszkowa,http://www.wikidata.org/entity/Q240174,wd:Q240174,2441637,Polish writer
Belgium,54,Mary of Burgundy,http://www.wikidata.org/entity/Q157073,wd:Q157073,151337,Duchess of Burgundy and wife of Emperor Maximilian I (1457-1482)
Belize,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Benin,18,Sara Forbes Bonetta,http://www.wikidata.org/entity/Q7421624,wd:Q7421624,156887,West African princess
Bhutan,4,Tsundue Pema Lhamo,http://www.wikidata.org/entity/Q67182961,wd:Q67182961,61714095,Queen consort of Bhutan
Bolivia,28,Manuela Sáenz de Aizpuru,http://www.wikidata.org/entity/Q372074,wd:Q372074,1958847,Ecuadorian revolutionary heroine (1797-1856)
Bosnia and Herzegovina,23,Catherine of Bosnia,http://www.wikidata.org/entity/Q452680,wd:Q452680,3562787,Bosnian queen
Brazil,47,Maria II of Portugal,http://www.wikidata.org/entity/Q221145,wd:Q221145,254397,Queen of Portugal
Bulgaria,22,Keratsa of Bulgaria,http://www.wikidata.org/entity/Q2840790,wd:Q2840790,6567508,byzantine nun and empress
Burkina Faso,4,Guimbi Ouattara,http://www.wikidata.org/entity/Q41751855,wd:Q41751855,55333624,leader and military chief
Cambodia,17,Ang Mey,http://www.wikidata.org/entity/Q769218,wd:Q769218,24569676,Queen regnant of Cambodia
Cameroon,3,Suzanne Amomba Paillé,http://www.wikidata.org/entity/Q24938732,wd:Q24938732,55757236,French Guianan planter and philanthropist
Canada,21,Pauline Johnson,http://www.wikidata.org/entity/Q2716914,wd:Q2716914,611593,Canadian poet and performer
Cape Verde,4,Antónia Pusich,http://www.wikidata.org/entity/Q54556162,wd:Q54556162,57558444,editor (1805-1883)
Chile,21,Teresa of the Andes,http://www.wikidata.org/entity/Q256166,wd:Q256166,6115953,Chilean nun of the Discalced Carmelite Order
Colombia,24,Policarpa Salavarrieta,http://www.wikidata.org/entity/Q125816,wd:Q125816,7625832,heroine of the Colombian Independence Movement
Comoros,9,Djoumbé Fatima,http://www.wikidata.org/entity/Q912157,wd:Q912157,41558477,monarch (sultan/queen regnant) and regent of Mohéli (Mwali)
Costa Rica,8,Pancha Carrasco,http://www.wikidata.org/entity/Q5864901,wd:Q5864901,14280123,Costa Rican soldier
Croatia,31,Joanna II of Naples,http://www.wikidata.org/entity/Q236933,wd:Q236933,954798,Queen of Naples (1373-1435)
Cuba,25,Gertrudis Gómez de Avellaneda,http://www.wikidata.org/entity/Q283353,wd:Q283353,478274,"Cuban-Spanish playwright and poet, editor"
Cyprus,56,Theodora,http://www.wikidata.org/entity/Q204843,wd:Q204843,7639348,"Byzantine empress, wife of Justinian I"
Czech Republic,98,Bertha von Suttner,http://www.wikidata.org/entity/Q18456,wd:Q18456,55451,"Austrian novelist, radical (organizational) pacifist, editor"
Denmark,57,Margaret I of Denmark,http://www.wikidata.org/entity/Q202266,wd:Q202266,58726,"Queen of Denmark, Norway, and Sweden"
Dominica,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Dominican Republic,11,Cécile Fatiman,http://www.wikidata.org/entity/Q4947685,wd:Q4947685,33926838,"Haitian Vodou practitioner, leader of the Bois-Caïman ceremony and women marroon"
Ecuador,28,Manuela Sáenz de Aizpuru,http://www.wikidata.org/entity/Q372074,wd:Q372074,1958847,Ecuadorian revolutionary heroine (1797-1856)
Egypt,148,Cleopatra,http://www.wikidata.org/entity/Q635,wd:Q635,60827,queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BC
El Salvador,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Equatorial Guinea,3,Suzanne Amomba Paillé,http://www.wikidata.org/entity/Q24938732,wd:Q24938732,55757236,French Guianan planter and philanthropist
Estonia,46,Lydia Koidula,http://www.wikidata.org/entity/Q237056,wd:Q237056,873406,Estonian poet
Eswatini,4,Queen Tibati Nkambule,http://www.wikidata.org/entity/Q16886130,wd:Q16886130,40595151,Queen Regent of Swaziland
Ethiopia,22,Taytu Betul,http://www.wikidata.org/entity/Q298216,wd:Q298216,531482,Ethiopian Empress Consort (1851-1918)
Finland,46,Edith Södergran,http://www.wikidata.org/entity/Q466595,wd:Q466595,308076,Finland Swedish poet and writer
France,177,Sarah Bernhardt,http://www.wikidata.org/entity/Q4605,wd:Q4605,44608,French stage actress (1844–1923)
Gabon,3,Suzanne Amomba Paillé,http://www.wikidata.org/entity/Q24938732,wd:Q24938732,55757236,French Guianan planter and philanthropist
Georgia,56,Tamar of Georgia,http://www.wikidata.org/entity/Q244007,wd:Q244007,37762,Queen of Georgia from 1184 to 1213
Germany,170,Rosa Luxemburg,http://www.wikidata.org/entity/Q7231,wd:Q7231,173758,"German-Polish Marxist theorist, socialist philosopher, and revolutionary, editor (1871–1919)"
Ghana,29,Yaa Asantewaa,http://www.wikidata.org/entity/Q467803,wd:Q467803,156899,Ashanti Queen Mother and military leader
Greece,139,Sappho,http://www.wikidata.org/entity/Q17892,wd:Q17892,27784,ancient Greek lyric poet
Grenada,3,Arnaq,http://www.wikidata.org/entity/Q18526538,wd:Q18526538,54869020,Native American woman captured by Martin Frobisher
Guatemala,9,María Encarnación Rosal,http://www.wikidata.org/entity/Q456815,wd:Q456815,46259202,Guatemalan Roman Catholic religious
Guinea,4,Elizabeth Frazer Skelton,http://www.wikidata.org/entity/Q56825124,wd:Q56825124,61098679,trader and matriarch active in Guinea/Conakry
Guinea-Bissau,4,Rosa de Carvalho Alvarenga,http://www.wikidata.org/entity/Q56822286,wd:Q56822286,61098648,merchant and slave trader in Portuguese Guinea
Guyana,1,Elisabeth Iosetta Burgklij Glimmer-Hoopstad,http://www.wikidata.org/entity/Q18603409,wd:Q18603409,,
