country,number,item,item_id
Afghanistan,87,Ashraf Ghani,http://www.wikidata.org/entity/Q172388
Afghanistan,56,Burhanuddin Rabbani,http://www.wikidata.org/entity/Q188667
Afghanistan,36,Kader Khan,http://www.wikidata.org/entity/Q3191765
Afghanistan,34,Sibghatullah Mojaddedi,http://www.wikidata.org/entity/Q380474
Afghanistan,29,Atiq Rahimi,http://www.wikidata.org/entity/Q179801
Afghanistan,20,Zablon Simintov,http://www.wikidata.org/entity/Q169544
Afghanistan,19,Roya Sadat,http://www.wikidata.org/entity/Q24524838
Afghanistan,17,Ahmed Wali Karzai,http://www.wikidata.org/entity/Q400858
Afghanistan,14,Shamsia Hassani,http://www.wikidata.org/entity/Q19560712
Afghanistan,13,Leena Alam,http://www.wikidata.org/entity/Q6516339
Afghanistan,12,Khalilullah Khalili,http://www.wikidata.org/entity/Q741031
Afghanistan,11,Roya Mahboob,http://www.wikidata.org/entity/Q7373553
Afghanistan,11,Fatema Akbari,http://www.wikidata.org/entity/Q5437436
Afghanistan,11,Ahmad Shah Ahmadzai,http://www.wikidata.org/entity/Q400802
Afghanistan,10,Mohammad Yusuf,http://www.wikidata.org/entity/Q1397264
Afghanistan,10,Siddiq Barmak,http://www.wikidata.org/entity/Q8215518
Afghanistan,9,Hamida Barmaki,http://www.wikidata.org/entity/Q465866
Afghanistan,9,Saba Sahar,http://www.wikidata.org/entity/Q1772399
Afghanistan,8,Mohammad Ibraheem Khwakhuzhi,http://www.wikidata.org/entity/Q1942663
Afghanistan,7,Saad Mohseni,http://www.wikidata.org/entity/Q472360
Albania,83,Masiela Lusha,http://www.wikidata.org/entity/Q37944
Albania,54,Jim Belushi,http://www.wikidata.org/entity/Q107933
Albania,45,Rudi Vata,http://www.wikidata.org/entity/Q733564
Albania,42,Rexhep Meidani,http://www.wikidata.org/entity/Q294250
Albania,25,Muhammad Nasiruddin al-Albani,http://www.wikidata.org/entity/Q560078
Albania,25,"Leka I, Crown Prince of Albania",http://www.wikidata.org/entity/Q349211
Albania,23,Evangelos Zappas,http://www.wikidata.org/entity/Q463901
Albania,22,Arta Dade,http://www.wikidata.org/entity/Q539957
Albania,21,Arta Dobroshi,http://www.wikidata.org/entity/Q462415
Albania,17,Ndre Mjeda,http://www.wikidata.org/entity/Q1972946
Albania,15,Kastriot Islami,http://www.wikidata.org/entity/Q1722312
Albania,15,Neritan Ceka,http://www.wikidata.org/entity/Q836504
Albania,15,Ibrahim Biçakçiu,http://www.wikidata.org/entity/Q834937
Albania,13,Majlinda Bregu,http://www.wikidata.org/entity/Q321753
Albania,10,Luan Starova,http://www.wikidata.org/entity/Q980349
Albania,10,Konstantinos Zappas,http://www.wikidata.org/entity/Q860752
