country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,11,Vida Samadzai,http://www.wikidata.org/entity/Q1967310,wd:Q1967310,1059093,Afghan model
Afghanistan,9,Zohre Esmaeli,http://www.wikidata.org/entity/Q15855780,wd:Q15855780,45558958,Afghan model
Afghanistan,8,Warina Hussain,http://www.wikidata.org/entity/Q55180724,wd:Q55180724,59540078,Afghan actress and model
Afghanistan,6,Arshi Khan,http://www.wikidata.org/entity/Q46999630,wd:Q46999630,56160097,"Arshi Khan is an Indian model, actress, internet celebrity and reality television personality who was born in Afghanistan on November 28 1989."
Afghanistan,4,Zallascht Sadat,http://www.wikidata.org/entity/Q8065514,wd:Q8065514,22114279,Afghan model
Afghanistan,4,Zohra Daoud,http://www.wikidata.org/entity/Q8073468,wd:Q8073468,9362565,Afghan television celebrity and model
Afghanistan,2,Bahari Ibaadat,http://www.wikidata.org/entity/Q27532942,wd:Q27532942,52082043,Afghan model
Afghanistan,2,Madina Hamidi,http://www.wikidata.org/entity/Q16916768,wd:Q16916768,42811798,"Belgian candidate for Miss Earth 2012, author of 'Van hel tot hemel'"
Albania,64,Bleona,http://www.wikidata.org/entity/Q22137038,wd:Q22137038,33764618,"Albanian-American recording artist, actress, producer, and entrepreneur"
Albania,44,Eleni Foureira,http://www.wikidata.org/entity/Q4493489,wd:Q4493489,38855101,Greek singer
Greece,44,Eleni Foureira,http://www.wikidata.org/entity/Q4493489,wd:Q4493489,38855101,Greek singer
Albania,19,Ledina Çelo,http://www.wikidata.org/entity/Q162862,wd:Q162862,4252798,Albanian singer and model
Albania,18,Afërdita Dreshaj,http://www.wikidata.org/entity/Q297942,wd:Q297942,30159546,"Miss Universe Kosovo 2011, contestant in Miss Universe 2011"
Albania,11,Emina Cunmulaj,http://www.wikidata.org/entity/Q1758542,wd:Q1758542,5792997,Albanian American model
Albania,8,Almeda Abazi,http://www.wikidata.org/entity/Q1583756,wd:Q1583756,53740849,Albanian actor
Albania,8,Angela Martini,http://www.wikidata.org/entity/Q2456128,wd:Q2456128,28509381,"model, Miss Universe Albania 2010, 6th place at Miss Universe 2010"
Albania,7,Marigona Dragusha,http://www.wikidata.org/entity/Q1994623,wd:Q1994623,22373288,Kosovar beauty queen
Kosovo,7,Marigona Dragusha,http://www.wikidata.org/entity/Q1994623,wd:Q1994623,22373288,Kosovar beauty queen
Albania,6,Hasna Xhukiçi,http://www.wikidata.org/entity/Q2000409,wd:Q2000409,24409764,Albanian model
Albania,6,Erbi Ago,http://www.wikidata.org/entity/Q5385164,wd:Q5385164,20866112,"Model, actor"
Albania,6,Lindita Idrizi,http://www.wikidata.org/entity/Q24450331,wd:Q24450331,66010180,Albanian model
Albania,5,Floriana Garo,http://www.wikidata.org/entity/Q4949568,wd:Q4949568,41582914,Albanian model and television presenter
Albania,5,Sadina Alla,http://www.wikidata.org/entity/Q3944733,wd:Q3944733,17819078,Albanian pagent contestant
Albania,5,Çiljeta,http://www.wikidata.org/entity/Q3338726,wd:Q3338726,41228670,Albanian singer
Albania,5,Egla Harxhi,http://www.wikidata.org/entity/Q516317,wd:Q516317,20310616,Albanian beauty pageant contestant
Albania,4,Trejsi Sejdini,http://www.wikidata.org/entity/Q55314841,wd:Q55314841,57789560,Miss Universe Albania 2018
Albania,4,Eva Murati,http://www.wikidata.org/entity/Q34629352,wd:Q34629352,54726238,Albanian actress
Albania,4,Zhaneta Byberi,http://www.wikidata.org/entity/Q18205728,wd:Q18205728,44063417,Albanian model and beauty pageant winner
Algeria,65,Yves Saint Laurent,http://www.wikidata.org/entity/Q171556,wd:Q171556,145236,French fashion designer
France,65,Yves Saint Laurent,http://www.wikidata.org/entity/Q171556,wd:Q171556,145236,French fashion designer
Algeria,33,Sofia Boutella,http://www.wikidata.org/entity/Q258777,wd:Q258777,14882980,"Algerian-French actress, dancer and former rhythmic gymnast"
Algeria,30,Edwige Fenech,http://www.wikidata.org/entity/Q266229,wd:Q266229,2393673,French-Italian actress
Algeria,11,Zahia Dehar,http://www.wikidata.org/entity/Q3574603,wd:Q3574603,38703335,French-Algerian fashion and lingerie designer
Algeria,9,France Anglade,http://www.wikidata.org/entity/Q437591,wd:Q437591,29565786,French actress (1942-2014)
Algeria,8,Zouzou,http://www.wikidata.org/entity/Q3576189,wd:Q3576189,5219070,French actress and model
Algeria,6,Elizabeth Teissier,http://www.wikidata.org/entity/Q121865,wd:Q121865,50922324,French astrologer
Algeria,6,M,http://www.wikidata.org/entity/Q2550226,wd:Q2550226,2096406,fictional character in Marvel Comics
Bosnia and Herzegovina,6,M,http://www.wikidata.org/entity/Q2550226,wd:Q2550226,2096406,fictional character in Marvel Comics
Algeria,5,Farida Khelfa,http://www.wikidata.org/entity/Q3066913,wd:Q3066913,60805720,French actress and model
Andorra,7,Merche Romero,http://www.wikidata.org/entity/Q3308054,wd:Q3308054,5435165,Portuguese model and television presenter
Angola,36,Leila Lopes,http://www.wikidata.org/entity/Q232501,wd:Q232501,30107294,"Miss Angola 2011, Miss Universe 2011"
Angola,16,Maria Borges,http://www.wikidata.org/entity/Q18534020,wd:Q18534020,44359177,Angolan model
Angola,10,Lesliana Pereira,http://www.wikidata.org/entity/Q6530564,wd:Q6530564,22464772,Angolan model
