country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,187,Himalayas,http://www.wikidata.org/entity/Q5451,wd:Q5451,37966,mountain range in Asia
Bhutan,187,Himalayas,http://www.wikidata.org/entity/Q5451,wd:Q5451,37966,mountain range in Asia
India,187,Himalayas,http://www.wikidata.org/entity/Q5451,wd:Q5451,37966,mountain range in Asia
Myanmar,187,Himalayas,http://www.wikidata.org/entity/Q5451,wd:Q5451,37966,mountain range in Asia
Nepal,187,Himalayas,http://www.wikidata.org/entity/Q5451,wd:Q5451,37966,mountain range in Asia
Pakistan,187,Himalayas,http://www.wikidata.org/entity/Q5451,wd:Q5451,37966,mountain range in Asia
Afghanistan,93,Amu Darya,http://www.wikidata.org/entity/Q8493,wd:Q8493,3067,major river in Central Asia
Tajikistan,93,Amu Darya,http://www.wikidata.org/entity/Q8493,wd:Q8493,3067,major river in Central Asia
Turkmenistan,93,Amu Darya,http://www.wikidata.org/entity/Q8493,wd:Q8493,3067,major river in Central Asia
Uzbekistan,93,Amu Darya,http://www.wikidata.org/entity/Q8493,wd:Q8493,3067,major river in Central Asia
Afghanistan,93,Karakoram,http://www.wikidata.org/entity/Q5469,wd:Q5469,219681,"major mountain range spanning the borders between India, Pakistan, and China"
India,93,Karakoram,http://www.wikidata.org/entity/Q5469,wd:Q5469,219681,"major mountain range spanning the borders between India, Pakistan, and China"
Pakistan,93,Karakoram,http://www.wikidata.org/entity/Q5469,wd:Q5469,219681,"major mountain range spanning the borders between India, Pakistan, and China"
Tajikistan,93,Karakoram,http://www.wikidata.org/entity/Q5469,wd:Q5469,219681,"major mountain range spanning the borders between India, Pakistan, and China"
Afghanistan,88,Hindu Kush,http://www.wikidata.org/entity/Q5472,wd:Q5472,43567,mountain range near Afghanistan and Pakistan border
Pakistan,88,Hindu Kush,http://www.wikidata.org/entity/Q5472,wd:Q5472,43567,mountain range near Afghanistan and Pakistan border
Afghanistan,85,Pamir mountains,http://www.wikidata.org/entity/Q161750,wd:Q161750,498462,mountain range in Central Asia
India,85,Pamir mountains,http://www.wikidata.org/entity/Q161750,wd:Q161750,498462,mountain range in Central Asia
Kyrgyzstan,85,Pamir mountains,http://www.wikidata.org/entity/Q161750,wd:Q161750,498462,mountain range in Central Asia
Pakistan,85,Pamir mountains,http://www.wikidata.org/entity/Q161750,wd:Q161750,498462,mountain range in Central Asia
Tajikistan,85,Pamir mountains,http://www.wikidata.org/entity/Q161750,wd:Q161750,498462,mountain range in Central Asia
Afghanistan,60,Khyber Pass,http://www.wikidata.org/entity/Q191333,wd:Q191333,21373615,mountain pass connecting Afghanistan and Pakistan
Pakistan,60,Khyber Pass,http://www.wikidata.org/entity/Q191333,wd:Q191333,21373615,mountain pass connecting Afghanistan and Pakistan
Afghanistan,57,Helmand River,http://www.wikidata.org/entity/Q8510,wd:Q8510,158780,river in Afghanistan and Iran
Iran,57,Helmand River,http://www.wikidata.org/entity/Q8510,wd:Q8510,158780,river in Afghanistan and Iran
Afghanistan,56,Kabul River,http://www.wikidata.org/entity/Q8515,wd:Q8515,1844831,river in Afghanistan and Pakistan
Pakistan,56,Kabul River,http://www.wikidata.org/entity/Q8515,wd:Q8515,1844831,river in Afghanistan and Pakistan
Afghanistan,52,Hari River,http://www.wikidata.org/entity/Q8505,wd:Q8505,72716,"river in Afghanistan, Iran and Turkmenistan"
Iran,52,Hari River,http://www.wikidata.org/entity/Q8505,wd:Q8505,72716,"river in Afghanistan, Iran and Turkmenistan"
Turkmenistan,52,Hari River,http://www.wikidata.org/entity/Q8505,wd:Q8505,72716,"river in Afghanistan, Iran and Turkmenistan"
Afghanistan,51,Noshaq,http://www.wikidata.org/entity/Q271700,wd:Q271700,1232703,mountain
Pakistan,51,Noshaq,http://www.wikidata.org/entity/Q271700,wd:Q271700,1232703,mountain
Afghanistan,47,Panj River,http://www.wikidata.org/entity/Q8542,wd:Q8542,1903442,tributary of the Amu Darya
Tajikistan,47,Panj River,http://www.wikidata.org/entity/Q8542,wd:Q8542,1903442,tributary of the Amu Darya
Afghanistan,39,Morghab River,http://www.wikidata.org/entity/Q8553,wd:Q8553,1949149,river in Central Asia
Turkmenistan,39,Morghab River,http://www.wikidata.org/entity/Q8553,wd:Q8553,1949149,river in Central Asia
Afghanistan,35,Band-e Amir,http://www.wikidata.org/entity/Q613251,wd:Q613251,2994951,lake in Afghanistan
Afghanistan,35,Panjshir Valley,http://www.wikidata.org/entity/Q974525,wd:Q974525,2284364,valley
Afghanistan,32,Alpide belt,http://www.wikidata.org/entity/Q847514,wd:Q847514,2999955,seismic and orogenic belt that includes an array of mountain ranges extending for more than 15'000 km along the southern margin of Eurasia
Algeria,32,Alpide belt,http://www.wikidata.org/entity/Q847514,wd:Q847514,2999955,seismic and orogenic belt that includes an array of mountain ranges extending for more than 15'000 km along the southern margin of Eurasia
Andorra,32,Alpide belt,http://www.wikidata.org/entity/Q847514,wd:Q847514,2999955,seismic and orogenic belt that includes an array of mountain ranges extending for more than 15'000 km along the southern margin of Eurasia
Armenia,32,Alpide belt,http://www.wikidata.org/entity/Q847514,wd:Q847514,2999955,seismic and orogenic belt that includes an array of mountain ranges extending for more than 15'000 km along the southern margin of Eurasia
Austria,32,Alpide belt,http://www.wikidata.org/entity/Q847514,wd:Q847514,2999955,seismic and orogenic belt that includes an array of mountain ranges extending for more than 15'000 km along the southern margin of Eurasia
Azerbaijan,32,Alpide belt,http://www.wikidata.org/entity/Q847514,wd:Q847514,2999955,seismic and orogenic belt that includes an array of mountain ranges extending for more than 15'000 km along the southern margin of Eurasia
Bangladesh,32,Alpide belt,http://www.wikidata.org/entity/Q847514,wd:Q847514,2999955,seismic and orogenic belt that includes an array of mountain ranges extending for more than 15'000 km along the southern margin of Eurasia
