,country,number,item,item_id,shortform,pageid,wikidata_description
0,Afghanistan,21,Ahmad Zahir,http://www.wikidata.org/entity/Q195522,wd:Q195522,974608,Afghan singer (1946-1979)
1,Afghanistan,20,Aryana Sayeed,http://www.wikidata.org/entity/Q10944745,wd:Q10944745,40353524,afghan singer
2,Afghanistan,17,Sonita Alizadeh,http://www.wikidata.org/entity/Q20110468,wd:Q20110468,48337541,Afghan rapper and activist
3,Afghanistan,12,Farhad Darya,http://www.wikidata.org/entity/Q741679,wd:Q741679,1969571,Afghan singer/writer/composer/philanthropist
4,Afghanistan,12,Dawood Sarkhosh,http://www.wikidata.org/entity/Q4347166,wd:Q4347166,4260746,Hazara singer and musician from Afghanistan
5,Afghanistan,10,Naghma,http://www.wikidata.org/entity/Q3918308,wd:Q3918308,5653959,Afghan singer
6,Afghanistan,8,Nashenas,http://www.wikidata.org/entity/Q380162,wd:Q380162,7019239,Afghan musician
7,Afghanistan,8,Nasrat Parsa,http://www.wikidata.org/entity/Q337491,wd:Q337491,1874691,Afghan singer (1968-2005)
8,Afghanistan,8,Seeta Qasemi,http://www.wikidata.org/entity/Q16222397,wd:Q16222397,41695296,Afghan singer
9,Afghanistan,8,Soosan Firooz,http://www.wikidata.org/entity/Q7562761,wd:Q7562761,38797361,Afghan actress and rapper
10,Afghanistan,7,Sarban,http://www.wikidata.org/entity/Q2224651,wd:Q2224651,7467159,Afghan singer
11,Afghanistan,7,Qasem Jo,http://www.wikidata.org/entity/Q2121416,wd:Q2121416,62793038,Afghan musician (1878–1957)
12,Afghanistan,7,Amir Jan Sabori,http://www.wikidata.org/entity/Q472198,wd:Q472198,14751971,Afghan musician
13,Afghanistan,7,Ehsan Aman,http://www.wikidata.org/entity/Q933314,wd:Q933314,7475906,Afghan tennis player and singer
14,Afghanistan,7,Farid Zoland,http://www.wikidata.org/entity/Q1396681,wd:Q1396681,9698063,"Iranian and Afghan musician, composer and producer"
15,Afghanistan,7,Hangama,http://www.wikidata.org/entity/Q539848,wd:Q539848,8570289,Afghan singer
16,Afghanistan,6,Jalil Zaland,http://www.wikidata.org/entity/Q380167,wd:Q380167,9698261,Afghan singer
17,Afghanistan,6,Rahim Jahani,http://www.wikidata.org/entity/Q1240671,wd:Q1240671,8611074,Afghan musician
18,Afghanistan,6,Ahmad Wali,http://www.wikidata.org/entity/Q400849,wd:Q400849,33437397,Afghan singer
19,Albania,83,Masiela Lusha,http://www.wikidata.org/entity/Q37944,wd:Q37944,656544,"Albanian actress, writer, author"
20,Albania,64,Bleona,http://www.wikidata.org/entity/Q22137038,wd:Q22137038,33764618,"Albanian-American recording artist, actress, producer, and entrepreneur"
21,Albania,54,Jim Belushi,http://www.wikidata.org/entity/Q107933,wd:Q107933,430546,"American actor, comedian, singer, and musician"
22,Albania,44,Eleni Foureira,http://www.wikidata.org/entity/Q4493489,wd:Q4493489,38855101,Greek singer
23,Greece,44,Eleni Foureira,http://www.wikidata.org/entity/Q4493489,wd:Q4493489,38855101,Greek singer
24,Albania,40,Albano Carrisi,http://www.wikidata.org/entity/Q263621,wd:Q263621,2643566,Italian singer and actor (1943)
25,Albania,39,Era Istrefi,http://www.wikidata.org/entity/Q16911049,wd:Q16911049,42801804,singer
26,Kosovo,39,Era Istrefi,http://www.wikidata.org/entity/Q16911049,wd:Q16911049,42801804,singer
27,Albania,34,Juliana Pasha,http://www.wikidata.org/entity/Q229800,wd:Q229800,25577552,Albanian singer
28,Albania,33,Rona Nishliu,http://www.wikidata.org/entity/Q235260,wd:Q235260,31902589,Albanian singer
29,Kosovo,33,Rona Nishliu,http://www.wikidata.org/entity/Q235260,wd:Q235260,31902589,Albanian singer
30,Albania,32,Linda Halimi,http://www.wikidata.org/entity/Q4952077,wd:Q4952077,44849654,Albanian singer
31,Kosovo,32,Linda Halimi,http://www.wikidata.org/entity/Q4952077,wd:Q4952077,44849654,Albanian singer
32,Serbia,32,Linda Halimi,http://www.wikidata.org/entity/Q4952077,wd:Q4952077,44849654,Albanian singer
33,Albania,31,Inva Mula,http://www.wikidata.org/entity/Q258299,wd:Q258299,537905,Albanian opera singer
34,Albania,30,Jonida Maliqi,http://www.wikidata.org/entity/Q4965132,wd:Q4965132,51675352,Albanian singer
35,Albania,30,Elhaida Dani,http://www.wikidata.org/entity/Q10481367,wd:Q10481367,42551933,Albanian singer
36,Albania,30,Aurela Gaçe,http://www.wikidata.org/entity/Q229789,wd:Q229789,30189273,Albanian singer
37,Albania,29,Eneda Tarifa,http://www.wikidata.org/entity/Q4982056,wd:Q4982056,48927015,Albanian singer
38,Albania,29,Herciana Matmuja,http://www.wikidata.org/entity/Q4966335,wd:Q4966335,41485903,Albanian singer
39,Albania,29,Olta Boka,http://www.wikidata.org/entity/Q236081,wd:Q236081,14984855,Albanian singer
40,Albania,29,Anna Oxa,http://www.wikidata.org/entity/Q238061,wd:Q238061,6374747,Italian-Albanian singer (1961)
41,Albania,28,Anxhela Peristeri,http://www.wikidata.org/entity/Q18244983,wd:Q18244983,65704351,Albanian singer
42,Albania,28,Arilena Ara,http://www.wikidata.org/entity/Q10417885,wd:Q10417885,42952191,Albanian singer
43,Albania,28,Kejsi Tola,http://www.wikidata.org/entity/Q229793,wd:Q229793,20783674,Albanian singer
44,Algeria,43,Khaled,http://www.wikidata.org/entity/Q312609,wd:Q312609,30873028,"musician, singer and songwriter"
45,Morocco,43,Khaled,http://www.wikidata.org/entity/Q312609,wd:Q312609,30873028,"musician, singer and songwriter"
46,Algeria,35,Patrick Bruel,http://www.wikidata.org/entity/Q171530,wd:Q171530,577670,French recording artist; actor and singer
47,Algeria,33,Rachid Taha,http://www.wikidata.org/entity/Q502990,wd:Q502990,924264,Franco-Algerian singer
48,Algeria,30,Jean-Claude Brialy,http://www.wikidata.org/entity/Q106326,wd:Q106326,5323673,French actor and director
49,Algeria,28,Enrico Macias,http://www.wikidata.org/entity/Q325097,wd:Q325097,3185233,French recording artist; singer
50,Algeria,27,Souad Massi,http://www.wikidata.org/entity/Q236370,wd:Q236370,2597169,Algerian singer
51,Algeria,25,Warda Al-Jazairia,http://www.wikidata.org/entity/Q268615,wd:Q268615,956082,Algerian singer (1939-2012)
52,Egypt,25,Warda Al-Jazairia,http://www.wikidata.org/entity/Q268615,wd:Q268615,956082,Algerian singer (1939-2012)
53,Algeria,25,Cheb Mami,http://www.wikidata.org/entity/Q441266,wd:Q441266,884942,Raï singer
54,Algeria,23,Idir,http://www.wikidata.org/entity/Q2272870,wd:Q2272870,3003057,Algerian singer (1945-2020)
55,Algeria,22,Zaho,http://www.wikidata.org/entity/Q144166,wd:Q144166,19333422,Algerian-Canadian singer
56,Algeria,18,Kenza Farah,http://www.wikidata.org/entity/Q272109,wd:Q272109,15589341,French singer
57,Algeria,17,Lounès Matoub,http://www.wikidata.org/entity/Q524362,wd:Q524362,1309423,Algerian Berber singer
58,Algeria,17,Faudel,http://www.wikidata.org/entity/Q741850,wd:Q741850,1148124,French singer
59,Morocco,17,Faudel,http://www.wikidata.org/entity/Q741850,wd:Q741850,1148124,French singer
60,Algeria,16,Biyouna,http://www.wikidata.org/entity/Q2905002,wd:Q2905002,14681624,"Algerian actress, dancer and singer"
61,Algeria,16,Ferhat Mehenni,http://www.wikidata.org/entity/Q983028,wd:Q983028,2979962,Algerian Berber politician
62,Algeria,15,Cheb Hasni,http://www.wikidata.org/entity/Q983496,wd:Q983496,1704031,Algerian musician
63,Algeria,15,Taos Amrouche,http://www.wikidata.org/entity/Q2641050,wd:Q2641050,4896201,Algerian writer and singer (1913-1976)
64,Tunisia,15,Taos Amrouche,http://www.wikidata.org/entity/Q2641050,wd:Q2641050,4896201,Algerian writer and singer (1913-1976)
65,Algeria,13,Cheikha Rimitti,http://www.wikidata.org/entity/Q452186,wd:Q452186,3085775,Algerian female raï singer
66,Algeria,13,Aziza Brahim,http://www.wikidata.org/entity/Q4832702,wd:Q4832702,29232866,Sahwari singer
67,Algeria,12,Polaire,http://www.wikidata.org/entity/Q463014,wd:Q463014,1013688,French actress
68,Andorra,26,Susanne Georgi,http://www.wikidata.org/entity/Q236034,wd:Q236034,10936764,Danish singer
69,Denmark,26,Susanne Georgi,http://www.wikidata.org/entity/Q236034,wd:Q236034,10936764,Danish singer
70,Andorra,23,Marta Roure,http://www.wikidata.org/entity/Q275912,wd:Q275912,6292897,Andorran singer
71,Andorra,14,Marian van de Wal,http://www.wikidata.org/entity/Q264615,wd:Q264615,2423715,Dutch singer
72,Andorra,3,Nick Gain,http://www.wikidata.org/entity/Q17309036,wd:Q17309036,43204714,"singer-songwriter, Dj, Producer, Instrumentalist."
73,Andorra,1,Niki Francesca,http://www.wikidata.org/entity/Q16208223,wd:Q16208223,12295333,Andorran singer
74,Angola,15,Bonga,http://www.wikidata.org/entity/Q10993733,wd:Q10993733,2334505,Angolan folk and semba singer and songwriter
75,Angola,15,Eduardo Nascimento,http://www.wikidata.org/entity/Q1290688,wd:Q1290688,24943689,Angolan singer
76,Angola,14,Armando Gama,http://www.wikidata.org/entity/Q678376,wd:Q678376,20967072,Portuguese singer
77,Angola,10,Neide Van-Dúnem,http://www.wikidata.org/entity/Q4381715,wd:Q4381715,20463412,Angolan singer-songwriter and actress
78,Angola,9,Anselmo Ralph,http://www.wikidata.org/entity/Q3609204,wd:Q3609204,38611404,"singer of R&B, Soul and Kizomba"
79,Angola,9,Paulo Flores,http://www.wikidata.org/entity/Q2032898,wd:Q2032898,7195102,Angolan musician
80,Angola,8,Waldemar Bastos,http://www.wikidata.org/entity/Q2541308,wd:Q2541308,1959277,Angolan musician
81,Angola,8,Aline Frazão,http://www.wikidata.org/entity/Q16336392,wd:Q16336392,52208331,Angolan singer-songwriter
82,Angola,7,Deolinda Kinzimba,http://www.wikidata.org/entity/Q25428356,wd:Q25428356,65506423,Angolan singer and actress
83,Angola,7,Titica,http://www.wikidata.org/entity/Q2514348,wd:Q2514348,35475008,Angolan singer and dancer
84,Angola,7,Lourdes Van-Dúnem,http://www.wikidata.org/entity/Q1790831,wd:Q1790831,3662763,Angolan musician (1935-2006)
85,Angola,6,Teta Lando,http://www.wikidata.org/entity/Q7705984,wd:Q7705984,2793322,Angolan musician
86,Angola,6,Jandira Sassingui,http://www.wikidata.org/entity/Q18467307,wd:Q18467307,55734503,Angolan singer
87,Angola,5,Pongo (musician),http://www.wikidata.org/entity/Q108479016,wd:Q108479016,68681426,Angolan singer
88,Angola,5,Luaty Beirão,http://www.wikidata.org/entity/Q21140733,wd:Q21140733,60251729,Angola-Portuguese musician and human rights activist
89,Angola,4,Nuno Mindelis,http://www.wikidata.org/entity/Q3346425,wd:Q3346425,4549701,Angolan-born Brazilian blues guitarist and singer-songwriter
90,Antigua and Barbuda,8,Vivian Bonnell,http://www.wikidata.org/entity/Q28002408,wd:Q28002408,52570280,actor and calypso singer (1924-2003)
91,Antigua and Barbuda,4,Claudette Peters,http://www.wikidata.org/entity/Q18702543,wd:Q18702543,44910628,Antiguan singer
92,Antigua and Barbuda,2,King Short Shirt,http://www.wikidata.org/entity/Q16105976,wd:Q16105976,36199549,Antiguan musician
93,Argentina,58,Carlos Gardel,http://www.wikidata.org/entity/Q229613,wd:Q229613,252092,"Argentinian singer, songwriter, actor; the most prominent figure in the history of tango"
94,Uruguay,58,Carlos Gardel,http://www.wikidata.org/entity/Q229613,wd:Q229613,252092,"Argentinian singer, songwriter, actor; the most prominent figure in the history of tango"
95,Argentina,51,Mercedes Sosa,http://www.wikidata.org/entity/Q216450,wd:Q216450,476992,Argentine singer (1935-2009)
96,Argentina,43,Martina Stoessel,http://www.wikidata.org/entity/Q2699591,wd:Q2699591,35814152,Argentine actress and singer
97,Argentina,38,María Elena Walsh,http://www.wikidata.org/entity/Q188848,wd:Q188848,3749866,Argentine author and composer
98,Argentina,35,Facundo Cabral,http://www.wikidata.org/entity/Q332035,wd:Q332035,1325495,Argentine singer and songwriter
99,Argentina,34,Khea,http://www.wikidata.org/entity/Q63400248,wd:Q63400248,62546362,Argentinian artist
100,Argentina,32,Atahualpa Yupanqui,http://www.wikidata.org/entity/Q284017,wd:Q284017,475099,Argentine singer (1908-1992)
101,Argentina,32,Libertad Lamarque,http://www.wikidata.org/entity/Q236026,wd:Q236026,2552029,Mexican nationalized argentinian actress and singer (1908-2000)
102,Argentina,32,Duki,http://www.wikidata.org/entity/Q62024032,wd:Q62024032,62050064,Argentine rapper and singer
103,Argentina,32,Lali Espósito,http://www.wikidata.org/entity/Q466762,wd:Q466762,20115591,"Argentinian actress, singer, dancer and model"
104,Argentina,32,Chris de Burgh,http://www.wikidata.org/entity/Q178237,wd:Q178237,823779,singer from the United Kingdom/Ireland (British-Irish)
105,Argentina,31,Gustavo Cerati,http://www.wikidata.org/entity/Q533284,wd:Q533284,454347,"Argentine musician, singer-songwriter and composer"
106,Argentina,31,Germán Burgos,http://www.wikidata.org/entity/Q350288,wd:Q350288,1539573,Argentine footballer
107,Argentina,30,Abel Balbo,http://www.wikidata.org/entity/Q318387,wd:Q318387,2335302,Argentine footballer and manager
108,Argentina,29,Emilia Lusiana Lopilato Brian,http://www.wikidata.org/entity/Q234939,wd:Q234939,3394857,Argentine actress and model
109,Argentina,27,Charly García,http://www.wikidata.org/entity/Q467940,wd:Q467940,671281,Argentine singer-songwriter and musician
110,Argentina,27,Wos,http://www.wikidata.org/entity/Q59598640,wd:Q59598640,68502268,Argentine rapper
111,Argentina,26,José González,http://www.wikidata.org/entity/Q315107,wd:Q315107,2697948,Swedish-Argentine singer-songwriter
112,Argentina,25,Gilda,http://www.wikidata.org/entity/Q447621,wd:Q447621,27354967,Argentine singer (1961-1996)
113,Argentina,25,Mía Maestro,http://www.wikidata.org/entity/Q256649,wd:Q256649,1589750,Argentine actress and singer-songwriter
114,Armenia,94,Charles Aznavour,http://www.wikidata.org/entity/Q1785,wd:Q1785,91345,Armenian-French singer and diplomat
115,France,94,Charles Aznavour,http://www.wikidata.org/entity/Q1785,wd:Q1785,91345,Armenian-French singer and diplomat
116,Armenia,47,Sirusho,http://www.wikidata.org/entity/Q229383,wd:Q229383,12060871,Armenian singer
117,Armenia,44,Aram Mp3,http://www.wikidata.org/entity/Q15493504,wd:Q15493504,41513792,Armenian singer
118,Armenia,42,Ivetà Mukutxian,http://www.wikidata.org/entity/Q3539876,wd:Q3539876,37859507,Armenian singer
119,Armenia,39,Eva Rivas,http://www.wikidata.org/entity/Q235880,wd:Q235880,26198691,Armenian singer
120,Armenia,33,Lusine Zakaryan,http://www.wikidata.org/entity/Q541175,wd:Q541175,5577929,Armenian soprano
121,Georgia,33,Lusine Zakaryan,http://www.wikidata.org/entity/Q541175,wd:Q541175,5577929,Armenian soprano
122,Armenia,32,Srbuk,http://www.wikidata.org/entity/Q59314138,wd:Q59314138,59209148,Armenian singer
123,Armenia,32,Gohar Gasparyan,http://www.wikidata.org/entity/Q1971489,wd:Q1971489,11381485,Armenian opera singer (1924-2007)
124,Egypt,32,Gohar Gasparyan,http://www.wikidata.org/entity/Q1971489,wd:Q1971489,11381485,Armenian opera singer (1924-2007)
