country,number,item,item_id
Afghanistan,41,Saur Revolution,http://www.wikidata.org/entity/Q1341539
Afghanistan,25,Operation Storm-333,http://www.wikidata.org/entity/Q975430
Afghanistan,16,Afghanistan at the 1972 Summer Olympics,http://www.wikidata.org/entity/Q143950
Afghanistan,10,1973 Afghan coup d'état,http://www.wikidata.org/entity/Q30070166
Afghanistan,5,Chindawol uprising,http://www.wikidata.org/entity/Q47004508
Afghanistan,4,Bala Hissar uprising,http://www.wikidata.org/entity/Q47004505
Afghanistan,3,Afghanistan at the 1974 Asian Games,http://www.wikidata.org/entity/Q4689168
Afghanistan,3,1978 in Afghanistan,http://www.wikidata.org/entity/Q15144549
Afghanistan,2,1970 in Afghanistan,http://www.wikidata.org/entity/Q4574222
Afghanistan,2,1974 in Afghanistan,http://www.wikidata.org/entity/Q4576310
Afghanistan,1,Q5927980,http://www.wikidata.org/entity/Q5927980
Afghanistan,1,Q5939543,http://www.wikidata.org/entity/Q5939543
Afghanistan,1,Bagram Il-76 crash of 1979,http://www.wikidata.org/entity/Q19909531
Afghanistan,1,1976 Afghanistan attempted coup,http://www.wikidata.org/entity/Q23038132
Afghanistan,1,Q106878540,http://www.wikidata.org/entity/Q106878540
Albania,19,Albania at the 1972 Summer Olympics,http://www.wikidata.org/entity/Q147706
Albania,5,Festivali i Këngës 11,http://www.wikidata.org/entity/Q5445830
Albania,4,1970 Albanian parliamentary election,http://www.wikidata.org/entity/Q3722312
Albania,3,1974 Albanian parliamentary election,http://www.wikidata.org/entity/Q3722315
Albania,3,1978 Albanian parliamentary election,http://www.wikidata.org/entity/Q3722316
Albania,1,Festivali i Këngës 12,http://www.wikidata.org/entity/Q13038895
Albania,1,Festivali i Këngës 16,http://www.wikidata.org/entity/Q13038899
Albania,1,Festivali i Këngës 10,http://www.wikidata.org/entity/Q13038896
Albania,1,Festivali i Këngës 13,http://www.wikidata.org/entity/Q13038897
Albania,1,Festivali i Këngës 17,http://www.wikidata.org/entity/Q13038900
Albania,1,Festivali i Këngës 18,http://www.wikidata.org/entity/Q13038901
Albania,1,Festivali i Këngës 14,http://www.wikidata.org/entity/Q16355128
Albania,1,Festivali i Këngës 15,http://www.wikidata.org/entity/Q16355132
Albania,1,Festivali i Këngës 9,http://www.wikidata.org/entity/Q16355216
Albania,1,Rodi disaster,http://www.wikidata.org/entity/Q104487574
Algeria,20,1975 Algiers Agreement,http://www.wikidata.org/entity/Q321865
Algeria,17,Algeria at the 1972 Summer Olympics,http://www.wikidata.org/entity/Q150698
Algeria,14,1978 All-Africa Games,http://www.wikidata.org/entity/Q1185926
Algeria,13,1979 Paris–Dakar Rally,http://www.wikidata.org/entity/Q774247
Algeria,5,1976 Algerian presidential election,http://www.wikidata.org/entity/Q3586506
Algeria,5,1979 Algerian presidential election,http://www.wikidata.org/entity/Q3586507
Algeria,5,wrestling at the 1975 Mediterranean Games,http://www.wikidata.org/entity/Q25402361
Algeria,4,swimming at the 1975 Mediterranean Games,http://www.wikidata.org/entity/Q3879684
Algeria,3,1971 Algerian Cup Final,http://www.wikidata.org/entity/Q18344191
Algeria,3,1973 Algerian Cup Final,http://www.wikidata.org/entity/Q18344229
Algeria,3,sailing at the 1975 Mediterranean Games,http://www.wikidata.org/entity/Q18420687
Algeria,3,Judo at the 1975 Mediterranean Games,http://www.wikidata.org/entity/Q19365851
Algeria,2,Q4000253,http://www.wikidata.org/entity/Q4000253
Algeria,2,1977 Algerian legislative election,http://www.wikidata.org/entity/Q4724096
Algeria,2,1978 Algerian Cup Final,http://www.wikidata.org/entity/Q30647437
Algeria,2,1975 Algerian Cup Final,http://www.wikidata.org/entity/Q30633978
Algeria,2,1970 Algerian Cup Final,http://www.wikidata.org/entity/Q30635208
Algeria,1,Algeria at the 1975 Mediterranean Games,http://www.wikidata.org/entity/Q19576858
Algeria,1,Algeria at the 1978 All-Africa Games,http://www.wikidata.org/entity/Q20311229
Algeria,1,Tour d'Algérie 1972,http://www.wikidata.org/entity/Q21083966
