country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Afghanistan,187,Himalayas,http://www.wikidata.org/entity/Q5451,wd:Q5451,37966,mountain range in Asia,"The Himalayas, or Himalaya (; Sanskrit: IPA: [ɦɪmɐːləjɐː], himá ""snow"", ā-laya ""dwelling"", ""abode""), are a mountain range in Asia separating the plains of the Indian subcontinent from the Tibetan Plateau. The range has some of the planet's highest peaks, including the highest, Mount Everest. Over 100 peaks exceeding 7,200 m (23,600 ft) in elevation lie in the Himalayas. By contrast, the highest peak outside Asia (Aconcagua, in the Andes) is 6,961 m (22,838 ft) tall.The Himalayas abut or cross five countries: Bhutan, India, Nepal, China, and Pakistan. The sovereignty of the range in the Kashmir region is disputed among India, Pakistan, and China. The Himalayan range is bordered on the northwest by the Karakoram and Hindu Kush ranges, on the north by the Tibetan Plateau, and on the south by the Indo-Gangetic Plain. Some of the world's major rivers, the Indus, the Ganges, and the Tsangpo–Brahmaputra, rise in the vicinity of the Himalayas, and their combined drainage basin is home to some 600 million people; 53 million people live in the Himalayas. The Himalayas have profoundly shaped the cultures of South Asia and Tibet. Many Himalayan peaks are sacred in Hinduism and Buddhism; the summits of several—Kangchenjunga (from the Indian side), Gangkhar Puensum, Machapuchare, Nanda Devi and Kailas in the Tibetan Transhimalaya—are off-limits to climbers.
Lifted by the subduction of the Indian tectonic plate under the Eurasian Plate, the Himalayan mountain range runs west-northwest to east-southeast in an arc 2,400 km (1,500 mi) long. Its western anchor, Nanga Parbat, lies just south of the northernmost bend of the Indus river. Its eastern anchor, Namcha Barwa, lies immediately west of the great bend of the Yarlung Tsangpo River. The range varies in width from 350 km (220 mi) in the west to 150 km (93 mi) in the east.",https://en.wikipedia.org/wiki/Himalayas
Albania,170,Balkans,http://www.wikidata.org/entity/Q23522,wd:Q23522,4829,geopolitical and cultural region of southeastern Europe,"The Balkans ( BAWL-kənz), also known as the Balkan Peninsula, is a geographic area in southeastern Europe with various geographical and historical definitions. The region takes its name from the Balkan Mountains that stretch throughout the whole of Bulgaria. The Balkan Peninsula is bordered by the Adriatic Sea in the northwest, the Ionian Sea in the southwest, the Aegean Sea in the south, the Turkish Straits in the east, and the Black Sea in the northeast. The northern border of the peninsula is variously defined. The highest point of the Balkans is Mount Musala, 2,925 metres (9,596 ft), in the Rila mountain range, Bulgaria.
The concept of the Balkan Peninsula was created by the German geographer August Zeune in 1808, who mistakenly considered the Balkan Mountains the dominant mountain system of Southeast Europe spanning from the Adriatic Sea to the Black Sea. The term Balkan Peninsula was a synonym for Rumelia in the 19th century, the European provinces of the Ottoman Empire. It had a geopolitical rather than a geographical definition, which was further promoted during the creation of the Kingdom of Yugoslavia in the early 20th century. The definition of the Balkan Peninsula's natural borders does not coincide with the technical definition of a peninsula; hence modern geographers reject the idea of a Balkan peninsula, while historical scholars usually discuss the Balkans as a region. The term has acquired a stigmatized and pejorative meaning related to the process of Balkanization, and hence the preferred alternative term used for the region is Southeast Europe.",https://en.wikipedia.org/wiki/Balkans
Algeria,201,Sahara,http://www.wikidata.org/entity/Q6583,wd:Q6583,325363,desert in Africa,"The Sahara (, ; Arabic: الصحراء الكبرى, aṣ-ṣaḥrā' al-kubrá, 'the Greatest Desert') is a desert on the African continent. With an area of 9,200,000 square kilometres (3,600,000 sq mi), it is the largest hot desert in the world and the third largest desert overall, smaller only than the deserts of Antarctica and the northern Arctic.The name ""Sahara"" is derived from the Arabic word for ""desert"" in the feminine irregular form, the singular ṣaḥra' (صحراء /ˈsˤaħra/), plural ṣaḥārā (صَحَارَى /ˈsˤaħaːraː/), ṣaḥār (صَحَار), ṣaḥrāwāt (صَحْارَاوَات), ṣaḥāriy (صَحَارِي).
The desert comprises much of North Africa, excluding the fertile region on the Mediterranean Sea coast, the Atlas Mountains of the Maghreb, and the Nile Valley in Egypt and the Sudan. It stretches from the Red Sea in the east and the Mediterranean in the north to the Atlantic Ocean in the west, where the landscape gradually changes from desert to coastal plains. To the south, it is bounded by the Sahel, a belt of semi-arid tropical savanna around the Niger River valley and the Sudan Region of Sub-Saharan Africa. The Sahara can be divided into several regions, including the western Sahara, the central Ahaggar Mountains, the Tibesti Mountains, the Aïr Mountains, the Ténéré desert, and the Libyan Desert.
For several hundred thousand years, the Sahara has alternated between desert and savanna grassland in a 20,000 year cycle caused by the precession of Earth's axis as it rotates around the Sun, which changes the location of the North African monsoon.",https://en.wikipedia.org/wiki/Sahara
Andorra,143,Iberian Peninsula,http://www.wikidata.org/entity/Q12837,wd:Q12837,14883,peninsula located in the extreme southwest of Europe,"The Iberian Peninsula , also known as Iberia, is a peninsula in southwestern Europe, defining the westernmost edge of Eurasia. It is principally divided between Spain and Portugal, comprising most of their territory, as well as a small area of Southern France, Andorra and Gibraltar. With an area of approximately 583,254 square kilometres (225,196 sq mi), and a population of roughly 53 million, it is the second largest European peninsula by area, after the Scandinavian Peninsula.",https://en.wikipedia.org/wiki/Iberian_Peninsula
Angola,143,Congo,http://www.wikidata.org/entity/Q3503,wd:Q3503,44361,river in central Africa,"The Congo River (Kongo: Nzâdi Kôngo, French: Fleuve Congo, Portuguese: Rio Congo), formerly also known as the Zaire River, is the second longest river in Africa, shorter  only than the Nile, as well as the second largest river in the world by discharge volume, following only the Amazon. It is also the world's deepest recorded river, with measured depths in excess of 220 m (720 ft). The Congo-Lualaba-Chambeshi River system has an overall length of 4,700 km (2,920 mi), which makes it the world's ninth-longest river. The Chambeshi is a tributary of the Lualaba River, and Lualaba is the name of the Congo River upstream of Boyoma Falls, extending for 1,800 km (1,120 mi).
Measured along with the Lualaba, the main tributary, the Congo River has a total length of 4,370 km (2,715 mi). It is the only major river to cross the equator twice. The Congo Basin has a total area of about 4,000,000 km2 (1,500,000 sq mi), or 13% of the entire African landmass.

",https://en.wikipedia.org/wiki/Congo_River
Antigua and Barbuda,67,Antigua,http://www.wikidata.org/entity/Q316390,wd:Q316390,1967554,island in Antigua and Barbuda,"Antigua ( ann-TEE-gə), also known as Waladli or Wadadli by the native population, is an island in the Lesser Antilles. It is one of the Leeward Islands in the Caribbean region and the main island of the country of Antigua and Barbuda. Antigua and Barbuda became an independent state within the Commonwealth of Nations on 1 November 1981.Antigua means ""ancient"" in Spanish after an icon in Seville Cathedral, ""Santa María de la Antigua"" — St. Mary of the Old Cathedral. The name Waladli comes from the indigenous inhabitants and means approximately ""our own"". The island's perimeter is roughly 87 km (54 mi) and its area 281 km2 (108 sq mi). Its population was 83,191 (at the 2011 Census). The economy is mainly reliant on tourism, with the agricultural sector serving the domestic market.
Over 22,000 people live in the capital city, St. John's. The capital is situated in the north-west and has a deep harbour which is able to accommodate large cruise ships. Other leading population settlements are All Saints (3,412) and Liberta (2,239), according to the 2001 census.
English Harbour on the south-eastern coast provides one of the largest deep water, protected harbors in the Eastern Caribbean. It is the site of a restored British colonial naval station named ""Nelson's Dockyard"" after Vice-Admiral The 1st Viscount Nelson. English Harbour and the neighbouring village of Falmouth are yachting and sailing destinations and provisioning centres. During Antigua Sailing Week, at the end of April and beginning of May, an annual regatta brings a number of sailing vessels and sailors to the island to take part in sporting events. Every December for the past 60 years, Antigua has been home to one of the largest charter yacht shows, welcoming super-yachts from around the world.On 6 September 2017, the Category 5 Hurricane Irma destroyed 90 percent of the buildings on the island of Barbuda and the entire population was evacuated to Antigua.",https://en.wikipedia.org/wiki/Antigua
Argentina,168,Andes,http://www.wikidata.org/entity/Q5456,wd:Q5456,1354,mountain range running along the western side of South America,"The Andes, Andes Mountains or Andean Mountains (Spanish: Cordillera de los Andes) are the longest continental mountain range in the world, forming a continuous highland along the western edge of South America. The range is 6,999 km (4,349 mi) long, 200 to 700 km (124 to 435 mi) wide (widest between 18°S - 20°S latitude), and has an average height of about 4,000 m (13,123 ft). The Andes extend from north to south through seven South American countries: Venezuela, Colombia, Ecuador, Peru, Bolivia, Chile, and Argentina.
Along their length, the Andes are split into several ranges, separated by intermediate depressions. The Andes are the location of several high plateaus—some of which host major cities such as Quito, Bogotá, Cali, Arequipa, Medellín, Bucaramanga, Sucre, Mérida, El Alto and La Paz. The Altiplano plateau is the world's second-highest after the Tibetan plateau. These ranges are in turn grouped into three major divisions based on climate: the Tropical Andes, the Dry Andes, and the Wet Andes.
The Andes Mountains are the highest mountain range outside Asia. The highest mountain outside Asia, Argentina's Mount Aconcagua, rises to an elevation of about 6,961 m (22,838 ft) above sea level. The peak of Chimborazo in the Ecuadorian Andes is farther from the Earth's center than any other location on the Earth's surface, due to the equatorial bulge resulting from the Earth's rotation. The world's highest volcanoes are in the Andes, including Ojos del Salado on the Chile-Argentina border, which rises to 6,893 m (22,615 ft).
The Andes are also part of the American Cordillera, a chain of mountain ranges (cordillera) that consists of an almost continuous sequence of mountain ranges that form the western ""backbone"" of North America, Central America, South America and Antarctica.",https://en.wikipedia.org/wiki/Andes
Armenia,104,Caucasus Mountains,http://www.wikidata.org/entity/Q5477,wd:Q5477,230497,mountain system in Eurasia,"The Caucasus Mountains is a mountain range at the intersection of Asia and Europe. Stretching between the Black Sea and the Caspian Sea, it is surrounded by the Caucasus region and is home to Mount Elbrus, the highest peak in Europe at 5,642 metres (18,510 ft) above sea level.
The Caucasus Mountains include the Greater Caucasus in the north and Lesser Caucasus in the south. The Greater Caucasus runs west-northwest to east-southeast, from the Caucasian Natural Reserve in the vicinity of Sochi, Russia on the northeastern shore of the Black Sea to Baku, Azerbaijan on the Caspian Sea. The Lesser Caucasus runs parallel to the Greater about 100 km (62 mi) south. The Greater and Lesser Caucasus ranges are connected by the Likhi Range, and to the west and east of the Likhi Range lie the Colchis Plain and the Kur-Araz Lowland. The Meskheti Range is a part of the Lesser Caucasus system. In the southeast, the Aras River separates the Lesser Caucasus from the Talysh Mountains which straddles the border of southeastern Azerbaijan and Iran. The Lesser Caucasus and the Armenian Highland constitute the Transcaucasian Highland, which at their western end converges with the highland plateau of Eastern Anatolia in the far north east of Turkey. Mountains near Sochi hosted part of the 2014 Winter Olympics.",https://en.wikipedia.org/wiki/Caucasus_Mountains
Australia,142,Great Barrier Reef,http://www.wikidata.org/entity/Q7343,wd:Q7343,70983,"coral reef system located in the Coral Sea, World Heritage Site","The Great Barrier Reef is the world's largest coral reef system composed of over 2,900 individual reefs and 900 islands stretching for over 2,300 kilometres (1,400 mi) over an area of approximately 344,400 square kilometres (133,000 sq mi). The reef is located in the Coral Sea, off the coast of Queensland, Australia, separated from the coast by a channel 100 miles wide in places and over 200 feet deep. The Great Barrier Reef can be seen from outer space and is the world's biggest single structure made by living organisms. This reef structure is composed of and built by billions of tiny organisms, known as coral polyps. It supports a wide diversity of life and was selected as a World Heritage Site in 1981. CNN labelled it one of the seven natural wonders of the world in 1997. Australian World Heritage places included it in its list in 2007. The Queensland National Trust named it a state icon of Queensland in 2006.A large part of the reef is protected by the Great Barrier Reef Marine Park, which helps to limit the impact of human use, such as fishing and tourism. Other environmental pressures on the reef and its ecosystem include runoff, climate change accompanied by mass coral bleaching, dumping of dredging sludge and cyclic population outbreaks of the crown-of-thorns starfish. According to a study published in October 2012 by the Proceedings of the National Academy of Sciences, the reef has lost more than half its coral cover since 1985, a finding reaffirmed by a 2020 study which found over half of the reef's coral cover to have been lost between 1995 and 2017, with the effects of a widespread 2020 bleaching event not yet quantified.The Great Barrier Reef has long been known to and used by the Aboriginal Australian and Torres Strait Islander peoples, and is an important part of local groups' cultures and spirituality. The reef is a very popular destination for tourists, especially in the Whitsunday Islands and Cairns regions. Tourism is an important economic activity for the region, generating over AUD$3 billion per year. In November 2014, Google launched Google Underwater Street View in 3D of the Great Barrier Reef.A March 2016 report stated that coral bleaching was more widespread than previously thought, seriously affecting the northern parts of the reef as a result of warming ocean temperatures. In October 2016, Outside published an obituary for the reef; the article was criticized for being premature and hindering efforts to bolster the resilience of the reef. In March 2017, the journal Nature published a paper showing that huge sections of an 800-kilometre (500 mi) stretch in the northern part of the reef had died in the course of 2016 due to high water temperatures, an event that the authors put down to the effects of global climate change. The percentage of baby corals being born on the Great Barrier Reef dropped drastically in 2018 and scientists are describing it as the early stage of a ""huge natural selection event unfolding"". Many of the mature breeding adults died in the bleaching events of 2016–17 leading to low coral birth rates. The types of corals that reproduced also changed, leading to a ""long-term reorganisation of the reef ecosystem if the trend continues.""The Great Barrier Reef Marine Park Act 1975 (section 54) demands every five years an Outlook Report on the Reef's health, pressures, and future. The last report was published in 2019.In March 2022, another mass bleaching event has been confirmed, which raised further concerns about the future of this reef system, especially when considering the possible effects of El Niño weather phenomenon.",https://en.wikipedia.org/wiki/Great_Barrier_Reef
Austria,190,Alps,http://www.wikidata.org/entity/Q1286,wd:Q1286,981,European mountain range,"The Alps are the highest and most extensive mountain range system that lies entirely in Europe, stretching approximately 750 mi (1,210 km) across eight Alpine countries (from west to east): France, Switzerland, Monaco, Italy, Liechtenstein, Austria, Germany, and Slovenia.The Alpine arch generally extends from Nice on the western Mediterranean to Trieste on the Adriatic and Vienna at the beginning of the Pannonian Basin. The mountains were formed over tens of millions of years as the African and Eurasian tectonic plates collided. Extreme shortening  caused by the event resulted in marine sedimentary rocks rising by thrusting and folding into high mountain peaks such as Mont Blanc and the Matterhorn. 
Mont Blanc spans the French–Italian border, and at 4,809 m (15,778 ft) is the highest mountain in the Alps. The Alpine region area contains 128 peaks higher than 4,000 m (13,000 ft).
The altitude and size of the range affect the climate in Europe; in the mountains, precipitation levels vary greatly and climatic conditions consist of distinct zones. Wildlife such as ibex live in the higher peaks to elevations of 3,400 m (11,155 ft), and plants such as Edelweiss grow in rocky areas in lower elevations as well as in higher elevations. 
Evidence of human habitation in the Alps goes back to the Palaeolithic era. A mummified man, determined to be 5,000 years old, was discovered on a glacier at the Austrian–Italian border in 1991.
By the 6th century BC, the Celtic La Tène culture was well established. Hannibal famously crossed the Alps with a herd of elephants, and the Romans had settlements in the region. In 1800, Napoleon crossed one of the mountain passes with an army of 40,000. The 18th and 19th centuries saw an influx of naturalists, writers, and artists, in particular, the Romantics, followed by the golden age of alpinism as mountaineers began to ascend the peaks.
The Alpine region has a strong cultural identity. The traditional culture of farming, cheesemaking, and woodworking still exists in Alpine villages, although the tourist industry began to grow early in the 20th century and expanded greatly after World War II to become the dominant industry by the end of the century. 
The Winter Olympic Games have been hosted in the Swiss, French, Italian, Austrian and German Alps. At present, the region is home to 14 million people and has 120 million annual visitors.",https://en.wikipedia.org/wiki/Alps
