country,number,item,item_id
Afghanistan,78,Jami,http://www.wikidata.org/entity/Q312458
Afghanistan,42,Vasubandhu,http://www.wikidata.org/entity/Q316343
Afghanistan,34,Abu Ma'shar al-Balkhi,http://www.wikidata.org/entity/Q11373
Afghanistan,29,Sanai,http://www.wikidata.org/entity/Q1148049
Afghanistan,20,Al-Shahrastani,http://www.wikidata.org/entity/Q1050887
Afghanistan,16,Lal Shahbaz Qalandar,http://www.wikidata.org/entity/Q738225
Afghanistan,12,Ali al-Qari,http://www.wikidata.org/entity/Q2836379
Afghanistan,11,Faiz Muhammad Katib,http://www.wikidata.org/entity/Q3064681
Afghanistan,8,Baha ud-Din Walad,http://www.wikidata.org/entity/Q402807
Afghanistan,5,Masuada Karokhi,http://www.wikidata.org/entity/Q19919421
Afghanistan,4,Q40378609,http://www.wikidata.org/entity/Q40378609
Afghanistan,4,Sediq Afghan,http://www.wikidata.org/entity/Q7445321
Afghanistan,4,Abdul Samay Hamed,http://www.wikidata.org/entity/Q4665719
Afghanistan,3,Sayed Hassan Akhlaq,http://www.wikidata.org/entity/Q7429160
Afghanistan,2,Mir Ahmad Shah,http://www.wikidata.org/entity/Q21069559
Afghanistan,1,Dr Alema,http://www.wikidata.org/entity/Q109968643
Albania,32,Sami Frashëri,http://www.wikidata.org/entity/Q331896
Albania,15,Mesila Doda,http://www.wikidata.org/entity/Q13560214
Albania,12,Priscus of Epirus,http://www.wikidata.org/entity/Q780234
Albania,11,Zef Jubani,http://www.wikidata.org/entity/Q3299250
Albania,9,Arshi Pipa,http://www.wikidata.org/entity/Q606356
Albania,8,Fatos Lubonja,http://www.wikidata.org/entity/Q441615
Albania,7,Lea Ypi,http://www.wikidata.org/entity/Q109453577
Albania,6,Marinus Becichemus Scodrensis,http://www.wikidata.org/entity/Q6763694
Albania,6,Bleri Lleshi,http://www.wikidata.org/entity/Q15873368
Albania,6,Shkelzen Maliqi,http://www.wikidata.org/entity/Q7499520
Albania,4,Ibrahim Gashi,http://www.wikidata.org/entity/Q13040091
Albania,4,Gani Bobi,http://www.wikidata.org/entity/Q5521298
Albania,3,Gjon Shllaku,http://www.wikidata.org/entity/Q13039422
Albania,3,Petro Zheji,http://www.wikidata.org/entity/Q16091363
Albania,3,Muhamedin Kullashi,http://www.wikidata.org/entity/Q3327481
Albania,2,Gëzim Alpion,http://www.wikidata.org/entity/Q16146751
Albania,2,Arian Starova,http://www.wikidata.org/entity/Q19931522
Albania,2,Sevim Arbana,http://www.wikidata.org/entity/Q110963262
Albania,1,Ardian Ndreca,http://www.wikidata.org/entity/Q58825000
Algeria,206,Augustine of Hippo,http://www.wikidata.org/entity/Q8018
Algeria,191,Albert Camus,http://www.wikidata.org/entity/Q34670
Algeria,91,Apuleius,http://www.wikidata.org/entity/Q170512
Algeria,88,Jacques Derrida,http://www.wikidata.org/entity/Q130631
Algeria,67,Louis Althusser,http://www.wikidata.org/entity/Q184169
Algeria,54,Bernard-Henri Lévy,http://www.wikidata.org/entity/Q313509
Algeria,41,Hélène Cixous,http://www.wikidata.org/entity/Q234964
Algeria,39,Martianus Capella,http://www.wikidata.org/entity/Q348408
Algeria,35,Marcus Cornelius Fronto,http://www.wikidata.org/entity/Q317055
Algeria,32,Jacques Rancière,http://www.wikidata.org/entity/Q467470
Algeria,32,Priscian,http://www.wikidata.org/entity/Q356433
Algeria,20,Émile Boirac,http://www.wikidata.org/entity/Q18436
Algeria,15,Mohammed Arkoun,http://www.wikidata.org/entity/Q2738498
Algeria,14,Catherine Malabou,http://www.wikidata.org/entity/Q432690
Algeria,13,Malek Bennabi,http://www.wikidata.org/entity/Q1887149
Algeria,10,Si Mohand,http://www.wikidata.org/entity/Q2739787
Algeria,9,Sami Nair,http://www.wikidata.org/entity/Q3099296
Algeria,8,Claudio Nizzi,http://www.wikidata.org/entity/Q1054251
Algeria,8,Malek Chebel,http://www.wikidata.org/entity/Q2585354
Algeria,8,Maurice de Gandillac,http://www.wikidata.org/entity/Q601475
Andorra,2,Judit Ribas Duró,http://www.wikidata.org/entity/Q106469531
Angola,6,Luis Filipe Teixeira,http://www.wikidata.org/entity/Q1981661
Angola,1,Pedro Francisco Miguel,http://www.wikidata.org/entity/Q3898651
Angola,1,Rodrigo de Matos,http://www.wikidata.org/entity/Q10363974
Argentina,58,Christian Wolff,http://www.wikidata.org/entity/Q76510
Argentina,37,Quino,http://www.wikidata.org/entity/Q317139
Argentina,36,Facundo Cabrales,http://www.wikidata.org/entity/Q332035
Argentina,36,Ernesto Laclau,http://www.wikidata.org/entity/Q454802
Argentina,34,Mario Bunge,http://www.wikidata.org/entity/Q708853
Argentina,26,Juan Bautista Alberdi,http://www.wikidata.org/entity/Q722738
Argentina,18,Macedonio Fernández,http://www.wikidata.org/entity/Q1334326
Argentina,15,Mario Rodríguez Cobos,http://www.wikidata.org/entity/Q724681
Argentina,15,Tomás Maldonado,http://www.wikidata.org/entity/Q1721032
Argentina,14,José Ingenieros,http://www.wikidata.org/entity/Q733019
Argentina,14,Dorothy Maud Wrinch,http://www.wikidata.org/entity/Q662543
Argentina,14,Roberto Fontanarrosa,http://www.wikidata.org/entity/Q1394068
Argentina,14,Quirino Cristiani,http://www.wikidata.org/entity/Q2517168
Argentina,11,José Pablo Feinmann,http://www.wikidata.org/entity/Q1418232
Argentina,11,Gustavo Perednik,http://www.wikidata.org/entity/Q1028916
Argentina,11,Enrique Dussel,http://www.wikidata.org/entity/Q473518
Argentina,10,Carlos Bernardo González Pecotche,http://www.wikidata.org/entity/Q966645
Argentina,10,Maria Lugones,http://www.wikidata.org/entity/Q6761379
Argentina,10,Julio Cabrera,http://www.wikidata.org/entity/Q57618104
Argentina,10,Carlos Escudé,http://www.wikidata.org/entity/Q2898193
Armenia,56,George Gurdjieff,http://www.wikidata.org/entity/Q217771
Armenia,24,Vazgen I,http://www.wikidata.org/entity/Q739349
Armenia,19,Yeznik of Kolb,http://www.wikidata.org/entity/Q281146
Armenia,18,Gregory Magistros,http://www.wikidata.org/entity/Q2389021
Armenia,16,Garik Martirosyan,http://www.wikidata.org/entity/Q2389088
Armenia,13,Nerses V,http://www.wikidata.org/entity/Q2362985
Armenia,12,Paul Boghossian,http://www.wikidata.org/entity/Q2625853
Armenia,9,Sen Arevshatyan,http://www.wikidata.org/entity/Q4068976
Armenia,9,"Orotnetsʻi Hovhannēs, Vardapet",http://www.wikidata.org/entity/Q4125928
Armenia,8,Artashes Kalantarian,http://www.wikidata.org/entity/Q13052278
Armenia,7,Karen Swassjan,http://www.wikidata.org/entity/Q336054
Armenia,7,Heydar Huseynov,http://www.wikidata.org/entity/Q4152774
Armenia,6,Konul Bunyadzade,http://www.wikidata.org/entity/Q129825
Armenia,6,Ashot Voskanyan,http://www.wikidata.org/entity/Q4126094
Armenia,6,Hovnan Mayravanetsi,http://www.wikidata.org/entity/Q5917264
Armenia,5,Georg Brutyan,http://www.wikidata.org/entity/Q15064710
Armenia,5,Ruben Angaladyan,http://www.wikidata.org/entity/Q16398471
Armenia,5,Suren Muradyan,http://www.wikidata.org/entity/Q20509010
Armenia,4,Edward Atayan,http://www.wikidata.org/entity/Q16380787
Armenia,4,Q20507512,http://www.wikidata.org/entity/Q20507512
Australia,62,Peter Singer,http://www.wikidata.org/entity/Q211539
Australia,54,John Eccles,http://www.wikidata.org/entity/Q273223
Australia,35,David Chalmers,http://www.wikidata.org/entity/Q366123
Australia,29,Michael Halliday,http://www.wikidata.org/entity/Q562952
Australia,25,Samuel Alexander,http://www.wikidata.org/entity/Q379900
Australia,25,J. L. Mackie,http://www.wikidata.org/entity/Q713642
Australia,20,J. J. C. Smart,http://www.wikidata.org/entity/Q600759
Australia,19,David Malet Armstrong,http://www.wikidata.org/entity/Q1173590
Australia,18,Rosi Braidotti,http://www.wikidata.org/entity/Q2662864
Australia,18,Peter Garrett,http://www.wikidata.org/entity/Q528907
Australia,16,John Finnis,http://www.wikidata.org/entity/Q3312283
Australia,16,Pat Sullivan,http://www.wikidata.org/entity/Q2407511
Australia,16,Norman Lindsay,http://www.wikidata.org/entity/Q1273998
Australia,14,Hedley Bull,http://www.wikidata.org/entity/Q188181
Australia,14,Josef Popper-Lynkeus,http://www.wikidata.org/entity/Q78903
Australia,14,Frank Cameron Jackson,http://www.wikidata.org/entity/Q1365057
Australia,14,David Low,http://www.wikidata.org/entity/Q473773
Australia,14,Alan Chalmers,http://www.wikidata.org/entity/Q1321019
Australia,14,Charles K. Bliss,http://www.wikidata.org/entity/Q112877
Australia,13,Lawrence Alexander Sidney Johnson,http://www.wikidata.org/entity/Q3090721
Austria,155,Ludwig Wittgenstein,http://www.wikidata.org/entity/Q9391
Austria,117,Karl Popper,http://www.wikidata.org/entity/Q81244
Austria,106,Kurt Gödel,http://www.wikidata.org/entity/Q41390
Austria,104,Friedrich Hayek,http://www.wikidata.org/entity/Q1325
Austria,94,Edmund Husserl,http://www.wikidata.org/entity/Q58586
Austria,87,Konrad Lorenz,http://www.wikidata.org/entity/Q78496
Austria,85,Ludwig Boltzmann,http://www.wikidata.org/entity/Q84296
Austria,77,Ludwig von Mises,http://www.wikidata.org/entity/Q84233
Austria,75,Martin Buber,http://www.wikidata.org/entity/Q84423
Austria,68,Peter Drucker,http://www.wikidata.org/entity/Q84238
Austria,66,Wilhelm Reich,http://www.wikidata.org/entity/Q84412
Austria,62,Richard Nikolaus von Coudenhove-Kalergi,http://www.wikidata.org/entity/Q78525
Austria,55,Ingeborg Bachmann,http://www.wikidata.org/entity/Q78506
Austria,54,Otto Weininger,http://www.wikidata.org/entity/Q78513
Austria,54,Alfred Hermann Fried,http://www.wikidata.org/entity/Q78488
Austria,51,Hans Kelsen,http://www.wikidata.org/entity/Q84165
Austria,50,Paul Feyerabend,http://www.wikidata.org/entity/Q78497
Austria,49,Ivan Illich,http://www.wikidata.org/entity/Q84186
Austria,46,Otto Bauer,http://www.wikidata.org/entity/Q11730
Austria,44,Karl Polanyi,http://www.wikidata.org/entity/Q318029
Azerbaijan,86,Nezami Ganjavi,http://www.wikidata.org/entity/Q234908
Azerbaijan,43,Pavel Florensky,http://www.wikidata.org/entity/Q336769
Azerbaijan,42,Mirza Fatali Akhundov,http://www.wikidata.org/entity/Q315158
Azerbaijan,29,Garegin Nzhdeh,http://www.wikidata.org/entity/Q1650282
Azerbaijan,22,Abbasgulu Bakikhanov,http://www.wikidata.org/entity/Q1995066
Azerbaijan,18,Max Black,http://www.wikidata.org/entity/Q687424
Azerbaijan,18,Vardan Areveltsi,http://www.wikidata.org/entity/Q2503404
Azerbaijan,18,Azim Azimzade,http://www.wikidata.org/entity/Q2511637
Azerbaijan,16,Yevgeny Petrosyan,http://www.wikidata.org/entity/Q952032
Azerbaijan,15,Ali bey Huseynzade,http://www.wikidata.org/entity/Q2081158
Azerbaijan,12,Seyid Yahya Bakuvi,http://www.wikidata.org/entity/Q2024702
Azerbaijan,12,Hovhannes Imastaser,http://www.wikidata.org/entity/Q1962249
Azerbaijan,10,Aladdin Malikov,http://www.wikidata.org/entity/Q47488661
Azerbaijan,9,Zeynalabdin Shirvani,http://www.wikidata.org/entity/Q2063948
Azerbaijan,8,Rahid Ulusel,http://www.wikidata.org/entity/Q1366656
Azerbaijan,7,Salahaddin Khalilov,http://www.wikidata.org/entity/Q983403
Azerbaijan,7,Zumrud Guluzadeh,http://www.wikidata.org/entity/Q2035112
Azerbaijan,6,Konul Bunyadzade,http://www.wikidata.org/entity/Q129825
Azerbaijan,6,Zakir Mammadov,http://www.wikidata.org/entity/Q2607330
Azerbaijan,6,Adil Asadov,http://www.wikidata.org/entity/Q16364231
The Bahamas,14,Ian Hamilton Finlay,http://www.wikidata.org/entity/Q567547
Bahrain,2,Dayananda Saraswati,http://www.wikidata.org/entity/Q5243052
Bahrain,2,Mohammed Jaber Al-Ansari,http://www.wikidata.org/entity/Q6893152
Bahrain,1,Mohammed Al Arab,http://www.wikidata.org/entity/Q112259620
Bangladesh,53,Sri Chinmoy,http://www.wikidata.org/entity/Q319578
Bangladesh,33,Anandamayi Ma,http://www.wikidata.org/entity/Q433594
Bangladesh,21,Nurul Amin,http://www.wikidata.org/entity/Q1392189
Bangladesh,16,Jatindranath Mukherjee,http://www.wikidata.org/entity/Q2929252
Bangladesh,13,Gopinath Kaviraj,http://www.wikidata.org/entity/Q3630297
