country,number,item,item_id
Albania,8,Hasan Tahsini,http://www.wikidata.org/entity/Q3301436
Albania,4,Lorina Naci,http://www.wikidata.org/entity/Q58057792
Albania,3,Fatbardha Gega,http://www.wikidata.org/entity/Q24846036
Albania,2,Luan Hajdaraga,http://www.wikidata.org/entity/Q13042223
Albania,2,Orjola Pampuri,http://www.wikidata.org/entity/Q32802167
Algeria,20,Émile Boirac,http://www.wikidata.org/entity/Q18436
Algeria,14,Catherine Malabou,http://www.wikidata.org/entity/Q432690
Algeria,8,Yamina Méchakra,http://www.wikidata.org/entity/Q22279162
Algeria,7,Nabile Farès,http://www.wikidata.org/entity/Q2727492
Algeria,5,Alain Amselek,http://www.wikidata.org/entity/Q2829518
Algeria,4,Messaoud Nedjahi,http://www.wikidata.org/entity/Q3306991
Algeria,4,Denise Morel,http://www.wikidata.org/entity/Q3023066
Algeria,3,Roger Mucchielli,http://www.wikidata.org/entity/Q3439305
Algeria,3,Alex Mucchielli,http://www.wikidata.org/entity/Q2832993
Algeria,2,Kimberly Wright Cassidy,http://www.wikidata.org/entity/Q16730858
Algeria,2,Colette Aboulker-Muscat,http://www.wikidata.org/entity/Q107324986
Algeria,2,Nicole Prieur,http://www.wikidata.org/entity/Q62566743
Algeria,2,Willy Baranger,http://www.wikidata.org/entity/Q3569139
Algeria,2,Roger Dadoun,http://www.wikidata.org/entity/Q3438864
Algeria,2,Claude Tedguy,http://www.wikidata.org/entity/Q2978192
Algeria,2,Alice Cherki,http://www.wikidata.org/entity/Q4725771
Algeria,1,Armand Touati,http://www.wikidata.org/entity/Q2861977
Algeria,1,Jean Benjamin Stora,http://www.wikidata.org/entity/Q19629467
Algeria,1,Asma Guenifi,http://www.wikidata.org/entity/Q59059615
Algeria,1,Josée Contreras,http://www.wikidata.org/entity/Q27698887
Andorra,4,Vanessa Mendoza Cortés,http://www.wikidata.org/entity/Q108179004
Argentina,22,Maria Verónica Reina,http://www.wikidata.org/entity/Q87075153
Argentina,21,Esther Vilar,http://www.wikidata.org/entity/Q66893
Argentina,19,Jorge Bucay,http://www.wikidata.org/entity/Q1334475
Argentina,18,Federico Andahazi,http://www.wikidata.org/entity/Q2617973
Argentina,14,José Ingenieros,http://www.wikidata.org/entity/Q733019
Argentina,14,Salvador Minuchin,http://www.wikidata.org/entity/Q1368664
Argentina,11,Marie Langer,http://www.wikidata.org/entity/Q88004
Argentina,10,Enrique Pichón-Riviere,http://www.wikidata.org/entity/Q2629225
Argentina,9,Marcos Aguinis,http://www.wikidata.org/entity/Q1885092
Argentina,9,Miguel Benasayag,http://www.wikidata.org/entity/Q982224
Argentina,8,Ángel Garma,http://www.wikidata.org/entity/Q3577008
Argentina,8,Heinrich Racker,http://www.wikidata.org/entity/Q3089671
Argentina,7,Ana María Zeno,http://www.wikidata.org/entity/Q5674003
Argentina,7,Gloria Bonder,http://www.wikidata.org/entity/Q8964281
Argentina,6,Horacio Etchegoyen,http://www.wikidata.org/entity/Q3140490
Argentina,5,Estela V. Welldon,http://www.wikidata.org/entity/Q4794373
Argentina,5,Arminda Aberastury,http://www.wikidata.org/entity/Q2862262
Argentina,5,Aníbal Ponce,http://www.wikidata.org/entity/Q4372024
Argentina,5,Juliana Di Tullio,http://www.wikidata.org/entity/Q9016431
Argentina,5,Daniela Castelo,http://www.wikidata.org/entity/Q5219202
Armenia,16,Garik Martirosyan,http://www.wikidata.org/entity/Q2389088
Armenia,15,Elda Grin,http://www.wikidata.org/entity/Q3019123
Armenia,15,Albert Mehrabian,http://www.wikidata.org/entity/Q609529
Armenia,5,Hrach Muradyan,http://www.wikidata.org/entity/Q85986353
Armenia,4,Sedrak A. Sedrakyan,http://www.wikidata.org/entity/Q27824633
Armenia,4,Levon Chailakhyan,http://www.wikidata.org/entity/Q16018498
Armenia,4,Q20507497,http://www.wikidata.org/entity/Q20507497
Armenia,4,Karlen Voskanyan,http://www.wikidata.org/entity/Q60845234
Armenia,3,Albert Nalchajyan,http://www.wikidata.org/entity/Q4312695
Armenia,3,Arpine Davoyan,http://www.wikidata.org/entity/Q60421274
Armenia,2,Andrey Khachaturyan,http://www.wikidata.org/entity/Q65088265
Armenia,2,Marat Aginyan,http://www.wikidata.org/entity/Q60028835
Armenia,2,Vladimir Karapetyan,http://www.wikidata.org/entity/Q16400781
Armenia,2,Sergey Yenikolopov,http://www.wikidata.org/entity/Q4175635
Armenia,2,Q27508165,http://www.wikidata.org/entity/Q27508165
Armenia,2,Q21661052,http://www.wikidata.org/entity/Q21661052
Armenia,2,Mels Mkrtoumyan,http://www.wikidata.org/entity/Q62593787
Armenia,2,Gayane Shahverdyan,http://www.wikidata.org/entity/Q47499154
Armenia,2,Q108027666,http://www.wikidata.org/entity/Q108027666
Armenia,2,Zhanna Andreasyan,http://www.wikidata.org/entity/Q87491070
Australia,37,Elton Mayo,http://www.wikidata.org/entity/Q311529
Australia,26,Bill Mollison,http://www.wikidata.org/entity/Q554966
Australia,15,Pamela Stephenson,http://www.wikidata.org/entity/Q291293
Australia,14,Cordelia Fine,http://www.wikidata.org/entity/Q1132140
Australia,12,Tony Attwood,http://www.wikidata.org/entity/Q1971155
Australia,11,Belinda Bauer,http://www.wikidata.org/entity/Q434027
Australia,10,Carmen Lawrence,http://www.wikidata.org/entity/Q434475
Australia,9,Michael White,http://www.wikidata.org/entity/Q786213
Australia,9,Anne Cutler,http://www.wikidata.org/entity/Q2169457
Australia,5,Antony Kidman,http://www.wikidata.org/entity/Q18016920
Australia,5,Steve Biddulph,http://www.wikidata.org/entity/Q83740
Australia,5,Alex Carey,http://www.wikidata.org/entity/Q4716788
Australia,5,Michael Scriven,http://www.wikidata.org/entity/Q5371695
