country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,4.0,Daily Afghanistan,http://www.wikidata.org/entity/Q3370273,wd:Q3370273,10745471,English-language newspaper of Afghanistan
Afghanistan,4.0,Tatobay,http://www.wikidata.org/entity/Q3918527,wd:Q3918527,37242206,"newspaper in Kabul, Afghanistan"
Afghanistan,2.0,The Daily Outlook Afghanistan,http://www.wikidata.org/entity/Q7728705,wd:Q7728705,38721382,English newspaper in Afghanistan
Albania,13.0,Zëri i Popullit,http://www.wikidata.org/entity/Q26400,wd:Q26400,15865800,Albanian daily newspaper
Albania,8.0,Shekulli,http://www.wikidata.org/entity/Q569851,wd:Q569851,27830853,newspaper
Albania,6.0,Gazeta Shqiptare,http://www.wikidata.org/entity/Q3338559,wd:Q3338559,27119396,newspaper in Albania
Albania,4.0,Telegrafi,http://www.wikidata.org/entity/Q7696197,wd:Q7696197,27830886,newspaper
Albania,3.0,Ekonomia,http://www.wikidata.org/entity/Q5350539,wd:Q5350539,27830523,newspaper in Albania
Albania,3.0,Laiko Vima,http://www.wikidata.org/entity/Q6473836,wd:Q6473836,26688009,newspaper in Albania
Albania,3.0,Nositi,http://www.wikidata.org/entity/Q13043579,wd:Q13043579,27830684,newspaper in Albania
Albania,3.0,Gazeta Shqip,http://www.wikidata.org/entity/Q1242686,wd:Q1242686,27830861,newspaper
Albania,3.0,Gazeta Tema,http://www.wikidata.org/entity/Q2402477,wd:Q2402477,27830888,newspaper in Albania
Albania,3.0,Korrieri,http://www.wikidata.org/entity/Q3302428,wd:Q3302428,13588027,newspaper in Albania
Albania,3.0,Gazeta Sot,http://www.wikidata.org/entity/Q3305155,wd:Q3305155,5884045,daily newspaper published in Albania
Albania,3.0,Agon,http://www.wikidata.org/entity/Q4693333,wd:Q4693333,27830454,newspaper in Albania
Albania,3.0,Albania Today,http://www.wikidata.org/entity/Q4709038,wd:Q4709038,27830461,newspaper in Albania
Albania,3.0,Fashizmi,http://www.wikidata.org/entity/Q16354893,wd:Q16354893,44407617,newspaper in Albania
Albania,2.0,Biznesi,http://www.wikidata.org/entity/Q4919431,wd:Q4919431,27830483,newspaper in Albania
Albania,2.0,Gazeta 55,http://www.wikidata.org/entity/Q5529087,wd:Q5529087,27830563,daily newspaper
