,country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
0,Afghanistan,43,Chaghcharan,http://www.wikidata.org/entity/Q958621,wd:Q958621,2563331,city,"Chaghcharān (Dari-Persian: چغچران), also called Firozkoh (Dari-Persian: فیروزکوه), is a town and district in central Afghanistan, which serves as the capital of Ghor Province. It is located on the southern side of the Hari River, at an altitude of 2,230 m above sea level. Chaghcharan is linked by a 380 kilometres (240 mi) long highway with Herat to the west (following the south side of Paropamisus Mountains (Selseleh-ye Safīd Kūh)), and a 450 kilometres (280 mi) long highway with Kabul to the east. The town is served by Chaghcharan Airport.
Chaghcharan has a population of about 15,000 who are mostly Dari speakers. However the recent data showed a population of 31,266 (in 2015). It has 1 district and a total land area of 2,614 Hectares. The total number of dwellings in the city are 3,474.",https://en.wikipedia.org/wiki/Chaghcharan
2,Albania,56,Krujë,http://www.wikidata.org/entity/Q194164,wd:Q194164,1077521,town in north central Albania,"Krujë (definite Albanian form: Kruja; see also the etymology section) is a town and a municipality in north central Albania. Located between Mount Krujë and the Ishëm River, the city is only 20 km north from the capital of Albania, Tirana.
Krujë was inhabited by the ancient Illyrian tribe of the Albani. In 1190 Krujë became the capital of the first Albanian state in the middle ages, the Principality of Arbër. Later it was the capital of the Kingdom of Albania, while in the early 15th century Krujë was conquered by the Ottoman Empire, but then recaptured in 1443 by Skanderbeg, leader of the League of Lezhë, who successfully defended it against three Ottoman sieges until his death in 1468.
The Ottomans took control of the town after the fourth siege in 1478, and incorporated it in their territories. A 1906 local revolt against the Ottoman Empire was followed by the 1912 Declaration of Independence of Albania. In the mid-1910s Krujë was one of the battlefields of the conflict between the short-lived Republic of Central Albania, founded by Essad Toptani, and the Principality of Albania. In 1914 Toptani managed to seize the town but during the same year it was reincorporated by Prênk Bibë Doda in the Principality of Albania. During World War II it was the centre of the activities of resistance leader Abaz Kupi.
The museums of Krujë include the Skanderbeg Museum, located in the environs of the Krujë Castle, and the national ethnographic museum.",https://en.wikipedia.org/wiki/Kruj%C3%AB
22,Algeria,31,Djanet,http://www.wikidata.org/entity/Q1014380,wd:Q1014380,1653002,"town in Illizi Province, Algeria","Djanet (Arabic: جانت) is an oasis city, and capital of Djanet District as well as of Djanet Province, southeast Algeria. It is located 412 km (256 mi) south of Illizi. According to the 2008 census it has a population of 14,655, up from 9,699 in 1998, and an annual population growth rate of 4.3%. It is inhabited by the Kel Ajjer Tuareg people.",https://en.wikipedia.org/wiki/Djanet
23,Andorra,35,El Pas de la Casa,http://www.wikidata.org/entity/Q24456,wd:Q24456,2449118,town in Andorra,"El Pas de la Casa (Catalan pronunciation: [əl ˈpas ðə lə ˈkazə]; French: Le Pas de la Case) is a ski resort (part of the Grandvalira resort), town, and mountain pass in the Encamp parish of Andorra, lying on the border with France.",https://en.wikipedia.org/wiki/El_Pas_de_la_Casa
24,Angola,16,Bula Atumba,http://www.wikidata.org/entity/Q979174,wd:Q979174,22342478,"municipality in the province of Bengo, Angola","Bula Atumba  is a town and municipality in Bengo Province, Angola.",https://en.wikipedia.org/wiki/Bula_Atumba
25,Antigua and Barbuda,29,Codrington,http://www.wikidata.org/entity/Q1024679,wd:Q1024679,2275997,human settlement,"Codrington is a town located on the island of Barbuda, which is part of the country of Antigua and Barbuda.
Codrington was founded by Christopher Codrington and his brother John in 1685, to be the main residential centre on the island. They built a castle which dominated the town, but it was badly damaged by an earthquake in 1843 and little trace of it now remains. It had a population of 914 in 2001.
In 1741, the first slave rebellion happened in Codrington. Beach's Rebellion arose as a consequence of manager Thomas Beach's ""cruel and tyrannical"" behaviour. Several herds of cattle were slaughtered, damage was done to the Codrington's property and equipment. Codrington is served by Barbuda Codrington Airport.
The population of Codrington was recorded as 700 in the census of 1904, and 1,252 in the census of 1991. The town, along with the rest of the island, was completely evacuated in September 2017 following catastrophic damage caused by Hurricane Irma, but much of the population has now returned to the island.","https://en.wikipedia.org/wiki/Codrington,_Antigua_and_Barbuda"
26,Argentina,24,San Antonio de los Cobres,http://www.wikidata.org/entity/Q1563449,wd:Q1563449,21479706,city,"San Antonio de los Cobres is a small town of population 5,482 (per the 2001 INDEC census)   in northwestern Argentina. It is the capital of the Los Andes Department of the Salta Province.",https://en.wikipedia.org/wiki/San_Antonio_de_los_Cobres
46,Armenia,51,Alaverdi,http://www.wikidata.org/entity/Q39545,wd:Q39545,971084,city or town in Armenia,"Alaverdi (Armenian: Ալավերդի, Armenian pronunciation: [ɑlɑvɛɾˈdi]), is a town and municipal community in the Lori Province at the northeastern part of Armenia, near the border with Georgia. It is located at the only direct rail link between Armenia and Georgia. Situated at the bottom of the Debed river gorge, Alaverdi is an important commercial and industrial centre in northern Armenia.
As of the 2011 census, the population of the town is 13,343, down from 26,300 reported in 1989. Currently, the town has an approximate population of 11,000 as per the 2016 official estimate.","https://en.wikipedia.org/wiki/Alaverdi,_Armenia"
49,Australia,62,Flying Fish Cove,http://www.wikidata.org/entity/Q30980,wd:Q30980,1493091,"settlement in Christmas Island, Australia","Flying Fish Cove (Chinese: 飛魚灣, Malay: Pantai Ikan Terbang) is the capital city and main settlement of Australia's Christmas Island. Although it was originally named after British survey-ship Flying-Fish, many maps simply label it ""The Settlement"". It was the first British settlement on the island, established in 1888.

About a third of the territory's total population of 1,600 lives in Flying Fish Cove, which lies near the north-eastern tip of the island. There is a small harbour which serves tourists with yachts. It is possible to carry out recreational diving at the settlement's beach.",https://en.wikipedia.org/wiki/Flying_Fish_Cove
69,Austria,94,Eisenstadt,http://www.wikidata.org/entity/Q126321,wd:Q126321,422934,"state capital of Burgenland, Austria","Eisenstadt (German pronunciation: [ˈaɪ̯zn̩ʃtat] (listen); Hungarian: Kismarton; Croatian: Željezni grad; Željezno; Slovene: Železno, Austro-Bavarian: Eisnstod) is a city in Austria, the state capital of Burgenland. It had a recorded population on 1 January 2020 of 14,815.
In the Habsburg Empire's Kingdom of Hungary, Kismarton (Eisenstadt) was the seat of the Eszterházy Hungarian noble family. The composer Joseph Haydn lived there as Hofkapellmeister under Esterházy patronage.",https://en.wikipedia.org/wiki/Eisenstadt
