,Unnamed: 0,country,number,item,item_id,shortform,pageid_x,wikidata_description_x,pageid_y,wikidata_description_y,wikipedia_summary,wikipedia_url
0,4,Afghanistan,17,Mustafa Nayyem,http://www.wikidata.org/entity/Q2690181,wd:Q2690181,38144551,Ukrainian journalist,38144551,Ukrainian journalist,"Mustafa Masi Nayyem (Ukrainian: Мустафа Найєм, Pashto: مصطفی نعیم) is an Afghan-Ukrainian journalist, MP, and public figure who took part in Euromaidan in Ukraine. Formerly, he was a reporter for the newspaper ""Kommersant Ukraine"", the TVi channel, and the Internet newspaper Ukrayinska Pravda. He also participates in Ukrainian journalists' anti-censorship movement, ""Stop the censorship!"" (Ukrainian: Стоп цензурі!, Stop tsenzuri!), and Hromadske.TV. In the parliamentary elections on October 26, 2014, he was elected to the Ukrainian parliament on the list of Petro Poroshenko Bloc. He has been described as a reformist parliamentarian. Nayyem did not take part in the 2019 Ukrainian parliamentary election.",https://en.wikipedia.org/wiki/Mustafa_Nayyem
1,30,Albania,19,Arbana Xharra,http://www.wikidata.org/entity/Q19668240,wd:Q19668240,45641807,Albanian investigative journalist,45641807,Albanian investigative journalist,Arbana Xharra is an Albanian investigative journalist from Kosovo. She has won numerous awards for her reporting and was a 2015 recipient of the International Women of Courage Award from the US State Department.,https://en.wikipedia.org/wiki/Arbana_Xharra
2,40,Algeria,186,Albert Camus,http://www.wikidata.org/entity/Q34670,wd:Q34670,983,"French writer, philosopher and journalist (1913-1960)",983,"French writer, philosopher and journalist (1913-1960)","Albert Camus ( kam-OO, US also  kə-MOO; French: [albɛʁ kamy] (listen); 7 November 1913 – 4 January 1960) was a French philosopher, author, and journalist. He was awarded the 1957 Nobel Prize in Literature at the age of 44, the second-youngest recipient in history. His works include The Stranger, The Plague, The Myth of Sisyphus, The Fall, and The Rebel.
Camus was born in French Algeria to Pieds Noirs parents. He spent his childhood in a poor neighbourhood and later studied philosophy at the University of Algiers. He was in Paris when the Germans invaded France during World War II in 1940. Camus tried to flee but finally joined the French Resistance where he served as editor-in-chief at Combat, an outlawed newspaper. After the war, he was a celebrity figure and gave many lectures around the world. He married twice but had many extramarital affairs. Camus was politically active; he was part of the left that opposed the Soviet Union because of its totalitarianism. Camus was a moralist and leaned towards anarcho-syndicalism. He was part of many organisations seeking European integration. During the Algerian War (1954–1962), he kept a neutral stance, advocating for a multicultural and pluralistic Algeria, a position that caused controversy and was rejected by most parties.
Philosophically, Camus's views contributed to the rise of the philosophy known as absurdism. He is also considered to be an existentialist, even though he firmly rejected the term throughout his lifetime.",https://en.wikipedia.org/wiki/Albert_Camus
3,52,Algeria,15,Franklin Loufrani,http://www.wikidata.org/entity/Q21445418,wd:Q21445418,47344828,French journalist and businessperson,47344828,French journalist and businessperson,error,error
4,63,Angola,29,José Eduardo Agualusa,http://www.wikidata.org/entity/Q363927,wd:Q363927,3039561,"journalist, writer",3039561,"journalist, writer","José Eduardo Agualusa Alves da Cunha (born December 13, 1960) is a Angolan journalist and writer of Portuguese and Brazilian descent. He studied agronomy and silviculture in Lisbon, Portugal. Currently he resides in the Island of Mozambique, working as a writer and journalist. He also has been working to establish a public library on the island.Agualusa writes predominantly in his native language, Portuguese. His books have been translated into twenty-five languages, most notably into English by translator Daniel Hahn, a frequent collaborator of his. Much of his writing focuses on the history of Angola.He has seen some success in English-speaking literary circles, most notably for A General Theory of Oblivion. That novel, written in 2012 and translated in 2015, was shortlisted for the 2016 Man Booker International Prize, and was the recipient of the 2017 International Dublin Literary Award.",https://en.wikipedia.org/wiki/Jos%C3%A9_Eduardo_Agualusa
5,92,Argentina,34,Nicolás Avellaneda,http://www.wikidata.org/entity/Q441371,wd:Q441371,582101,"Argentinian lawyer, journalist and politician (1837-1885)",582101,"Argentinian lawyer, journalist and politician (1837-1885)","Nicolás Remigio Aurelio Avellaneda Silva (3 October 1837 – 24 November 1885) was an Argentine politician and journalist, and President of Argentina from 1874 to 1880. Avellaneda's main projects while in office were banking and education reform, leading to Argentina's economic growth. The most important events of his government were the Conquest of the Desert and the transformation of the Buenos Aires into a federal district.His grandson was José Domingo Molina Gómez, who took presidency when Juan Perón was captured. 

",https://en.wikipedia.org/wiki/Nicol%C3%A1s_Avellaneda
6,102,Armenia,12,Levon Ananyan,http://www.wikidata.org/entity/Q4064849,wd:Q4064849,4263766,Armenian journalist and translator,4263766,Armenian journalist and translator,Levon Ananyan (Armenian: Լևոն Զաքարի Անանյան; 13 October 1946 – 2 September 2013) was an Armenian journalist and translator.,https://en.wikipedia.org/wiki/Levon_Ananyan
7,129,Australia,35,John Pilger,http://www.wikidata.org/entity/Q471546,wd:Q471546,146200,Australian journalist,146200,Australian journalist,"John Richard Pilger (; born 9 October 1939) is an Australian journalist, writer, scholar, and documentary filmmaker. He has been mainly based in Britain since 1962. He is also currently Visiting Professor at Cornell University in New York.Pilger is a strong critic of American, Australian, and British foreign policy, which he considers to be driven by an imperialist and colonialist agenda. Pilger has also criticised his native country's treatment of Indigenous Australians. He first drew international attention for his reports on the Cambodian genocide.His career as a documentary film maker began with The Quiet Mutiny (1970), made during one of his visits to Vietnam, and has continued with over 50 documentaries since. Other works in this form include Year Zero (1979), about the aftermath of the Pol Pot regime in Cambodia, and Death of a Nation: The Timor Conspiracy (1993). His many documentary films on indigenous Australians include The Secret Country (1985) and Utopia (2013). In the British print media, Pilger worked at the Daily Mirror from 1963 to 1986, and wrote a regular column for the New Statesman magazine from 1991 to 2014.
Pilger won Britain's Journalist of the Year Award in 1967 and 1979. His documentaries have gained awards in Britain and worldwide, including multiple BAFTA honours. The practices of the mainstream media are a regular subject in Pilger's writing.",https://en.wikipedia.org/wiki/John_Pilger
8,145,Austria,58,Joseph Roth,http://www.wikidata.org/entity/Q78509,wd:Q78509,698259,Austrian novelist and journalist,698259,Austrian novelist and journalist,"Moses Joseph Roth (2 September 1894 – 27 May 1939) was an Austrian journalist and novelist, best known for his family saga Radetzky March (1932), about the decline and fall of the Austro-Hungarian Empire, his novel of Jewish life Job (1930) and his seminal essay ""Juden auf Wanderschaft"" (1927; translated into English in The Wandering Jews), a fragmented account of the Jewish migrations from eastern to western Europe in the aftermath of World War I and the Russian Revolution. In the 21st century, publications in English of Radetzky March and of collections of his journalism from Berlin and Paris created a revival of interest in Roth.",https://en.wikipedia.org/wiki/Joseph_Roth
9,165,Azerbaijan,24,Khadija Ismayilova,http://www.wikidata.org/entity/Q14561644,wd:Q14561644,40210849,Azerbaijani investigative journalist and radio host,40210849,Azerbaijani investigative journalist and radio host,"Khadija Rovshan qizi Ismayilova, also Ismailova, (Azerbaijani: Xədicə Rövşən qızı İsmayılova, pronounced /xædiːˈdʒæ ismɑˈjɯlovɑ/; born 27 May 1976) is an Azerbaijani investigative journalist and radio host who is currently working for the Azerbaijani service of Radio Free Europe/Radio Liberty, until recently as the host of the daily debate show İşdən Sonra. She is a member of the Organized Crime and Corruption Reporting Project.Ismayilova has been targeted by Ilham Aliyev's authoritarian regime in Azerbaijan for her reporting on financial corruption among Azerbaijan's ruling elite. In December 2014, Ismayilova was arrested on charges of incitement to suicide, a charge widely criticized by human rights organizations as ludicrous. On 1 September 2015, Ismayilova was sentenced to seven and a half years in prison under charges of embezzlement and tax evasion. On 25 May 2016, the Azerbaijani supreme court ordered Ismayilova released on probation. In December 2017, Ismayilova received the Right Livelihood Award, often referred to as ""Alternative Nobel Prize"", ""for her courage and tenacity in exposing corruption at the highest levels of government through outstanding investigative journalism in the name of transparency and accountability."" Ismayilova was not allowed to travel from Azerbaijan to Sweden to receive the award.",https://en.wikipedia.org/wiki/Khadija_Ismayilova
