country,number,item,item_id
Afghanistan,19,Da Afghanistan Bank,http://www.wikidata.org/entity/Q1156372
Afghanistan,13,Kajaki Dam,http://www.wikidata.org/entity/Q1721841
Afghanistan,11,New Kabul Bank,http://www.wikidata.org/entity/Q196137
Afghanistan,10,Naghlu Dam,http://www.wikidata.org/entity/Q4755783
Afghanistan,10,Hotel Inter-Continental Kabul,http://www.wikidata.org/entity/Q5911615
Afghanistan,9,Afghan Telecom,http://www.wikidata.org/entity/Q201353
Afghanistan,9,Afghan Film,http://www.wikidata.org/entity/Q4689069
Afghanistan,9,Darunta Dam,http://www.wikidata.org/entity/Q5225803
Afghanistan,9,Kabul Serena Hotel,http://www.wikidata.org/entity/Q6344450
Afghanistan,8,Afghan Wireless,http://www.wikidata.org/entity/Q383046
Afghanistan,8,Roshan,http://www.wikidata.org/entity/Q1127519
Afghanistan,7,Ariana Television Network,http://www.wikidata.org/entity/Q655121
Afghanistan,6,Afghan Islamic Press,http://www.wikidata.org/entity/Q3289630
Afghanistan,6,Afghanistan International Bank,http://www.wikidata.org/entity/Q4689147
Afghanistan,5,Bakhtar News Agency,http://www.wikidata.org/entity/Q4849399
Afghanistan,5,Shah wa Arus Dam,http://www.wikidata.org/entity/Q7461387
Afghanistan,4,Daily Afghanistan,http://www.wikidata.org/entity/Q3370273
Afghanistan,4,Tatobay,http://www.wikidata.org/entity/Q3918527
Afghanistan,4,Mazar Hotel,http://www.wikidata.org/entity/Q6798273
Afghanistan,4,Aschiana,http://www.wikidata.org/entity/Q17013425
Afghanistan,4,Kamal Khan Dam,http://www.wikidata.org/entity/Q33106226
Afghanistan,3,MOBY Group,http://www.wikidata.org/entity/Q1941629
Afghanistan,3,Bank-e-Millie Afghan,http://www.wikidata.org/entity/Q4856250
Afghanistan,3,Safi Landmark Hotel,http://www.wikidata.org/entity/Q7398762
Afghanistan,2,The Daily Outlook Afghanistan,http://www.wikidata.org/entity/Q7728705
Afghanistan,2,Q11987862,http://www.wikidata.org/entity/Q11987862
Afghanistan,2,Afghanistan Group of Newspapers,http://www.wikidata.org/entity/Q16824355
Afghanistan,1,Balkhab Copper Mine,http://www.wikidata.org/entity/Q4851128
Afghanistan,1,Farhat Hotel,http://www.wikidata.org/entity/Q5435187
Afghanistan,1,Q5679623,http://www.wikidata.org/entity/Q5679623
Afghanistan,1,Shaida Copper Mine,http://www.wikidata.org/entity/Q7462394
Afghanistan,1,"Irish Pub, Kabul",http://www.wikidata.org/entity/Q15040946
Afghanistan,1,Siyāh Rēg,http://www.wikidata.org/entity/Q21802367
Afghanistan,1,Ḩājīgak,http://www.wikidata.org/entity/Q21802369
Afghanistan,1,Ma‘din-e Mis-e ‘Aynak,http://www.wikidata.org/entity/Q21822986
Afghanistan,1,Naghlu Hydro Power Plant,http://www.wikidata.org/entity/Q21825710
Afghanistan,1,Micro-Hydro Power Station,http://www.wikidata.org/entity/Q21825716
Afghanistan,1,Sarobi Dam Hydroelectric Power Plant,http://www.wikidata.org/entity/Q21825720
Afghanistan,1,Q25657070,http://www.wikidata.org/entity/Q25657070
Afghanistan,1,Tarakhil Power Plant,http://www.wikidata.org/entity/Q108559333
Afghanistan,0,Oxygen Film Studio,http://www.wikidata.org/entity/Q63185661
Afghanistan,0,Maṭbaʻ-i Dāʼirah-ʼi Taḥrīrāt-i Ḥuz̤ūr va Majlis-i ʻAlī-i Vuzarā,http://www.wikidata.org/entity/Q107169210
Afghanistan,0,Kabul Star Hotel & Restaurant,http://www.wikidata.org/entity/Q111235563
Afghanistan,0,Chinese Express Hotel,http://www.wikidata.org/entity/Q111235561
Albania,61,Saranda,http://www.wikidata.org/entity/Q193226
Albania,39,Himarë,http://www.wikidata.org/entity/Q622764
Albania,29,Shëngjin,http://www.wikidata.org/entity/Q606485
Albania,28,Bank of Albania,http://www.wikidata.org/entity/Q806714
Albania,21,Trans Adriatic Pipeline,http://www.wikidata.org/entity/Q505615
Albania,17,Hekurudha Shqiptare,http://www.wikidata.org/entity/Q115984
Albania,17,Birra Korça,http://www.wikidata.org/entity/Q865835
Albania,13,Zëri i Popullit,http://www.wikidata.org/entity/Q26400
Albania,12,Fierza Hydroelectric Power Station,http://www.wikidata.org/entity/Q696290
Albania,10,Koman Hydroelectric Power Station,http://www.wikidata.org/entity/Q1127602
Albania,10,Tirana International Hotel,http://www.wikidata.org/entity/Q1147652
Albania,9,Digit-Alb,http://www.wikidata.org/entity/Q837178
Albania,9,Posta Shqiptare,http://www.wikidata.org/entity/Q1334419
Albania,9,Albpetrol,http://www.wikidata.org/entity/Q21022622
Albania,8,Shekulli,http://www.wikidata.org/entity/Q569851
Albania,8,Vau i Dejës Hydroelectric Power Station,http://www.wikidata.org/entity/Q1143176
Albania,7,ALBtelecom,http://www.wikidata.org/entity/Q294355
Albania,6,Banka Kombëtare Tregtare,http://www.wikidata.org/entity/Q806702
Albania,6,Hotel Dajti,http://www.wikidata.org/entity/Q1630870
Albania,6,Gazeta Shqiptare,http://www.wikidata.org/entity/Q3338559
Albania,6,Telekom Albania,http://www.wikidata.org/entity/Q20891850
Albania,5,Albanian Power Corporation,http://www.wikidata.org/entity/Q1651252
Albania,5,Albafilm-Tirana,http://www.wikidata.org/entity/Q2754549
Albania,5,Albanian Telegraphic Agency,http://www.wikidata.org/entity/Q4709175
Albania,5,Hidrocentrali Lanabregas,http://www.wikidata.org/entity/Q22007603
Albania,4,Birra Stela,http://www.wikidata.org/entity/Q83850
Albania,4,Raiffeisen Albania,http://www.wikidata.org/entity/Q2127541
Albania,4,Tring,http://www.wikidata.org/entity/Q2453450
Albania,4,Ashta hydroelectric power plant,http://www.wikidata.org/entity/Q2551088
Albania,4,CRAI,http://www.wikidata.org/entity/Q3696429
Albania,4,Elbasan Inn,http://www.wikidata.org/entity/Q5353673
Albania,4,SuperSport Albania,http://www.wikidata.org/entity/Q7642056
Albania,4,Telegrafi,http://www.wikidata.org/entity/Q7696197
Albania,4,Ulëz Hydroelectric Power Station,http://www.wikidata.org/entity/Q7880959
Albania,4,Balfin Group,http://www.wikidata.org/entity/Q16349813
Albania,4,Moglicë Hydro Power Plant,http://www.wikidata.org/entity/Q24911224
Albania,3,CEZ Shpërndarje,http://www.wikidata.org/entity/Q1023434
Albania,3,Albanian Mobile Communications,http://www.wikidata.org/entity/Q1164027
Albania,3,Gazeta Shqip,http://www.wikidata.org/entity/Q1242686
Albania,3,National Theatre for Children,http://www.wikidata.org/entity/Q1968343
Albania,3,Gazeta Tema,http://www.wikidata.org/entity/Q2402477
Albania,3,Korrieri,http://www.wikidata.org/entity/Q3302428
Albania,3,Birra Malto Brewery,http://www.wikidata.org/entity/Q3303273
Albania,3,Gazeta Sot,http://www.wikidata.org/entity/Q3305155
Albania,3,ALBtelecom Mobile,http://www.wikidata.org/entity/Q3338481
Albania,3,Agon,http://www.wikidata.org/entity/Q4693333
Albania,3,Albania Today,http://www.wikidata.org/entity/Q4709038
Albania,3,Banjë Hydro Power Plant,http://www.wikidata.org/entity/Q4958017
Albania,3,Ekonomia,http://www.wikidata.org/entity/Q5350539
Albania,3,Intesa Sanpaolo Bank Albania,http://www.wikidata.org/entity/Q6057456
Algeria,31,Algerian Ligue Professionnelle 1,http://www.wikidata.org/entity/Q647746
Algeria,26,Sonatrach,http://www.wikidata.org/entity/Q1090717
Algeria,14,Bank of Algeria,http://www.wikidata.org/entity/Q1774622
Algeria,13,Radio Algeria,http://www.wikidata.org/entity/Q2004597
Algeria,12,SNVI,http://www.wikidata.org/entity/Q2381695
Algeria,9,Société nationale des transports ferroviaires,http://www.wikidata.org/entity/Q1275038
Algeria,9,Mouloud Mammeri University of Tizi Ouzou,http://www.wikidata.org/entity/Q3551456
Algeria,8,Djezzy GSM,http://www.wikidata.org/entity/Q836564
Algeria,8,Jumia,http://www.wikidata.org/entity/Q17061030
Algeria,8,Tikjda,http://www.wikidata.org/entity/Q3528392
Algeria,7,Hassi R'Mel integrated solar combined cycle power station,http://www.wikidata.org/entity/Q835854
Algeria,7,El Watan,http://www.wikidata.org/entity/Q2529832
Algeria,7,University of Mostaganem,http://www.wikidata.org/entity/Q3551640
Algeria,7,Saidal,http://www.wikidata.org/entity/Q7399953
Algeria,6,Cevital,http://www.wikidata.org/entity/Q795474
Algeria,6,El Khabar,http://www.wikidata.org/entity/Q1324287
Algeria,6,Mobilis,http://www.wikidata.org/entity/Q2819545
Algeria,6,Alger républicain,http://www.wikidata.org/entity/Q2835699
Algeria,6,Naftal,http://www.wikidata.org/entity/Q3335043
Algeria,6,Sheraton Oran Hotel and Towers,http://www.wikidata.org/entity/Q7494698
Algeria,5,Echorouk El Yawmi,http://www.wikidata.org/entity/Q617296
Algeria,5,University of Blida,http://www.wikidata.org/entity/Q787656
Algeria,5,Algeria Press Service,http://www.wikidata.org/entity/Q1162323
Algeria,5,El heddaf,http://www.wikidata.org/entity/Q1653883
Algeria,5,Algérie Télécom,http://www.wikidata.org/entity/Q2836032
Algeria,5,Le Soir d'Algérie,http://www.wikidata.org/entity/Q3227244
Algeria,5,Télédiffusion d'Algérie,http://www.wikidata.org/entity/Q17640214
Algeria,5,El Hadjar Ironworks,http://www.wikidata.org/entity/Q31077264
Algeria,5,Ooredoo Algérie,http://www.wikidata.org/entity/Q3337704
Algeria,5,Erraguene Dam,http://www.wikidata.org/entity/Q12215567
Algeria,4,Barzakh Editions,http://www.wikidata.org/entity/Q2729363
Algeria,4,National Agency for studies and follow up the accomplishment of Railway Investments (ANESRIF),http://www.wikidata.org/entity/Q2826659
Algeria,4,Algérie Ferries,http://www.wikidata.org/entity/Q2836031
Algeria,4,Asmidal,http://www.wikidata.org/entity/Q2866716
Algeria,4,El Massa,http://www.wikidata.org/entity/Q3050061
