country,number,item,item_id
Afghanistan,78.0,Jami,http://www.wikidata.org/entity/Q312458
Afghanistan,54.0,Jamal al-Din al-Afghani,http://www.wikidata.org/entity/Q298434
Afghanistan,42.0,Vasubandhu,http://www.wikidata.org/entity/Q316343
Afghanistan,34.0,Abu Ma'shar al-Balkhi,http://www.wikidata.org/entity/Q11373
Afghanistan,33.0,Khwaja Abdullah Ansari,http://www.wikidata.org/entity/Q558205
Afghanistan,29.0,Sanai,http://www.wikidata.org/entity/Q1148049
Afghanistan,27.0,Abu Saʿīd Gardēzī,http://www.wikidata.org/entity/Q563574
Afghanistan,24.0,Abd al-Razzaq Samarqandi,http://www.wikidata.org/entity/Q2511004
Afghanistan,22.0,Ali Hujwiri,http://www.wikidata.org/entity/Q2733487
Afghanistan,21.0,Minhaj-i-Siraj,http://www.wikidata.org/entity/Q657968
Afghanistan,21.0,Ibrahim ibn Adham,http://www.wikidata.org/entity/Q2665215
Afghanistan,20.0,Al-Shahrastani,http://www.wikidata.org/entity/Q1050887
Afghanistan,18.0,Ibn Hibban,http://www.wikidata.org/entity/Q4794354
Afghanistan,18.0,Mahmud Tarzi,http://www.wikidata.org/entity/Q153640
Afghanistan,18.0,Lokaksema,http://www.wikidata.org/entity/Q370115
Afghanistan,17.0,Gulbadan Begum,http://www.wikidata.org/entity/Q2041521
Afghanistan,16.0,Lal Shahbaz Qalandar,http://www.wikidata.org/entity/Q738225
Afghanistan,15.0,Muhammad Khwandamir,http://www.wikidata.org/entity/Q2977486
Afghanistan,15.0,Mīr-Khvānd,http://www.wikidata.org/entity/Q1377629
Afghanistan,15.0,Abdul Salam Hanafi,http://www.wikidata.org/entity/Q107919266
Afghanistan,14.0,Ibrahim an-Nazzam,http://www.wikidata.org/entity/Q287501
Afghanistan,12.0,Ali al-Qari,http://www.wikidata.org/entity/Q2836379
Afghanistan,12.0,Shaqiq al-Balkhi,http://www.wikidata.org/entity/Q3481470
Afghanistan,11.0,Faiz Muhammad Katib,http://www.wikidata.org/entity/Q3064681
Afghanistan,11.0,Abu Ubaid al-Qasim bin Salam,http://www.wikidata.org/entity/Q12178105
Afghanistan,11.0,Abdul Hakim Ishaqzai,http://www.wikidata.org/entity/Q108122545
Afghanistan,11.0,Gul Pacha Ulfat,http://www.wikidata.org/entity/Q3371568
Afghanistan,10.0,Abu 'Ubayd al-Juzjani,http://www.wikidata.org/entity/Q287710
Afghanistan,10.0,Rashid al-Din Vatvat,http://www.wikidata.org/entity/Q1113860
Afghanistan,10.0,Amr ibn Ubayd,http://www.wikidata.org/entity/Q1048593
Afghanistan,9.0,Rahnaward Zaryab,http://www.wikidata.org/entity/Q6557470
Afghanistan,9.0,Abu'l-Ma'ali Nasrallah,http://www.wikidata.org/entity/Q17001268
Afghanistan,8.0,Akram Assem,http://www.wikidata.org/entity/Q420738
Afghanistan,8.0,Baha ud-Din Walad,http://www.wikidata.org/entity/Q402807
Afghanistan,8.0,Ibrahim Sadr,http://www.wikidata.org/entity/Q108301306
Afghanistan,8.0,Muqātil ibn Sulaymān,http://www.wikidata.org/entity/Q14095767
Afghanistan,8.0,Louis Jacques Bresnier,http://www.wikidata.org/entity/Q1321064
Afghanistan,8.0,Buddhabhadra,http://www.wikidata.org/entity/Q583411
Afghanistan,8.0,Jnanagupta,http://www.wikidata.org/entity/Q1565766
Afghanistan,7.0,Abdul Shakoor Rashad,http://www.wikidata.org/entity/Q3371565
Afghanistan,7.0,Mujawar Ahmad Ziar,http://www.wikidata.org/entity/Q6933323
Afghanistan,7.0,Tamim Ansary,http://www.wikidata.org/entity/Q914869
Afghanistan,7.0,Muhammad Asif Mohseni,http://www.wikidata.org/entity/Q6932417
Afghanistan,7.0,Hatem al-Assam,http://www.wikidata.org/entity/Q12206747
Afghanistan,7.0,Ya'qub al-Jarkhi,http://www.wikidata.org/entity/Q16723182
Afghanistan,7.0,Fatana Najib,http://www.wikidata.org/entity/Q10843514
