country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,22,Aryana Sayeed,http://www.wikidata.org/entity/Q10944745,wd:Q10944745,40353524,afghan singer
Afghanistan,17,Sonita Alizadeh,http://www.wikidata.org/entity/Q20110468,wd:Q20110468,48337541,Afghan rapper and activist
Afghanistan,11,Naghma,http://www.wikidata.org/entity/Q3918308,wd:Q3918308,5653959,Afghan singer
Afghanistan,11,Soosan Firooz,http://www.wikidata.org/entity/Q7562761,wd:Q7562761,38797361,Afghan actress and rapper
Afghanistan,8,Seeta Qasemi,http://www.wikidata.org/entity/Q16222397,wd:Q16222397,41695296,Afghan singer
Afghanistan,7,Hangama,http://www.wikidata.org/entity/Q539848,wd:Q539848,8570289,Afghan singer
Afghanistan,7,Anisa Wahab,http://www.wikidata.org/entity/Q5958785,wd:Q5958785,61684684,Afghan actor and singer (1957-2010)
Afghanistan,7,Mermen Qamar Gul,http://www.wikidata.org/entity/Q7266402,wd:Q7266402,23949667,Afghan Pioneer artis
Afghanistan,7,Paradise Sorouri,http://www.wikidata.org/entity/Q25422922,wd:Q25422922,,
Iran,7,Paradise Sorouri,http://www.wikidata.org/entity/Q25422922,wd:Q25422922,,
Afghanistan,6,Mahwash,http://www.wikidata.org/entity/Q1656087,wd:Q1656087,7503768,Afghan singer
Afghanistan,6,Farzana Naz,http://www.wikidata.org/entity/Q16728927,wd:Q16728927,41707820,Afghani singer
Afghanistan,6,Rukhshana,http://www.wikidata.org/entity/Q20685369,wd:Q20685369,46454355,Afghan singer
Afghanistan,6,Mojgan Azimi,http://www.wikidata.org/entity/Q61063667,wd:Q61063667,68796340,Afghan singer
Iran,6,Mojgan Azimi,http://www.wikidata.org/entity/Q61063667,wd:Q61063667,68796340,Afghan singer
Afghanistan,5,Mozhdah Jamalzadah,http://www.wikidata.org/entity/Q6927980,wd:Q6927980,16658311,Afghan singer
Afghanistan,4,Wajiha Rastagar,http://www.wikidata.org/entity/Q2540832,wd:Q2540832,9902622,singer from Afghanistan
Afghanistan,4,Elaha Soroor,http://www.wikidata.org/entity/Q5947900,wd:Q5947900,35725466,singer
Afghanistan,4,Soheila Zaland,http://www.wikidata.org/entity/Q7554698,wd:Q7554698,9682986,Afghan singer
Afghanistan,4,Ghezaal Enayat,http://www.wikidata.org/entity/Q56359872,wd:Q56359872,60654981,Afghan singer-songwriter
Afghanistan,3,Mermon Parwin,http://www.wikidata.org/entity/Q1921943,wd:Q1921943,61684320,Afghan singer
Afghanistan,3,Parasto,http://www.wikidata.org/entity/Q7136036,wd:Q7136036,9900787,Afghan singer
Afghanistan,3,Zheela,http://www.wikidata.org/entity/Q17479599,wd:Q17479599,43409257,Afghan singer-actress
Afghanistan,2,Salma Jahani,http://www.wikidata.org/entity/Q2214724,wd:Q2214724,,
Afghanistan,2,Bakht Zamina,http://www.wikidata.org/entity/Q4849397,wd:Q4849397,28345573,Afghan singer
Afghanistan,2,Seema Tarana,http://www.wikidata.org/entity/Q14950032,wd:Q14950032,14423614,Afghan singer
Afghanistan,2,Shama Ashna,http://www.wikidata.org/entity/Q17117121,wd:Q17117121,,
Afghanistan,2,Ghazal Sadat,http://www.wikidata.org/entity/Q31067953,wd:Q31067953,68527196,Afghan singer and entrepreneur
Afghanistan,2,Ghawgha Taban,http://www.wikidata.org/entity/Q109243187,wd:Q109243187,,
Afghanistan,1,Shogoufeh Arefian,http://www.wikidata.org/entity/Q5874877,wd:Q5874877,,
Uzbekistan,1,Shogoufeh Arefian,http://www.wikidata.org/entity/Q5874877,wd:Q5874877,,
Afghanistan,1,Shahla Zaland,http://www.wikidata.org/entity/Q14950033,wd:Q14950033,,
Afghanistan,1,Khoshi mahtab,http://www.wikidata.org/entity/Q20084503,wd:Q20084503,46960932,Afghan singer
Albania,97,Dua Lipa,http://www.wikidata.org/entity/Q21914464,wd:Q21914464,49002318,English and Albanian singer and songwriter
United Kingdom,97,Dua Lipa,http://www.wikidata.org/entity/Q21914464,wd:Q21914464,49002318,English and Albanian singer and songwriter
Albania,64,Bleona,http://www.wikidata.org/entity/Q22137038,wd:Q22137038,33764618,"Albanian-American recording artist, actress, producer, and entrepreneur"
Albania,44,Eleni Foureira,http://www.wikidata.org/entity/Q4493489,wd:Q4493489,38855101,Greek singer and dancer
Greece,44,Eleni Foureira,http://www.wikidata.org/entity/Q4493489,wd:Q4493489,38855101,Greek singer and dancer
Albania,40,Era Istrefi,http://www.wikidata.org/entity/Q16911049,wd:Q16911049,42801804,Kosovo-Albanian singer
Kosovo,40,Era Istrefi,http://www.wikidata.org/entity/Q16911049,wd:Q16911049,42801804,Kosovo-Albanian singer
Albania,36,Juliana Pasha,http://www.wikidata.org/entity/Q229800,wd:Q229800,25577552,Albanian singer
Albania,35,Rona Nishliu,http://www.wikidata.org/entity/Q235260,wd:Q235260,31902589,Kosovo-Albanian singer
Kosovo,35,Rona Nishliu,http://www.wikidata.org/entity/Q235260,wd:Q235260,31902589,Kosovo-Albanian singer
Albania,32,Inva Mula,http://www.wikidata.org/entity/Q258299,wd:Q258299,537905,Albanian opera singer
Albania,32,Linda Halimi,http://www.wikidata.org/entity/Q4952077,wd:Q4952077,44849654,Kosovo-Albanian singer
Kosovo,32,Linda Halimi,http://www.wikidata.org/entity/Q4952077,wd:Q4952077,44849654,Kosovo-Albanian singer
Serbia,32,Linda Halimi,http://www.wikidata.org/entity/Q4952077,wd:Q4952077,44849654,Kosovo-Albanian singer
Albania,32,Ronela Hajati,http://www.wikidata.org/entity/Q16595022,wd:Q16595022,63179857,Albanian singer
Albania,31,Aurela Gaçe,http://www.wikidata.org/entity/Q229789,wd:Q229789,30189273,Albanian singer
Albania,30,Olta Boka,http://www.wikidata.org/entity/Q236081,wd:Q236081,14984855,Albanian singer
Albania,30,Jonida Maliqi,http://www.wikidata.org/entity/Q4965132,wd:Q4965132,51675352,Albanian singer
Albania,30,Arilena Ara,http://www.wikidata.org/entity/Q10417885,wd:Q10417885,42952191,Albanian singer
Albania,30,Elhaida Dani,http://www.wikidata.org/entity/Q10481367,wd:Q10481367,42551933,Albanian singer
Albania,29,Kejsi Tola,http://www.wikidata.org/entity/Q229793,wd:Q229793,20783674,Albanian singer
Albania,29,Anna Oxa,http://www.wikidata.org/entity/Q238061,wd:Q238061,6374747,Italian singer
Italy,29,Anna Oxa,http://www.wikidata.org/entity/Q238061,wd:Q238061,6374747,Italian singer
Albania,29,Eneda Tarifa,http://www.wikidata.org/entity/Q4982056,wd:Q4982056,48927015,Albanian singer
Albania,29,Herciana Matmuja,http://www.wikidata.org/entity/Q4966335,wd:Q4966335,41485903,Albanian singer
Albania,28,Anxhela Peristeri,http://www.wikidata.org/entity/Q18244983,wd:Q18244983,65704351,Albanian singer
Albania,26,Ermonela Jaho,http://www.wikidata.org/entity/Q2978745,wd:Q2978745,21229150,Albanian opera singer
Albania,24,Vaçe Zela,http://www.wikidata.org/entity/Q287966,wd:Q287966,16860767,Albania singer
Albania,24,Tefta Tashko-Koço,http://www.wikidata.org/entity/Q3299308,wd:Q3299308,26297055,Albanian artist
