country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Afghanistan,101,Herat,http://www.wikidata.org/entity/Q45313,wd:Q45313,14128,"capital of Herat Province, Afghanistan","Herāt (; Dari/Pashto: هرات) is an oasis city and the third-largest city of Afghanistan. In 2020, it had an estimated population of 574,276, and serves as the capital of Herat Province, situated south of the Paropamisus Mountains (Selseleh-ye Safēd Kōh) in the fertile valley of the Hari River in the western part of the country. An ancient civilization on the Silk Road between the Middle East, Central and South Asia, it serves as a regional hub in the country's west, and its historic Persian influences has given it the nickname as Afghanistan's Little Iran.Herat dates back to Avestan times and was traditionally known for its wine. The city has a number of historic sites, including the Herat Citadel and the Musalla Complex. During the Middle Ages Herat became one of the important cities of Khorasan, as it was known as the Pearl of Khorasan. After the conquest of Tamerlane, the city became an important center of intellectual and artistic life in the Islamic world. Under the rule of Shah Rukh the city served as the focal point of the Timurid Renaissance, whose glory matched Florence of the Italian Renaissance as the center of a cultural rebirth. After the fall of the Timurid Empire, Herat has been governed by various Afghan rulers since the early 18th century. In 1716, the Abdali Afghans inhabiting the city revolted and formed their own Sultanate, the Sadozai Sultanate of Herat. They were conquered by the Afsharids in 1732. After Nader Shah's death and Ahmad Shah Durrani's rise to power in 1747, Herat became part of Afghanistan. It became an independent city-state in the first half of the 19th century, facing several Iranian invasions until being incorporated into Afghanistan in 1863. The roads from Herat to Iran (through the border town of Islam Qala) and Turkmenistan (through the border town of Torghundi) are still strategically important. As the gateway to Iran, it collects high amount of customs revenue for Afghanistan. It also has an international airport. Following the 2001 war the city had been relatively safe from Taliban insurgent attacks. In 2021, it was announced that Herat would be listed as a UNESCO World Heritage Site. On 12 August 2021, the city was seized by Taliban fighters as part of the Taliban's summer offensive.",https://en.wikipedia.org/wiki/Herat
Albania,88,Shkodër,http://www.wikidata.org/entity/Q131638,wd:Q131638,59736375,city in northwestern Albania,"Shkodër ( SHKOH-dər, Albanian: [ˈʃkɔˈdəɾ]; definite Albanian form: Shkodra) is the fifth-most-populous city of the Republic of Albania and the seat of Shkodër County and Shkodër Municipality. The city sprawls across the Plain of Mbishkodra between the southern part of Lake Shkodër and the foothills of the Albanian Alps on the banks of Buna, Drin and Kir. Due to its proximity to the Adriatic Sea, Shkodër is affected by a seasonal Mediterranean climate with continental influences.One of the oldest continuously inhabited cities in the Balkans, Shkodër was founded under the name Scodra upon the traditional lands of the Illyrian tribes of the Ardiaei and Labeates in the 4th century BCE. It has historically developed on a 130 m (430 ft) hill strategically located in the outflow of Lake Shkodër into the Buna River. The Romans annexed the city after the third Illyrian War in 168 BCE, when Gentius was defeated by the Roman force of Anicius Gallus. In the 3rd century CE, Shkodër became the capital of Praevalitana, due to the administrative reform of the Roman Emperor Diocletian. With the spread of Christianity in the 4th century CE, the Archdiocese of Scodra was founded and was assumed in 535 by Byzantine Emperor Justinian I.
Shkodër is regarded as the traditional capital of northern Albania, also referred to as Gegëria, and is noted for its arts, culture, religious diversity and turbulent history among the Albanians. The architecture of Shkodër is particularly dominated by mosques and churches reflecting the city's high degree of religious diversity and tolerance. Shkodër was home to many influential personalities, who among others, helped to shape the Albanian Renaissance.",https://en.wikipedia.org/wiki/Shkod%C3%ABr
Algeria,77,Constantine,http://www.wikidata.org/entity/Q187346,wd:Q187346,468607,city in Algeria,"Constantine (Arabic: قسنطينة Qusanṭīnah), also spelled Qacentina or Kasantina, is the capital of Constantine Province in northeastern Algeria. During Roman times it was called Cirta and was renamed ""Constantina"" in honor of emperor Constantine the Great. It was the capital of the French department of Constantine until 1962. Located somewhat inland, Constantine is about 80 kilometres (50 miles) from the Mediterranean coast, on the banks of the Rhumel River.
Constantine is regarded as the capital of eastern Algeria and the commercial center of its region, and it has a population of about 450,000 (938,475 with the agglomeration), making it the third largest city in the country after Algiers and Oran. There are several museums and historical sites located around the city. Constantine is often referred to as the ""City of Bridges"" due to the numerous picturesque bridges connecting the various hills, valleys, and ravines that the city is built on and around.
Constantine was named the Arab Capital of Culture in 2015.","https://en.wikipedia.org/wiki/Constantine,_Algeria"
Angola,63,Benguela,http://www.wikidata.org/entity/Q214248,wd:Q214248,1126618,city in Angola,"Benguela (Portuguese pronunciation: [bẽˈɡɛlɐ]; Umbundu: Luombaka) is a city in western Angola, capital of Benguela Province. Benguela is one of Angola's most populous cities with a population of 555,124 in the city and 561,775 in the municipality, at the 2014 census.

",https://en.wikipedia.org/wiki/Benguela
Argentina,98,Rosario,http://www.wikidata.org/entity/Q52535,wd:Q52535,592784,city in Argentina,"Rosario (Spanish pronunciation: [roˈsaɾjo]) is the largest city in the central Argentina province of Santa Fe. The city is located 300 km (186 mi) northwest of Buenos Aires, on the west bank of the Paraná River. Rosario is the third-most populous city in the country, and is also the most populous city in Argentina that is not a capital (provincial or national). With a growing and important metropolitan area, Greater Rosario has an estimated population of 1,750,000 as of 2020. One of its main attractions includes the neoclassical, Art Nouveau, and Art Deco architecture that has been retained over the centuries in hundreds of residences, houses and public buildings.
Rosario is the head city of the Rosario Department and is located at the heart of the major industrial corridor in Argentina. The city is a major railroad terminal and the shipping center for north-eastern Argentina. Ships reach the city via the Paraná River, which allows the existence of a 10-metre-deep (34 ft) port. The Port of Rosario is subject to silting and must be dredged periodically. Exports include wheat, flour, hay, linseed and other vegetable oils, corn, sugar, lumber, meat, hides, and wool. Manufactured goods include flour, sugar, meat products, and other foodstuffs. The Rosario-Victoria Bridge, opened in 2004, spans the Paraná River, connecting Rosario with the city of Victoria, across the Paraná Delta. The city plays a critical role in agricultural commerce, and thus finds itself at the center of a continuing debate over taxes levied on big-ticket agricultural goods such as soy.
Along with Paraná, Rosario is one of the few Argentine cities that cannot point to a particular individual as its founder. The city's patron is the ""Virgin of the Rosary"", whose feast day is October 7.","https://en.wikipedia.org/wiki/Rosario,_Santa_Fe"
Armenia,31,Dvin,http://www.wikidata.org/entity/Q429059,wd:Q429059,4997140,ancient capital of early medieval Armenia.,"Dvin (Classical Armenian: Դուին, reformed: Դվին; Greek: Δούβιος, Doύbios or Τίβιον, Tίbion; Arabic: دبيل, romanized: Dabīl or Doubil; also Duin or Dwin in ancient sources) was a large commercial city and the capital of early medieval Armenia. It was situated north of the previous ancient capital of Armenia, the city of Artaxata, along the banks of the Metsamor River, 35 km to the south of modern Yerevan.  The site of the ancient city is currently not much more than a large hill located between modern Hnaberd (just off the main road through Hnaberd) and Verin Dvin, Armenia.  Systematic excavations at Dvin that have proceeded since 1937 have produced an abundance of materials, which have shed light into the Armenian culture of the 5th to the 13th centuries.

",https://en.wikipedia.org/wiki/Dvin_(ancient_city)
Australia,188,Melbourne,http://www.wikidata.org/entity/Q3141,wd:Q3141,17306237,"capital city of Victoria, Australia","Melbourne ( (listen) MEL-bərn) (Boonwurrung: Naarm) is the capital and most-populous city of the Australian state of Victoria, and the second-most populous city in both Australia and Oceania.  Its name generally refers to a 9,993 km2 (3,858 sq mi) metropolitan area known as Greater Melbourne, comprising an urban agglomeration of 31 local municipalities, although the name is also used specifically for the local municipality of City of Melbourne based around its central business area. The city occupies much of the northern and eastern coastlines of Port Phillip Bay and spreads into the Mornington Peninsula and the hinterlands towards the Yarra Valley and the Dandenong and Macedon Ranges. It has a population over 5 million (19% of the population of Australia, as per 2020), mostly residing to the east side of the city centre, and its inhabitants are commonly referred to as ""Melburnians"".The area of Melbourne has been home to Aboriginal peoples for over 40,000 years and serves as an important meeting place for local Kulin nation clans. The name Naarm is commonly used by the broader Aboriginal community to refer to the city, being the traditional Boon wurrung name for Port Phillip Bay. A short-lived penal settlement was built at Port Phillip, then part of the British colony of New South Wales, in 1803, but it was not until 1835, with the arrival of free settlers from Van Diemen’s Land (modern-day Tasmania), that Melbourne was founded. It was incorporated as a Crown settlement in 1837, and named after the then British Prime Minister, William Lamb, 2nd Viscount Melbourne. In 1851, four years after Queen Victoria declared it a city, Melbourne became the capital of the new colony of Victoria. During the 1850s Victorian gold rush, the city entered a lengthy boom period that, by the late 1880s, had transformed it into one of the world's largest and wealthiest metropolises. After the federation of Australia in 1901, it served as the interim seat of government of the new nation until Canberra became the permanent capital in 1927. Today, it is a leading financial centre in the Asia-Pacific region and ranks 23rd globally in the 2021 Global Financial Centres Index.Melbourne is home to many of Australia's best-known landmarks, such as the Melbourne Cricket Ground, the National Gallery of Victoria and the World Heritage-listed Royal Exhibition Building. Noted for its cultural heritage, the city gave rise to Australian rules football, Australian impressionism and Australian cinema, and has more recently been recognised as a UNESCO City of Literature and a global centre for street art, live music and theatre. It hosts major annual international events, such as the Australian Grand Prix and the Australian Open, and also hosted the 1956 Summer Olympics and the 2006 Commonwealth Games, and will host the 2026 Commonwealth Games, along with a number of regional areas of Victoria. It was host to the 1880 World's Fair. Melbourne consistently ranked as the world's most liveable city for much of the 2010s.Melbourne Airport, also known as the Tullamarine Airport, is the second-busiest airport in Australia, and the Port of Melbourne is the nation's busiest seaport. Its main metropolitan rail terminus is Flinders Street station and its main regional rail and road coach terminus is Southern Cross station. It also has Australia's most extensive freeway network and the largest urban tram network in the world.",https://en.wikipedia.org/wiki/Melbourne
Austria,141,Innsbruck,http://www.wikidata.org/entity/Q1735,wd:Q1735,55857,"capital of the state of Tyrol, Austria","Innsbruck (German: [ˈɪnsbʁʊk] (listen); Austro-Bavarian: Innschbruck [ˈɪnʃprʊk]) is the capital of Tyrol and the fifth-largest city in Austria. On the River Inn, at its junction with the Wipp Valley, which provides access to the Brenner Pass 30 km (18.6 mi) to the south, it had a population of 132,493 in 2018.
In the broad valley between high mountains, the so-called North Chain in the Karwendel Alps (Hafelekarspitze, 2,334 metres or 7,657 feet) to the north and Patscherkofel (2,246 m or 7,369 ft) and Serles (2,718 m or 8,917 ft) to the south, Innsbruck is an internationally renowned winter sports centre; it hosted the 1964 and 1976 Winter Olympics as well as the 1984 and 1988 Winter Paralympics. It also hosted the first Winter Youth Olympics in 2012. The name means ""bridge over the Inn"".",https://en.wikipedia.org/wiki/Innsbruck
Azerbaijan,91,Ganja,http://www.wikidata.org/entity/Q131290,wd:Q131290,661551,city in Azerbaijan,"Ganja (; Azerbaijani: Gəncə [ɟænˈdʒæ] (listen); Armenian: Գանձակ, romanized: Gandzak; Persian: گنجه, romanized: Ganjeh) is Azerbaijan's third largest city, with a population of around 335,600. The city has been a historic and cultural center throughout most of its existence. Until 1804, it was the capital of the Ganja Khanate; after Qajar Iran ceded it to the Russian Empire following the Treaty of Gulistan of 1813, it successively became part of the Georgia Governorate, Georgia-Imeretia Governorate, Tiflis Governorate, and Elisabethpol Governorate administrative divisions. After the dissolution of the Russian Empire and the Transcaucasian Democratic Federative Republic, it became part of the Azerbaijan Democratic Republic, the Azerbaijan SSR of the Soviet Union and since 1991, the Republic of Azerbaijan.","https://en.wikipedia.org/wiki/Ganja,_Azerbaijan"
Bahrain,40,Riffa,http://www.wikidata.org/entity/Q1771398,wd:Q1771398,17767688,human settlement from Bahrain,"Riffa (Arabic: الرفاع, Ar-Rifāʿ) is the second largest city in the Kingdom of Bahrain by area size. Riffa is divided into three parts: East Riffa, West Riffa and North Riffa. The city is completely located in the Southern Governorate.
The city is growing fast: during the 2001 census, the population was recorded as 79,550 but by 2008 it was estimated as 111,000.",https://en.wikipedia.org/wiki/Riffa
