painter,painterLabel,country,countryLabel,sitelinks
http://www.wikidata.org/entity/Q4724,Le Corbusier,http://www.wikidata.org/entity/Q39,Switzerland,170
http://www.wikidata.org/entity/Q4724,Le Corbusier,http://www.wikidata.org/entity/Q142,France,170
http://www.wikidata.org/entity/Q23380,Jean Auguste Dominique Ingres,http://www.wikidata.org/entity/Q142,France,127
http://www.wikidata.org/entity/Q25328,Antoni Gaudí,http://www.wikidata.org/entity/Q29,Spain,120
http://www.wikidata.org/entity/Q301,El Greco,http://www.wikidata.org/entity/Q29,Spain,106
http://www.wikidata.org/entity/Q57384,Wernher von Braun,http://www.wikidata.org/entity/Q41304,Weimar Republic,99
http://www.wikidata.org/entity/Q20882,Gustave Eiffel,http://www.wikidata.org/entity/Q142,France,94
http://www.wikidata.org/entity/Q61071,Walter Gropius,http://www.wikidata.org/entity/Q183,Germany,86
http://www.wikidata.org/entity/Q61071,Walter Gropius,http://www.wikidata.org/entity/Q41304,Weimar Republic,86
http://www.wikidata.org/entity/Q82840,Alvar Aalto,http://www.wikidata.org/entity/Q33,Finland,86
http://www.wikidata.org/entity/Q41508,Ludwig Mies van der Rohe,http://www.wikidata.org/entity/Q183,Germany,82
http://www.wikidata.org/entity/Q131326,Eyvind Johnson,http://www.wikidata.org/entity/Q34,Sweden,80
http://www.wikidata.org/entity/Q47780,Zaha Hadid,http://www.wikidata.org/entity/Q145,United Kingdom,78
http://www.wikidata.org/entity/Q60045,Albert Speer,http://www.wikidata.org/entity/Q183,Germany,75
http://www.wikidata.org/entity/Q182589,William Morris,http://www.wikidata.org/entity/Q145,United Kingdom,70
http://www.wikidata.org/entity/Q44032,Egon Schiele,http://www.wikidata.org/entity/Q40,Austria,69
http://www.wikidata.org/entity/Q75849,Alfred Rosenberg,http://www.wikidata.org/entity/Q41304,Weimar Republic,68
http://www.wikidata.org/entity/Q168482,Santiago Calatrava,http://www.wikidata.org/entity/Q29,Spain,68
http://www.wikidata.org/entity/Q115483,Max Frisch,http://www.wikidata.org/entity/Q39,Switzerland,67
http://www.wikidata.org/entity/Q190148,Renzo Piano,http://www.wikidata.org/entity/Q38,Italy,65
http://www.wikidata.org/entity/Q104898,Norman Foster,http://www.wikidata.org/entity/Q145,United Kingdom,61
http://www.wikidata.org/entity/Q49086,Simon Wiesenthal,http://www.wikidata.org/entity/Q40,Austria,60
http://www.wikidata.org/entity/Q155626,John Singer Sargent,http://www.wikidata.org/entity/Q145,United Kingdom,60
http://www.wikidata.org/entity/Q151759,Karl Friedrich Schinkel,http://www.wikidata.org/entity/Q183,Germany,59
http://www.wikidata.org/entity/Q44323,Adolf Loos,http://www.wikidata.org/entity/Q40,Austria,58
http://www.wikidata.org/entity/Q123150,Francesco Borromini,http://www.wikidata.org/entity/Q39,Switzerland,57
http://www.wikidata.org/entity/Q186089,Ernő Rubik,http://www.wikidata.org/entity/Q28,Hungary,57
http://www.wikidata.org/entity/Q192839,Sébastien Le Prestre de Vauban,http://www.wikidata.org/entity/Q142,France,55
http://www.wikidata.org/entity/Q272912,Eugène Viollet-le-Duc,http://www.wikidata.org/entity/Q142,France,55
http://www.wikidata.org/entity/Q232364,Rem Koolhaas,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,54
http://www.wikidata.org/entity/Q152850,Raoul Wallenberg,http://www.wikidata.org/entity/Q34,Sweden,54
http://www.wikidata.org/entity/Q191798,Georges-Eugène Haussmann,http://www.wikidata.org/entity/Q142,France,54
http://www.wikidata.org/entity/Q160422,Theo van Doesburg,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,53
http://www.wikidata.org/entity/Q84287,Otto Wagner,http://www.wikidata.org/entity/Q40,Austria,52
http://www.wikidata.org/entity/Q151836,Friedensreich Hundertwasser,http://www.wikidata.org/entity/Q40,Austria,52
http://www.wikidata.org/entity/Q237412,Richard Rogers,http://www.wikidata.org/entity/Q145,United Kingdom,49
http://www.wikidata.org/entity/Q271676,Charles Le Brun,http://www.wikidata.org/entity/Q142,France,49
http://www.wikidata.org/entity/Q49744,Victor Horta,http://www.wikidata.org/entity/Q31,Belgium,48
http://www.wikidata.org/entity/Q154338,Matthias Grünewald,http://www.wikidata.org/entity/Q183,Germany,48
