Country,Amount,Date
"Bahrain","89.29",2013
"Japan","87.8",2014
"Malta","86.54",2014
"South Korea","84.46",2014
"Taiwan","83.33",2014
"United Arab Emirates","83.1",2014
"Hong Kong","82.56",2014
"Georgia","79.84",2014
"Laos","79.17",2013
"Singapore","78.75",2014
"Qatar","78.57",2014
"Austria","75.6",2014
"Germany","75.16",2014
"Monaco","75",2014
"Israel","74.19",2014
"Croatia","74.12",2014
"Finland","73.5",2014
"China","72.89",2014
"Slovenia","72.86",2014
"Saudi Arabia","71.03",2014
"Iceland","70.83",2014
"Cyprus","70.69",2014
"Switzerland","70.19",2014
"Spain","69.07",2014
"Kuwait","68.75",2014
"Estonia","68.18",2014
"Czech Republic","67.86",2014
"Oman","67.86",2014
"Serbia","67.65",2014
"Romania","66.98",2014
"Armenia","66.67",2013
"Norway","66.56",2014
"Thailand","65.79",2014
"Denmark","64.84",2014
"Portugal","64.41",2014
"Belarus","64.29",2013
"Republic of Macedonia","63.89",2014
"Brunei","63.89",2014
"Netherlands","61.9",2014
"Slovakia","60.23",2014
"Eritrea","60",2013
"Luxembourg","60",2013
"Sri Lanka","59.62",2013
"Canada","59.14",2014
"Jordan","59.09",2014
"Sudan","58.33",2014
"Sweden","58.33",2014
"Lithuania","57.69",2014
"Azerbaijan","57.5",2014
"Lebanon","56.58",2014
"Turkey","55.91",2014
"Hungary","55.88",2014
"Panama","55.26",2014
"Poland","54.56",2014
"Egypt","54.46",2014
"Bulgaria","54.08",2014
"Philippines","54.05",2014
"Greece","53.97",2014
"United Kingdom","50.72",2014
"India","50.1",2014
"Cambodia","50",2014
"Australia","49.47",2014
"Indonesia","48.92",2014
"Namibia","48.08",2014
"Italy","47.97",2014
"Tunisia","46.67",2014
"Algeria","46.43",2014
"Vietnam","45.31",2014
"Belgium","45.09",2014
"Fiji","45",2013
"Barbados","45",2013
"France","44.89",2014
"Chile","44.44",2014
"Iraq","43.75",2013
"New Zealand","43.52",2014
"Uruguay","42.86",2014
"Tanzania","42.86",2013
"United States","41.84",2014
"Ireland","41.59",2014
"Iran","40.46",2014
"Yemen","40",2014
"Latvia","40",2014
"Paraguay","40",2013
"Ukraine","39.68",2014
"Albania","39.29",2014
"Nicaragua","38.89",2013
"Mexico","38.67",2014
"Syria","38.24",2013
"Libya","37.5",2014
"Kazakhstan","37.5",2014
"Mauritius","36.54",2014
"Uzbekistan","35",2013
"Argentina","34.38",2014
"Russia","34.07",2014
"Peru","33.82",2014
"Ethiopia","33.33",2014
"Moldova","31.25",2014
"Angola","31.25",2013
"Nepal","30.36",2014
"Botswana","30",2014
"Pakistan","29.21",2014
"Nigeria","29.17",2014
"Jamaica","27.94",2014
"Bangladesh","27.5",2014
"Zimbabwe","27.27",2014
"Colombia","25",2014
"Ghana","25",2014
"Ecuador","24.14",2014
"Costa Rica","23.68",2014
"Dominican Republic","22.37",2014
"Malaysia","22.04",2014
"Morocco","22",2014
"Kyrgyzstan","21.88",2013
"Uganda","21.43",2014
"Puerto Rico","18.1",2014
"Bolivia","17.5",2014
"Mongolia","15",2013
"Brazil","14.86",2014
"Honduras","14.29",2014
"Guatemala","13.64",2014
"Papua New Guinea","12.5",2014
"South Africa","10.71",2014
"Kenya","9.52",2014
"Trinidad and Tobago","8.82",2014
"The Bahamas","8.33",2014
"El Salvador","6.82",2013
"Venezuela","6.45",2014
"Maldives","5",2014
"Haiti","5",2013
"Afghanistan","0.0",2014
