Country,Amount,Date
"Maldives","100",2014
"Papua New Guinea","100",2014
"Egypt","90.91",2014
"Mongolia","90",2013
"Venezuela","89.52",2014
"Paraguay","87.5",2013
"Afghanistan","85.71",2014
"Trinidad and Tobago","83.33",2014
"Uganda","83.33",2014
"Laos","83.33",2013
"Puerto Rico","81.9",2014
"Guatemala","81.82",2014
"Libya","81.25",2014
"Jamaica","81.25",2014
"Malaysia","80.17",2014
"Yemen","80",2014
"Haiti","80",2013
"Luxembourg","80",2013
"Lebanon","78.95",2014
"The Bahamas","78.57",2014
"Bahrain","78.57",2013
"South Africa","78.12",2014
"Dominican Republic","77.5",2014
"Morocco","77.08",2014
"Pakistan","76.84",2014
"Honduras","76.67",2014
"Portugal","76.27",2014
"Bolivia","75",2014
"Kenya","75",2014
"Botswana","75",2014
"Tanzania","75",2013
"Brazil","74.9",2014
"Iran","74.67",2014
"Argentina","74.31",2014
"Vietnam","73.44",2014
"Tunisia","73.33",2014
"Jordan","72.73",2014
"Nigeria","72.22",2014
"Peru","72.22",2014
"Ethiopia","72.22",2014
"Ireland","71.74",2014
"Algeria","71.43",2014
"Belarus","71.43",2013
"Greece","71.18",2014
"Cyprus","70.69",2014
"Mexico","70.68",2014
"Italy","70.63",2014
"Syria","70.59",2013
"Bangladesh","70",2014
"Barbados","70",2013
"Eritrea","70",2013
"Uzbekistan","70",2013
"Costa Rica","69.44",2014
"Mauritius","69.23",2014
"Sri Lanka","69.23",2013
"Uruguay","69.05",2014
"Kyrgyzstan","68.75",2013
"Zimbabwe","68.18",2014
"France","67.93",2014
"Australia","67.26",2014
"Norway","66.88",2014
"Ukraine","65.87",2014
"Panama","65.79",2014
"Croatia","65.52",2014
"New Zealand","65.24",2014
"United States","65.22",2014
"Switzerland","64.56",2014
"Ecuador","64.29",2014
"Slovenia","64.29",2014
"Finland","64",2014
"India","63.58",2014
"Spain","63.06",2014
"Sweden","63.01",2014
"Malta","62.5",2014
"Kazakhstan","62.5",2014
"Nicaragua","62.5",2013
"Indonesia","61.83",2014
"Netherlands","61.76",2014
"Denmark","61.67",2014
"Belgium","61.61",2014
"Ghana","61.11",2014
"Thailand","60.96",2014
"Nepal","60.71",2014
"Monaco","60",2014
"Israel","59.68",2014
"El Salvador","59.09",2013
"Serbia","58.96",2014
"Moldova","58.33",2014
"Sudan","58.33",2014
"Republic of Macedonia","58.33",2014
"Bosnia and Herzegovina","58",2014
"Iceland","57.89",2014
"Latvia","57.5",2014
"Chile","57.14",2014
"Albania","57.14",2014
"Namibia","57.14",2014
"Oman","57.14",2014
"Kuwait","56.67",2014
"Saudi Arabia","56.45",2014
"Canada","56.01",2014
"Brunei","55",2014
"Hungary","54.9",2014
"Turkey","54.13",2014
"Singapore","53.45",2014
"United Kingdom","53.35",2014
"Colombia","52.5",2014
"Germany","52.2",2014
"Czech Republic","51.82",2014
"Bulgaria","51.04",2014
"United Arab Emirates","50",2014
"Azerbaijan","50",2014
"Cambodia","50",2014
"China","49.28",2014
"Austria","48.75",2014
"Taiwan","48.57",2014
"Russia","48.52",2014
"Qatar","47.62",2014
"Japan","47.56",2014
"South Korea","45.95",2014
"Iraq","45.83",2013
"Philippines","45.69",2014
"Estonia","45.24",2014
"Hong Kong","44.19",2014
"Slovakia","43.18",2014
"Romania","43.13",2014
"Armenia","41.67",2013
"Fiji","40",2013
"Angola","40",2013
"Isle of Man","40",2013
"Poland","38.8",2014
"Lithuania","38.46",2014
"Georgia","28.12",2014
