Country,Amount,Date
"Saudi Arabia","$99.99",2014
"Kuwait","$99.96",2014
"Iran","$40.00",2014
"Libya","$38.88",2014
"Indonesia","$24.91",2014
"Singapore","$23.67",2014
"Cayman Islands","$22.50",2014
"Bahrain","$22.01",2014
"Greenland","$21.96",2013
"Burundi","$21.42",2013
"Qatar","$20.60",2014
"French Polynesia","$20.48",2013
"United Arab Emirates","$20.42",2014
"Bermuda","$20.00",2014
"Somalia","$20.00",2014
"Norway","$19.78",2014
"Bangladesh","$19.31",2014
"Venezuela","$18.63",2014
"Jordan","$18.00",2014
"Iceland","$16.76",2014
"Suriname","$16.43",2014
"Trinidad and Tobago","$15.67",2014
"Grenada","$15.56",2014
"Thailand","$15.32",2014
"Malaysia","$15.24",2014
"South Korea","$15.00",2014
"Hong Kong","$15.00",2014
"British Virgin Islands","$15.00",2014
"Faroe Islands","$14.64",2014
"Belize","$14.04",2014
"Democratic Republic of the Congo","$14.00",2014
"China","$13.87",2014
"Samoa","$13.83",2013
"Barbados","$13.75",2014
"Finland","$13.66",2014
"The Bahamas","$13.50",2014
"Canada","$13.48",2014
"Switzerland","$13.47",2014
"Papua New Guinea","$13.46",2014
"Australia","$13.40",2014
"Afghanistan","$13.25",2014
"Guam","$12.99",2013
"Ireland","$12.97",2014
"New Zealand","$12.54",2014
"Japan","$12.52",2014
"Rwanda","$12.30",2014
"Sweden","$12.09",2014
"Burma","$12.08",2014
"United States","$12.00",2014
"Puerto Rico","$12.00",2014
"Nicaragua","$12.00",2014
"Laos","$12.00",2014
"Equatorial Guinea","$11.61",2013
"Guyana","$11.50",2014
"Sri Lanka","$11.45",2014
"Israel","$11.37",2014
"Colombia","$11.33",2014
"Reunion","$10.92",2014
"Monaco","$10.92",2013
"Costa Rica","$10.85",2014
"Isle of Man","$10.81",2013
"Turkey","$10.74",2014
"Saint Lucia","$10.56",2014
"Denmark","$10.52",2014
"Mauritius","$10.49",2014
"Gabon","$10.41",2014
"Malawi","$10.41",2013
"Azerbaijan","$10.20",2014
"Seychelles","$10.19",2014
"Ecuador","$10.00",2014
"Lebanon","$10.00",2014
"Kenya","$10.00",2014
"Angola","$10.00",2014
"Iraq","$10.00",2014
"Zambia","$10.00",2014
"Mongolia","$10.00",2014
"Jersey","$9.98",2014
"Guernsey","$9.98",2014
"United Kingdom","$9.98",2014
"Uganda","$9.95",2014
"Taiwan","$9.89",2014
"Guatemala","$9.68",2014
"Vietnam","$9.49",2014
"Nigeria","$9.41",2014
"Falkland Islands (Islas Malvinas)","$9.15",2012
"New Caledonia","$9.07",2013
"Liberia","$9.00",2013
"Peru","$8.89",2014
"Aruba","$8.62",2014
"Egypt","$8.62",2014
"Oman","$8.61",2014
"Jamaica","$8.59",2014
"Brazil","$8.50",2014
"Curacao","$8.38",2013
"Gibraltar","$8.31",2014
"Russia","$8.30",2014
"Mozambique","$8.25",2014
"Tanzania","$8.19",2014
"Luxembourg","$8.19",2014
"Greece","$8.19",2014
"Belgium","$8.19",2014
"Kazakhstan","$8.14",2014
"El Salvador","$8.00",2014
"Cambodia","$8.00",2014
"Ghana","$8.00",2014
"Latvia","$7.79",2014
"Zimbabwe","$7.50",2014
"Turkmenistan","$7.50",2013
"Mexico","$7.49",2014
"Fiji","$7.46",2014
"Pakistan","$7.32",2014
"Tajikistan","$7.28",2013
"Honduras","$7.25",2014
"India","$7.24",2014
"Algeria","$7.07",2014
"Nepal","$7.04",2014
"Syria","$7.03",2014
"Cameroon","$7.02",2014
"Dominican Republic","$6.97",2014
"Netherlands","$6.83",2014
"France","$6.83",2014
"Estonia","$6.83",2014
"Italy","$6.83",2014
"Slovenia","$6.83",2014
"Albania","$6.83",2014
"Cyprus","$6.83",2014
"Austria","$6.83",2014
"Germany","$6.83",2014
"Lithuania","$6.72",2014
"Uruguay","$6.67",2014
"Belarus","$6.61",2014
"Poland","$6.53",2014
"Croatia","$6.24",2014
"Tunisia","$6.22",2014
"Morocco","$6.15",2014
"Panama","$6.00",2014
"Bulgaria","$5.61",2014
"Philippines","$5.60",2014
"Bosnia and Herzegovina","$5.57",2014
"Slovakia","$5.46",2014
"Spain","$5.46",2014
"Malta","$5.46",2014
"Argentina","$5.45",2014
"Haiti","$5.40",2014
"Senegal","$5.33",2014
"Chile","$5.32",2014
"Andorra","$5.12",2014
"Paraguay","$5.00",2014
"Bolivia","$5.00",2014
"Kyrgyzstan","$5.00",2014
"Madagascar","$5.00",2014
"Czech Republic","$4.99",2014
"Armenia","$4.85",2014
"Botswana","$4.82",2014
"Montenegro","$4.78",2014
"Portugal","$4.78",2014
"Serbia","$4.73",2014
"Swaziland","$4.63",2014
"Georgia","$4.59",2014
"Romania","$4.55",2014
"Ukraine","$4.50",2014
"Uzbekistan","$4.44",2014
"Republic of Macedonia","$4.43",2014
"Hungary","$4.38",2014
"Namibia","$4.38",2014
"Ethiopia","$4.35",2014
"South Africa","$4.35",2014
"Mali","$4.00",2014
"Brunei","$3.95",2014
"Bhutan","$3.73",2014
"Lesotho","$3.70",2014
"Cuba","$3.02",2014
"Moldova","$3.00",2014
"Cape Verde","$1.78",2014
"Vanuatu","$1.37",2013
"Yemen","$1.00",2014
