Country,Amount,Date
"Afghanistan","$900.00",2014
"Cuba","$350.00",2014
"Vanuatu","$260.82",2013
"Papua New Guinea","$253.44",2014
"Namibia","$243.57",2014
"Ethiopia","$202.50",2014
"Turkmenistan","$200.00",2013
"Angola","$190.00",2014
"Uzbekistan","$170.00",2014
"Tajikistan","$168.78",2013
"Greenland","$164.69",2013
"Burundi","$151.17",2013
"Laos","$150.00",2014
"Bermuda","$136.66",2014
"Bolivia","$124.62",2014
"Burma","$115.00",2014
"Democratic Republic of the Congo","$112.79",2014
"Cayman Islands","$111.67",2014
"Madagascar","$106.67",2014
"Seychelles","$97.98",2014
"French Polynesia","$95.59",2013
"British Virgin Islands","$93.00",2014
"Faroe Islands","$91.49",2014
"Qatar","$90.85",2014
"Mauritius","$84.81",2014
"Nigeria","$81.14",2014
"Somalia","$80.00",2014
"Zambia","$80.00",2014
"Brunei","$79.90",2014
"Gibraltar","$78.15",2014
"Saint Lucia","$74.00",2014
"United Arab Emirates","$73.49",2014
"New Zealand","$72.74",2014
"Ghana","$72.20",2014
"Djibouti","$71.82",2013
"Maldives","$71.79",2014
"Haiti","$71.67",2014
"Gabon","$69.73",2014
"Reunion","$68.28",2014
"Guam","$68.00",2013
"Mozambique","$66.90",2014
"Dominican Republic","$66.61",2014
"Gambia","$65.62",2014
"Swaziland","$64.81",2014
"Kuwait","$64.31",2014
"Oman","$63.59",2014
"Syria","$62.66",2014
"Iceland","$61.96",2014
"Equatorial Guinea","$60.00",2013
"Andorra","$59.62",2014
"Bahrain","$59.35",2014
"South Africa","$59.12",2014
"Lebanon","$58.78",2014
"Costa Rica","$58.75",2014
"Australia","$58.02",2014
"Botswana","$57.38",2014
"Ecuador","$55.24",2014
"Zimbabwe","$55.00",2014
"Saudi Arabia","$54.67",2014
"Dominica","$54.44",2013
"Cambodia","$54.00",2014
"Paraguay","$53.84",2014
"New Caledonia","$53.81",2013
"Norway","$53.31",2014
"Peru","$53.23",2014
"Venezuela","$53.04",2014
"Iraq","$52.98",2014
"Barbados","$52.50",2014
"Suriname","$52.21",2014
"Uganda","$52.04",2014
"Switzerland","$51.72",2014
"Puerto Rico","$51.53",2014
"Lesotho","$50.92",2014
"Iran","$50.23",2014
"Kyrgyzstan","$50.00",2014
"Senegal","$50.00",2014
"Isle of Man","$49.88",2013
"Ireland","$49.55",2014
"Egypt","$48.83",2014
"Luxembourg","$48.48",2014
"Cyprus","$48.36",2014
"Honduras","$47.88",2014
"El Salvador","$47.83",2014
"Belgium","$47.09",2014
"Belize","$46.75",2014
"Spain","$46.71",2014
"Grenada","$46.39",2014
"United States","$45.72",2014
"Kenya","$45.23",2014
"Monaco","$44.61",2013
"Nicaragua","$44.60",2014
"Malaysia","$44.08",2014
"Cape Verde","$44.08",2014
"Canada","$43.30",2014
"Guernsey","$43.22",2014
"Guatemala","$43.10",2014
"Jordan","$42.64",2014
"Philippines","$42.42",2014
"Sudan","$40.92",2014
"Trinidad and Tobago","$40.88",2014
"France","$40.77",2014
"Aruba","$40.00",2014
"The Bahamas","$40.00",2014
"Yemen","$39.89",2014
"Chile","$38.66",2014
"Curacao","$38.04",2013
"Bangladesh","$37.76",2014
"Panama","$37.70",2014
"Guyana","$37.50",2014
"Rwanda","$37.47",2014
"Japan","$36.58",2014
"Mongolia","$35.83",2014
"Jersey","$35.75",2014
"Cameroon","$35.68",2014
"Uruguay","$35.09",2014
"Sweden","$34.96",2014
"Italy","$34.89",2014
"Argentina","$34.53",2014
"Azerbaijan","$34.50",2014
"Algeria","$34.19",2014
"Colombia","$33.83",2014
"Slovenia","$33.28",2014
"Denmark","$32.90",2014
"Singapore","$32.73",2014
"Netherlands","$32.55",2014
"Brazil","$32.50",2014
"Tanzania","$32.47",2014
"Bhutan","$32.19",2014
"United Kingdom","$31.97",2014
"Montenegro","$31.28",2014
"Portugal","$30.42",2014
"Germany","$29.92",2014
"Mexico","$29.73",2014
"Indonesia","$29.31",2014
"Jamaica","$29.12",2014
"Finland","$28.22",2014
"Pakistan","$27.12",2014
"Malta","$27.00",2014
"Austria","$26.90",2014
"Croatia","$26.84",2014
"Tunisia","$26.83",2014
"Nepal","$26.72",2014
"Greece","$26.60",2014
"Turkey","$25.54",2014
"Israel","$25.27",2014
"Albania","$25.27",2014
"Kazakhstan","$24.98",2014
"South Korea","$24.75",2014
"Morocco","$24.24",2014
"Hong Kong","$24.18",2014
"Libya","$23.51",2014
"Estonia","$23.09",2014
"Serbia","$21.91",2014
"Armenia","$21.86",2014
"Taiwan","$21.73",2014
"Belarus","$20.86",2014
"Czech Republic","$20.44",2014
"China","$19.93",2014
"Thailand","$19.79",2014
"Bosnia and Herzegovina","$19.53",2014
"India","$18.58",2014
"Latvia","$18.19",2014
"Slovakia","$18.02",2014
"Hungary","$17.27",2014
"Georgia","$17.13",2014
"Sri Lanka","$17.03",2014
"Fiji","$16.91",2014
"Poland","$16.68",2014
"Vietnam","$13.91",2014
"Republic of Macedonia","$13.53",2014
"Lithuania","$12.84",2014
"Bulgaria","$11.70",2014
"Russia","$11.47",2014
"Moldova","$10.21",2014
"Romania","$9.97",2014
"Ukraine","$7.72",2014
"Mali","$2.00",2014
