Country,Amount,Date
United States,2014,2014
China,2014,2014
Iran,2014,2014
Saudi Arabia,2014,2014
Somalia,2014,2014
Bangladesh,2013,2014
North Korea,2013,2014
Malaysia,2013,2014
Japan,2013,2014
Taiwan,2013,2014
Iraq,2013,2014
Vietnam,2013,2014
Palestine,2013,2014
Kuwait,2013,2014
Afghanistan,2013,2014
India,2013,2014
Yemen,2013,2014
Indonesia,2013,2014
Nigeria,2013,2014
Sudan,2013,2014
Botswana,2013,2014
South Sudan,2013,2014
Belarus,2012,2014
Syria,2012,2014
Pakistan,2012,2014
Gambia,2012,2014
Madagascar,2012,2012
Singapore,2011,2014
United Arab Emirates,2011,2014
Egypt,2011,2014
Bahrain,2010,2014
Libya,2010,2014
Equatorial Guinea,2010,2014
Thailand,2009,2014
Saint Kitts and Nevis,2008,2014
Mongolia,2008,2014
Oman,2007,2014
Ethiopia,2007,2014
Kyrgyzstan,2007,2012
Jordan,2006,2014
Uzbekistan,2005,2014
Uganda,2005,2014
Lebanon,2004,2014
Tajikistan,2004,2014
Samoa,2004,2012
Cuba,2003,2014
Qatar,2003,2014
Kazakhstan,2003,2014
Chad,2003,2014
Zimbabwe,2003,2014
East Timor,2002,2012
Guinea,2001,2014
Guatemala,2000,2014
The Bahamas,2000,2014
Burundi,2000,2014
Cote d'Ivoire,2000,2012
Trinidad and Tobago,1999,2014
Philippines,1999,2014
Rwanda,1998,2014
Sierra Leone,1998,2014
Guyana,1997,2014
Ukraine,1997,2014
South Korea,1997,2014
Turkmenistan,1997,2014
Zambia,1997,2014
Cameroon,1997,2014
Comoros,1997,2014
Russia,1996,2014
Latvia,1996,2014
Saint Vincent and the Grenadines,1995,2014
Saint Lucia,1995,2014
Lithuania,1995,2014
Georgia,1995,2014
Albania,1995,2014
Liberia,1995,2014
Djibouti,1995,2012
Tanzania,1994,2014
Palau,1994,2012
Azerbaijan,1993,2014
Burma,1993,2014
Morocco,1993,2014
Ghana,1993,2014
Algeria,1993,2014
Seychelles,1993,2012
Malawi,1992,2014
Angola,1992,2012
Antigua and Barbuda,1991,2014
Estonia,1991,2014
Tunisia,1991,2014
Namibia,1990,2012
Romania,1989,2014
Bulgaria,1989,2014
Laos,1989,2014
Cambodia,1989,2014
South Africa,1989,2014
Jamaica,1988,2014
Hungary,1988,2014
Poland,1988,2014
Burkina Faso,1988,2014
Kenya,1987,2014
Mauritius,1987,2014
Benin,1987,2014
Mauritania,1987,2014
Dominica,1986,2014
Mozambique,1986,2014
Guinea-Bissau,1986,2014
Marshall Islands,1986,2012
Federated States of Micronesia,1986,2012
Belize,1985,2014
Chile,1985,2014
Barbados,1984,2014
Turkey,1984,2014
Lesotho,1984,2014
Swaziland,1983,2014
Suriname,1982,2014
Tonga,1982,2014
Democratic Republic of the Congo,1982,2014
Central African Republic,1981,2014
Gabon,1981,2014
Cape Verde,1981,2012
Mali,1980,2014
Vanuatu,1980,2012
Peru,1979,2014
Nepal,1979,2014
Kiribati,1979,2012
Grenada,1978,2014
Togo,1978,2014
Solomon Islands,1978,2012
Tuvalu,1978,2012
France,1977,2014
Sri Lanka,1976,2014
Niger,1976,2014
Spain,1975,2014
Bolivia,1974,2014
Bhutan,1974,2014
El Salvador,1973,2014
Haiti,1972,2014
Greece,1972,2014
Australia,1967,2014
Senegal,1967,2014
Dominican Republic,1966,2014
Cyprus,1962,2014
Israel,1962,2014
New Zealand,1957,2014
Ireland,1954,2014
United Kingdom,1953,1997
Netherlands,1952,2014
Austria,1950,2014
Belgium,1950,2014
Denmark,1950,2014
Luxembourg,1949,2014
Norway,1948,2014
Italy,1947,2014
Germany,1945,1997
East Germany,1945,1997
Finland,1944,2014
Switzerland,1944,2014
Andorra,1943,2014
Malta,1942,1997
Honduras,1940,2014
Nicaragua,1930,2014
Paraguay,1928,2014
Argentina,1916,2014
Sweden,1910,2014
Colombia,1909,2014
Uruguay,1905,2014
Ecuador,1884,2014
Brazil,1876,2014
Holy See (Vatican City),1870,1997
Costa Rica,1859,2014
Monaco,1847,2014
Portugal,1846,2014
Liechtenstein,1785,2014
San Marino,1468,2014
Armenia,1991,2014
Bosnia and Herzegovina,1977,2014
Brunei,1957,2014
