country,countryLabel,leader,leaderLabel,age
http://www.wikidata.org/entity/Q756617,Kingdom of Denmark,http://www.wikidata.org/entity/Q5015,Mette Frederiksen,1977-11-19T00:00:00Z
http://www.wikidata.org/entity/Q884,South Korea,http://www.wikidata.org/entity/Q21001,Moon Jae-in,1953-01-24T00:00:00Z
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q52183,Sheikh Hasina,1947-09-28T00:00:00Z
http://www.wikidata.org/entity/Q958,South Sudan,http://www.wikidata.org/entity/Q57315,Salva Kiir Mayardit,1951-09-13T00:00:00Z
http://www.wikidata.org/entity/Q921,Brunei,http://www.wikidata.org/entity/Q57327,Hassanal Bolkiah,1946-07-15T00:00:00Z
http://www.wikidata.org/entity/Q986,Eritrea,http://www.wikidata.org/entity/Q57348,Isaias Afwerki,1946-02-02T00:00:00Z
http://www.wikidata.org/entity/Q811,Nicaragua,http://www.wikidata.org/entity/Q57402,Daniel Ortega,1945-11-11T00:00:00Z
http://www.wikidata.org/entity/Q1041,Senegal,http://www.wikidata.org/entity/Q57438,Macky Sall,1961-12-11T00:00:00Z
http://www.wikidata.org/entity/Q874,Turkmenistan,http://www.wikidata.org/entity/Q57530,Gurbanguly Berdimuhamedow,1957-06-29T00:00:00Z
http://www.wikidata.org/entity/Q878,United Arab Emirates,http://www.wikidata.org/entity/Q57655,Mohammed bin Rashid Al Maktoum,1949-07-12T00:00:00Z
http://www.wikidata.org/entity/Q878,United Arab Emirates,http://www.wikidata.org/entity/Q57655,Mohammed bin Rashid Al Maktoum,1949-07-15T00:00:00Z
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q57792,Mark Rutte,1967-02-14T00:00:00Z
http://www.wikidata.org/entity/Q843,Pakistan,http://www.wikidata.org/entity/Q155164,Imran Khan,1952-10-05T00:00:00Z
http://www.wikidata.org/entity/Q843,Pakistan,http://www.wikidata.org/entity/Q155164,Imran Khan,1952-11-25T00:00:00Z
http://www.wikidata.org/entity/Q1014,Liberia,http://www.wikidata.org/entity/Q173139,George Weah,1966-10-01T00:00:00Z
http://www.wikidata.org/entity/Q244165,Republic of Artsakh,http://www.wikidata.org/entity/Q360462,Bako Sahakyan,1960-08-30T00:00:00Z
http://www.wikidata.org/entity/Q1033,Nigeria,http://www.wikidata.org/entity/Q361567,Muhammadu Buhari,1942-12-17T00:00:00Z
http://www.wikidata.org/entity/Q851,Saudi Arabia,http://www.wikidata.org/entity/Q367825,Salman of Saudi Arabia,1935-12-31T00:00:00Z
http://www.wikidata.org/entity/Q928,Philippines,http://www.wikidata.org/entity/Q457786,Rodrigo Duterte,1945-03-28T00:00:00Z
http://www.wikidata.org/entity/Q954,Zimbabwe,http://www.wikidata.org/entity/Q510523,Emmerson Mnangagwa,1942-09-15T00:00:00Z
http://www.wikidata.org/entity/Q970,Comoros,http://www.wikidata.org/entity/Q515602,Azali Assoumani,1959-01-01T00:00:00Z
