Country,2010-2019
 Afghanistan,45.6
 Albania,76.7
 Algeria,52
 Angola,66.4
 Antigua and Barbuda,90.2
 Argentina,32.4
 Armenia,91.4
 Australia,45.7
 Austria,107.7
 Azerbaijan,86
 Bahamas,77.3
 Bahrain,151.4
 Bangladesh,36.8
 Barbados,83.7
 Belarus,133.3
 Belgium,163.3
 Belize,115.7
 Benin,63.7
 Bhutan,86.7
 Bolivia (Plurinational State of),56.4
 Bosnia and Herzegovina,95.9
 Botswana,74.1
 Brazil,29
 Brunei Darussalam,108.5
 Bulgaria,123.7
 Burkina Faso,60.2
 Burundi,41.9
 Cabo Verde,116.2
 Cambodia,123.6
 Cameroon,40.6
 Canada,65
 Central African Republic,66.1
 Chad,74.6
 Chile,56.8
 China,35.7
 Colombia,38.1
 Comoros,43.1
 Congo,112.3
 Congo (Democratic Republic of the),67.3
 Costa Rica,66.1
 Croatia,102.8
 Cuba,27.1
 Cyprus,142.6
 Czechia,144.9
 C・te d'Ivoire,45.6
 Denmark,105
 Djibouti,298.3
 Dominica,139.8
 Dominican Republic,53
 Ecuador,46.7
 Egypt,48.3
 El Salvador,77.2
 Equatorial Guinea,107.4
 Eritrea,47.4
 Estonia,141.2
 Eswatini (Kingdom of),84.4
 Ethiopia,28.7
 Finland,79.5
 France,64.5
 Gabon,72.9
 Gambia,65.5
 Georgia,116.9
 Germany,88.1
 Ghana,71.4
 Greece,74.4
 Grenada,110
 Guatemala,45.9
 Guinea,108.7
 Guinea-Bissau,57
 Guyana,79.1
 Haiti,74.3
 Honduras,96.6
" Hong Kong, China (SAR)",352.8
 Hungary,163
 Iceland,85.9
 India,40
 Indonesia,37.3
 Iran (Islamic Republic of),48.8
 Iraq,76.4
 Ireland,239.2
 Israel,58.5
 Italy,60.1
 Jamaica,89
 Japan,36.8
 Jordan,87.6
 Kazakhstan,64.4
 Kenya,33.4
 Kiribati,98.4
 Korea (Republic of),76.7
 Kuwait,100.5
 Kyrgyzstan,103.1
 Lao People's Democratic Republic,75.1
 Latvia,119.7
 Lebanon,63.6
 Lesotho,134.6
 Liberia,127.5
 Libya,118.3
 Lithuania,150.6
 Luxembourg,381.5
 Madagascar,59.8
 Malawi,66.6
 Malaysia,123.1
 Maldives,135.7
 Mali,57.2
 Malta,261
 Marshall Islands,125.7
 Mauritania,94.2
 Mauritius,92.8
 Mexico,78.2
 Micronesia (Federated States of),100.9
 Moldova (Republic of),85.8
 Mongolia,125.8
 Montenegro,109.5
 Morocco,87.5
 Mozambique,112.2
 Myanmar,60.7
 Namibia,83.5
 Nauru,99.2
 Nepal,54.9
 Netherlands,154.3
 New Zealand,55.9
 Nicaragua,95.1
 Niger,39.7
 Nigeria,33
 North Macedonia,137.3
 Norway,72.1
 Oman,100.7
 Pakistan,30.4
 Palau,123.3
" Palestine, State of",79.6
 Panama,89.4
 Papua New Guinea,..
 Paraguay,69.2
 Peru,47.1
 Philippines,68.6
 Poland,106.2
 Portugal,87.6
 Qatar,86.5
 Romania,84.6
 Russian Federation,49.1
 Rwanda,53.7
 Saint Kitts and Nevis,122.7
 Saint Vincent and the Grenadines,85.2
 Samoa,91.1
 San Marino,268.8
 Saudi Arabia,62.2
 Senegal,60.5
 Serbia,112.6
 Seychelles,155.2
 Sierra Leone,56.7
 Singapore,319.1
 Slovakia,185.3
 Slovenia,159.7
 Solomon Islands,98.4
 Somalia,..
 South Africa,59.2
 South Sudan,65.6
 Spain,66.9
 Sri Lanka,52.4
 Sudan,26.7
 Suriname,91
 Sweden,90.5
 Switzerland,119.4
 Syrian Arab Republic,..
 Tajikistan,56.6
 Tanzania (United Republic of),32.2
 Thailand,110.3
 Timor-Leste,63
 Togo,71.2
 Tonga,98.2
 Tunisia,110.5
 Turkey,61.4
 Turkmenistan,35.2
 Uganda,46
 Ukraine,90.2
 United Arab Emirates,160.9
 United Kingdom,64.3
 United States,26.4
 Uruguay,41
 Uzbekistan,73
 Vanuatu,97.9
 Venezuela (Bolivarian Republic of),48.1
 Viet Nam,210.4
 Zambia,70
 Zimbabwe,50
 Andorra,..
 Fiji,..
 Saint Lucia,..
 Liechtenstein,..
 Sao Tome and Principe,..
 Trinidad and Tobago,..
 Yemen,..
Human Development,..
Very high human development,60.8
High human development,44.8
Medium human development,46.1
Low human development,44.2
Developing Countries,52.4
Regions,..
Arab States,86
East Asia and the Pacific,49.7
Europe and Central Asia,73.1
Latin America and the Caribbean,48.5
South Asia,40.6
Sub-Saharan Africa,51.2
Least Developed Countries,53.5
Small Island Developing States,203.1
Organization for Economic Co-operation and Development,55.8
World,55.6
