country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,87,Ashraf Ghani,http://www.wikidata.org/entity/Q172388,wd:Q172388,404323,President of Afghanistan from 2014 to 2021 (born 1949)
Afghanistan,78,Jami,http://www.wikidata.org/entity/Q312458,wd:Q312458,420409,Persian poet (1414–1492)
Afghanistan,59,Burhanuddin Rabbani,http://www.wikidata.org/entity/Q188667,wd:Q188667,4611,"Afghanistan politician, former President of Afghanistan (1992-2001)"
Afghanistan,54,Jamal al-Din al-Afghani,http://www.wikidata.org/entity/Q298434,wd:Q298434,946750,Political activist and Islamic ideologist
Afghanistan,42,Vasubandhu,http://www.wikidata.org/entity/Q316343,wd:Q316343,304972,4th/5th century Indian Buddhist monk
Afghanistan,34,Abu Ma'shar al-Balkhi,http://www.wikidata.org/entity/Q11373,wd:Q11373,1253603,Persian astrologer and philosopher
Afghanistan,33,Khwaja Abdullah Ansari,http://www.wikidata.org/entity/Q558205,wd:Q558205,3589304,11th-century Sufi scholar and saint
Afghanistan,29,Sanai,http://www.wikidata.org/entity/Q1148049,wd:Q1148049,1833568,Persian poet
Afghanistan,27,Abu Saʿīd Gardēzī,http://www.wikidata.org/entity/Q563574,wd:Q563574,1909734,Iranian historian
Afghanistan,24,Abd al-Razzaq Samarqandi,http://www.wikidata.org/entity/Q2511004,wd:Q2511004,7550317,"Persian Timurid islamic scholar, diplomat and historian"
Afghanistan,22,Ali Hujwiri,http://www.wikidata.org/entity/Q2733487,wd:Q2733487,980538,Sufi mystic
Afghanistan,21,Minhaj-i-Siraj,http://www.wikidata.org/entity/Q657968,wd:Q657968,15146819,Persian historian
Afghanistan,21,Ibrahim ibn Adham,http://www.wikidata.org/entity/Q2665215,wd:Q2665215,6399688,ascetic Sufi saint
Afghanistan,20,Al-Shahrastani,http://www.wikidata.org/entity/Q1050887,wd:Q1050887,7790479,Persian historian of religions and Islamic scholar (1086–1153)
Afghanistan,18,Ibn Hibban,http://www.wikidata.org/entity/Q4794354,wd:Q4794354,39118922,Hadith compiler
Afghanistan,18,Mahmud Tarzi,http://www.wikidata.org/entity/Q153640,wd:Q153640,47940257,"Afghan politician, secular activist and journalist (1865–1933)"
Afghanistan,18,Lokaksema,http://www.wikidata.org/entity/Q370115,wd:Q370115,1027234,2nd century Indian Buddhist monk
Afghanistan,17,Gulbadan Begum,http://www.wikidata.org/entity/Q2041521,wd:Q2041521,7020107,Mughal princess
Afghanistan,16,Lal Shahbaz Qalandar,http://www.wikidata.org/entity/Q738225,wd:Q738225,5272276,"Sufi saint, philosopher and poet"
Afghanistan,15,Muhammad Khwandamir,http://www.wikidata.org/entity/Q2977486,wd:Q2977486,8241961,historian
Afghanistan,15,Mīr-Khvānd,http://www.wikidata.org/entity/Q1377629,wd:Q1377629,3014447,Iranian historian
Afghanistan,15,Abdul Salam Hanafi,http://www.wikidata.org/entity/Q107919266,wd:Q107919266,68405288,Taliban senior leader
Afghanistan,14,Ibrahim an-Nazzam,http://www.wikidata.org/entity/Q287501,wd:Q287501,12168123,Mu'tazilite theologian and poet
Afghanistan,12,Ali al-Qari,http://www.wikidata.org/entity/Q2836379,wd:Q2836379,7778274,Afghan Islamic philosopher and scholar (died 1605/06)
Afghanistan,12,Shaqiq al-Balkhi,http://www.wikidata.org/entity/Q3481470,wd:Q3481470,33676130,Sufi saint
Afghanistan,11,Faiz Muhammad Katib,http://www.wikidata.org/entity/Q3064681,wd:Q3064681,4259065,Historian and writer
Afghanistan,11,Abu Ubaid al-Qasim bin Salam,http://www.wikidata.org/entity/Q12178105,wd:Q12178105,59606629,Arab philologist
Afghanistan,11,Abdul Hakim Ishaqzai,http://www.wikidata.org/entity/Q108122545,wd:Q108122545,68494641,Afghan Taliban leader and former Chief Justice
Afghanistan,11,Gul Pacha Ulfat,http://www.wikidata.org/entity/Q3371568,wd:Q3371568,24009818,Afghan poet
Afghanistan,10,Abu 'Ubayd al-Juzjani,http://www.wikidata.org/entity/Q287710,wd:Q287710,2232040,Persian physician and chronicler from Guzgan
Afghanistan,10,Rashid al-Din Vatvat,http://www.wikidata.org/entity/Q1113860,wd:Q1113860,3620139,Persian poet
Afghanistan,10,Amr ibn Ubayd,http://www.wikidata.org/entity/Q1048593,wd:Q1048593,5120471,Islamic scholar
Afghanistan,9,Rahnaward Zaryab,http://www.wikidata.org/entity/Q6557470,wd:Q6557470,46450292,"Afghan novelist, short story writer, journalist, and literary critic/scholar (1944-2020)"
Afghanistan,9,Abu'l-Ma'ali Nasrallah,http://www.wikidata.org/entity/Q17001268,wd:Q17001268,42856077,Ghaznavid Vizier
Afghanistan,8,Akram Assem,http://www.wikidata.org/entity/Q420738,wd:Q420738,2010516,Afghan historian
Afghanistan,8,Baha ud-Din Walad,http://www.wikidata.org/entity/Q402807,wd:Q402807,,
Afghanistan,8,Ibrahim Sadr,http://www.wikidata.org/entity/Q108301306,wd:Q108301306,68567720,interior minister of Afghanistan
Afghanistan,8,Muqātil ibn Sulaymān,http://www.wikidata.org/entity/Q14095767,wd:Q14095767,9825221,Sunni Mufassir (Qur'ānic Exegete)
Afghanistan,8,Louis Jacques Bresnier,http://www.wikidata.org/entity/Q1321064,wd:Q1321064,51752961,French orientalist
Afghanistan,8,Buddhabhadra,http://www.wikidata.org/entity/Q583411,wd:Q583411,14672367,Indian Buddhist monk
Afghanistan,8,Jnanagupta,http://www.wikidata.org/entity/Q1565766,wd:Q1565766,543200,Indian translator
Afghanistan,7,Abdul Shakoor Rashad,http://www.wikidata.org/entity/Q3371565,wd:Q3371565,23999531,"Historian, writer, poet, Professor, researcher"
Afghanistan,7,Mujawar Ahmad Ziar,http://www.wikidata.org/entity/Q6933323,wd:Q6933323,24818627,Linguist and historian
Afghanistan,7,Tamim Ansary,http://www.wikidata.org/entity/Q914869,wd:Q914869,5740042,Afghan-American author/public speaker
Afghanistan,7,Muhammad Asif Mohseni,http://www.wikidata.org/entity/Q6932417,wd:Q6932417,1886674,Afghan grand ayatollah
Afghanistan,7,Hatem al-Assam,http://www.wikidata.org/entity/Q12206747,wd:Q12206747,,
Afghanistan,7,Ya'qub al-Jarkhi,http://www.wikidata.org/entity/Q16723182,wd:Q16723182,65301755,Sufism
Afghanistan,7,Fatana Najib,http://www.wikidata.org/entity/Q10843514,wd:Q10843514,61684530,Afghan linguist
Afghanistan,6,Habib Mangal,http://www.wikidata.org/entity/Q1566849,wd:Q1566849,27664378,Afghanistan Diplomat
Afghanistan,6,Zemaryalai Tarzi,http://www.wikidata.org/entity/Q3489649,wd:Q3489649,8942887,Afghan archaeologist
Afghanistan,6,Al-Akhfasy Al-Ausath,http://www.wikidata.org/entity/Q12183327,wd:Q12183327,,
Afghanistan,6,Din Mohammad Hanif,http://www.wikidata.org/entity/Q108130732,wd:Q108130732,68502667,Afghan Taliban leader and politician
Afghanistan,6,Naeem Wardak,http://www.wikidata.org/entity/Q107535373,wd:Q107535373,68240543,Taliban spokesperson
Afghanistan,6,Abdul Manan Omari,http://www.wikidata.org/entity/Q108067769,wd:Q108067769,68467072,Afghan minister senior leader of the Taliban
Afghanistan,5,Ajmal Ahmady,http://www.wikidata.org/entity/Q105641732,wd:Q105641732,66799419,Afghan diplomat and politician
Afghanistan,4,Ahmad Naser Sarmast,http://www.wikidata.org/entity/Q22280314,wd:Q22280314,48533335,Afghan-Australian ethnomusicologist
Afghanistan,3,Bernard van Praag,http://www.wikidata.org/entity/Q822826,wd:Q822826,30200213,Dutch economist
Afghanistan,3,Farhad Bitani,http://www.wikidata.org/entity/Q20743331,wd:Q20743331,47469477,Afghan educator
Afghanistan,3,Waheed Muzhda,http://www.wikidata.org/entity/Q16733080,wd:Q16733080,35538297,Afghan political analyst
Afghanistan,1,Abdul Ghanie Ghaussy,http://www.wikidata.org/entity/Q66490716,wd:Q66490716,,
Albania,47,Naim Frashëri,http://www.wikidata.org/entity/Q47007,wd:Q47007,327509,"Albanian poet, writer and activist (1846–1900)"
Albania,41,Fatos Nano,http://www.wikidata.org/entity/Q311596,wd:Q311596,393701,Albanian politician
Albania,35,Fan S. Noli,http://www.wikidata.org/entity/Q366307,wd:Q366307,230281,Albanian politician (1882-1965)
Albania,32,Sami Frashëri,http://www.wikidata.org/entity/Q331896,wd:Q331896,7683956,"Albanian writer, philosopher, playwright and activist (1850–1904)"
Albania,30,Bashkim Fino,http://www.wikidata.org/entity/Q809978,wd:Q809978,3029444,Albanian politician
Albania,27,Marinus Barletius,http://www.wikidata.org/entity/Q464230,wd:Q464230,331267,"Catholic priest, Venetian humanist and historian,"
Albania,26,Muhammad Nasiruddin al-Albani,http://www.wikidata.org/entity/Q560078,wd:Q560078,2983366,Syrian-Albanian Islamic scholar (1914-1999)
Albania,26,Gjergj Fishta,http://www.wikidata.org/entity/Q115455,wd:Q115455,4110263,Albanian writer (1871-1940)
Albania,22,Frang Bardhi,http://www.wikidata.org/entity/Q443861,wd:Q443861,2494652,Roman Catholic bishop
Albania,22,Omer Nishani,http://www.wikidata.org/entity/Q560630,wd:Q560630,4630452,Albanian politician (1887-1954)
Albania,22,Arta Dade,http://www.wikidata.org/entity/Q539957,wd:Q539957,31573444,Albanian politician
