painter,painterLabel,country,countryLabel,sitelinks
http://www.wikidata.org/entity/Q7176,Najib Mahfouz,http://www.wikidata.org/entity/Q79,Egypt,147
http://www.wikidata.org/entity/Q81731,Murasaki Shikibu,http://www.wikidata.org/entity/Q17,Japan,145
http://www.wikidata.org/entity/Q81731,Murasaki Shikibu,http://www.wikidata.org/entity/Q17,Japan,145
http://www.wikidata.org/entity/Q34474,Aleksandr Solzhenitsyn,http://www.wikidata.org/entity/Q159,Russia,142
http://www.wikidata.org/entity/Q241248,Orhan Pamuk,http://www.wikidata.org/entity/Q43,Turkey,129
http://www.wikidata.org/entity/Q241248,Orhan Pamuk,http://www.wikidata.org/entity/Q43,Turkey,129
http://www.wikidata.org/entity/Q241248,Orhan Pamuk,http://www.wikidata.org/entity/Q43,Turkey,129
http://www.wikidata.org/entity/Q47087,Arthur C. Clarke,http://www.wikidata.org/entity/Q854,Sri Lanka,116
http://www.wikidata.org/entity/Q47087,Arthur C. Clarke,http://www.wikidata.org/entity/Q854,Sri Lanka,116
http://www.wikidata.org/entity/Q43736,Yasunari Kawabata,http://www.wikidata.org/entity/Q17,Japan,114
http://www.wikidata.org/entity/Q43736,Yasunari Kawabata,http://www.wikidata.org/entity/Q17,Japan,114
http://www.wikidata.org/entity/Q134798,Haruki Murakami,http://www.wikidata.org/entity/Q17,Japan,113
http://www.wikidata.org/entity/Q134798,Haruki Murakami,http://www.wikidata.org/entity/Q17,Japan,113
http://www.wikidata.org/entity/Q44306,Salman Rushdie,http://www.wikidata.org/entity/Q668,India,111
http://www.wikidata.org/entity/Q8998,Mo Yan,http://www.wikidata.org/entity/Q148,People's Republic of China,102
http://www.wikidata.org/entity/Q8998,Mo Yan,http://www.wikidata.org/entity/Q148,People's Republic of China,102
http://www.wikidata.org/entity/Q8998,Mo Yan,http://www.wikidata.org/entity/Q148,People's Republic of China,102
http://www.wikidata.org/entity/Q8998,Mo Yan,http://www.wikidata.org/entity/Q148,People's Republic of China,102
http://www.wikidata.org/entity/Q18143,Gao Xingjian,http://www.wikidata.org/entity/Q148,People's Republic of China,102
http://www.wikidata.org/entity/Q18143,Gao Xingjian,http://www.wikidata.org/entity/Q148,People's Republic of China,102
http://www.wikidata.org/entity/Q18143,Gao Xingjian,http://www.wikidata.org/entity/Q148,People's Republic of China,102
http://www.wikidata.org/entity/Q18143,Gao Xingjian,http://www.wikidata.org/entity/Q148,People's Republic of China,102
http://www.wikidata.org/entity/Q134456,Yukio Mishima,http://www.wikidata.org/entity/Q17,Japan,101
http://www.wikidata.org/entity/Q134456,Yukio Mishima,http://www.wikidata.org/entity/Q17,Japan,101
http://www.wikidata.org/entity/Q272855,Kazuo Ishiguro,http://www.wikidata.org/entity/Q17,Japan,101
http://www.wikidata.org/entity/Q272855,Kazuo Ishiguro,http://www.wikidata.org/entity/Q17,Japan,101
http://www.wikidata.org/entity/Q18391,Elie Wiesel,http://www.wikidata.org/entity/Q801,Israel,99
http://www.wikidata.org/entity/Q80095,Kenzaburō Ōe,http://www.wikidata.org/entity/Q17,Japan,90
http://www.wikidata.org/entity/Q80095,Kenzaburō Ōe,http://www.wikidata.org/entity/Q17,Japan,90
http://www.wikidata.org/entity/Q484292,Chinghiz Aitmatov,http://www.wikidata.org/entity/Q813,Kyrgyzstan,88
