0,1,2,3,4,5,6,7,8
Afghanistan,49,Fall of Kabul,http://www.wikidata.org/entity/Q108102583,wd:Q108102583,68481047.0,Taliban capture of the capital of Afghanistan,"On 15 August 2021, Afghanistan's capital city of Kabul was captured by the Taliban after a major insurgent offensive that began in May 2021. It was the final action of the War in Afghanistan, and marked a total victory for the Taliban. This led to the overthrowing of the Islamic Republic of Afghanistan under President Ashraf Ghani and the reinstatement of the Islamic Emirate of Afghanistan under the control of the Taliban.
The US–Taliban deal, signed on 29 February 2020, is considered one of the most critical factors that caused the collapse of the Afghan National Security Forces (ANSF). Following the deal, the US dramatically reduced the number of air attacks and deprived the ANSF of a critical edge in fighting the Taliban insurgency.Months before the fall, many in the United States Intelligence Community estimated that Kabul would be taken at least six months after the withdrawal of US troops from Afghanistan was completed. However, beginning in May 2021, even while the withdrawal was occurring, the Taliban was able to take most of Afghanistan's provinces in rapid succession during a major offensive. During this period, estimates for the longevity of the Afghan state declined significantly. Ultimately, US President Joe Biden conceded on 16 August that the collapse ""unfold[ed] more quickly than [they] had anticipated"".Between 14 August and 31 August 2021, the US and its coalition partners evacuated more than 123,000 people from Afghanistan via airlifts from Kabul's Hamid Karzai International Airport. During the evacuation, the airport remained under NATO and US military control despite the collapse of the central government. Evacuees included foreign diplomatic staff and military personnel, third-country civilians, Afghan allies and vulnerable Afghans such as journalists and human rights activists. The airlift was the largest non-combatant evacuation operation in US military history, with US military personnel transferring 79,000 civilians through the airport and out of Afghanistan over the 18-day mission.After the United States' withdrawal on 31 August, a group of about 1,000 people, including US citizens and Afghans holding American visas, were still stranded in Kabul. Two weeks later, secretary of state Antony Blinken, said it was several thousand US residents and one hundred US citizens.",https://en.wikipedia.org/wiki/Fall_of_Kabul_(2021)
Albania,65,Battle of Actium,http://www.wikidata.org/entity/Q160387,wd:Q160387,5008.0,decisive confrontation of the Final War of the Roman Republic,"The Battle of Actium was a naval battle fought between a maritime fleet of Octavian led by Marcus Agrippa and the combined fleets of both Mark Antony and Cleopatra VII Philopator. The battle took place on 2 September 31 BC in the Ionian Sea, near the former Roman colony of Actium, Greece, and was the climax of over a decade of rivalry between Octavian and Antony. 
In early 31 BC, the year of the battle, Antony and Cleopatra were temporarily stationed in Greece. Mark Antony possessed 500 ships and 70,000 infantry, and made his camp at Actium, and Octavian, with 400 ships and 80,000 infantry, arrived from the north and occupied Patrae and Corinth, where he managed to cut Antony’s southward communications with Egypt (via the Peloponnese) with help from Marcus Agrippa. Octavian previously gained a preliminary victory in Greece, where his navy successfully ferried troops across the Adriatic Sea under the command of Marcus Agrippa. Octavian landed on mainland Greece, opposite of the island of Corcyra (modern Corfu) and proceeded south, on land. 
Trapped on both land and sea, portions of Antony's army deserted and fled to Octavian's side (daily), and Octavian's forces became comfortable enough to make preparations for battle. Antony's fleet sailed through the bay of Actium on the western coast of Greece, in a desperate attempt to break free of the naval blockade. It was there that Antony's fleet faced the much larger fleet of smaller, more manoeuvrable ships under commanders Gaius Sosius and Agrippa. Antony and his remaining forces were spared only due to a last-ditch effort by Cleopatra's fleet that had been waiting nearby. Octavian pursued them and defeated their forces in Alexandria on 1 August 30 BC—after which Antony and Cleopatra committed suicide. 
Octavian's victory enabled him to consolidate his power over Rome and its dominions. He adopted the title of Princeps (""first citizen""), and in 27 BC was awarded the title of Augustus (""revered"") by the Roman Senate. This became the name by which he was known in later times. As Augustus, he retained the trappings of a restored Republican leader, but historians generally view his consolidation of power and the adoption of these honorifics as the end of the Roman Republic and the beginning of the Roman Empire.",https://en.wikipedia.org/wiki/Battle_of_Actium
Algeria,30,Attack on Mers-El-Kebir,http://www.wikidata.org/entity/Q503347,wd:Q503347,632450.0,battle,"The attack on Mers-el-Kébir (Battle of Mers-el-Kébir) on 3 July 1940, during the Second World War, was a British naval attack on French Navy ships at the naval base at Mers El Kébir, near Oran, on the coast of French Algeria. The attack was the main part of Operation Catapult, a British plan to neutralise or destroy French ships to prevent them from falling into German hands after the Allied defeat in the Battle of France. The British bombardment of the base killed 1,297 French servicemen, sank a battleship and damaged five other ships, for a British loss of five aircraft shot down and two crewmen killed.The attack by air and sea was conducted by the Royal Navy, after France had signed armistices with Germany and Italy, coming into effect on 25 June. Of particular significance to the British were the five battleships of the Bretagne and Richelieu classes and the two fast battleships of the Dunkerque class, the second largest force of capital ships in Europe after the Royal Navy. The British War Cabinet feared that the ships would fall into Axis hands. Admiral François Darlan, commander of the French Navy, assured the British, even after the French armistices with Germany and Italy, that the fleet would remain under French control, but Winston Churchill and the War Cabinet judged that the risk was too great. Darlan repeatedly refused British requests to place the fleet in British custody or move it to the French West Indies, out of German reach.
The British attack was condemned in France as an attack on an allied nation and resentment festered for years over what was considered betrayal by a former ally. The French thought that their assurances were honourable and should have been sufficient. Marshal Philippe Pétain, who was appointed the Prime Minister of France on 16 June, severed diplomatic relations with the United Kingdom on 8 July. 
French aircraft retaliated by bombing Gibraltar and French ships exchanged fire several times with British ships, before a tacit truce was observed in the western Mediterranean. On 27 November 1942, after the beginning of Operation Torch, the Allied invasion of French North Africa, the French Navy foiled Case Anton, a German and Italian operation to capture its ships at Toulon, by scuttling them. In 1997, Martin Thomas wrote that the British attack at Mers-el Kébir remains controversial but that other historians have written that it demonstrated to the world that Britain would fight on.",https://en.wikipedia.org/wiki/Attack_on_Mers-el-K%C3%A9bir
Andorra,41,Battle of Guadalete,http://www.wikidata.org/entity/Q504172,wd:Q504172,163031.0,battle between the Visigothic Kingdom and the Umayyad Caliphate; decisive Umayyad victory leads to the fall of the Visigothic Kingdom and the Umayyad conquest of the peninsula,"The Battle of Guadalete was the first major battle of the Umayyad conquest of Hispania, fought in 711 at an unidentified location in what is now southern Spain between the Christian Visigoths under their king, Roderic, and the invading forces of the Muslim Umayyad Caliphate, composed mainly of Berbers and some Arabs under the commander Ṭāriq ibn Ziyad. The battle was significant as the culmination of a series of Berber attacks and the beginning of the Umayyad conquest of Hispania. Roderic was killed in the battle, along with many members of the Visigothic nobility, opening the way for the capture of the Visigothic capital of Toledo.",https://en.wikipedia.org/wiki/Battle_of_Guadalete
Angola,8,Battle of Quifangondo,http://www.wikidata.org/entity/Q2888925,wd:Q2888925,15011322.0,battle of the angolan civil war,"The Battle of Quifangondo (popularly known in Angola as Nshila wa Lufu, or Battle of Death Road) was fought on 10 November 1975, near the strategic settlement of Quifangondo, Luanda Province, between the People's Armed Forces of Liberation of Angola (FAPLA), armed wing of the People's Movement for the Liberation of Angola (MPLA), and the National Liberation Army of Angola (ELNA), armed wing of the National Liberation Front of Angola (FNLA). The engagement was notable for marking the first major deployment of rocket artillery in the Angolan Civil War, as well as the last serious attempt by ELNA forces to seize Luanda, the Angolan capital. It occurred on the last day of Portuguese colonial rule in the country, which formally received independence only hours after the fighting.
After defeating a FAPLA garrison at the nearby town of Caxito, an army of ELNA militants led personally by Holden Roberto began advancing southwards towards Luanda. Roberto's forces included a composite battery of three BL 5.5-inch Medium Guns and two 130 mm Type 59 field guns manned by Zairean and South African artillery crews. Their objective was to dislodge FAPLA from the vital waterworks at Quifangondo and an adjoining bridge which spanned the Bengo River. Air cover for the ELNA offensive was provided by a squadron of South African English Electric Canberra bombers. The defenders consisted of FAPLA's 9th Brigade and just under a hundred Cuban military advisers, bolstered by a composite battery of ZiS-3 anti-tank guns and Grad rocket launchers.
Following a poorly coordinated artillery bombardment and an ineffectual South African air strike, ELNA light and motorised infantry attacked the bridge early on the morning on 10 November, but became trapped in the open while crossing an elevated roadway and shelled by the defenders' rockets. The ELNA advance stalled, and the attackers were unable to regain their initiative. Roberto committed his reserves, but by noon his entire force had been routed with heavy casualties and nearly all their vehicles destroyed. The ELNA forces broke into a disorderly retreat and could only be re-mustered that evening. Realising the battle was lost, the South African and Zairean troops withdrew to the nearby port of Ambriz and were later evacuated by their respective governments.
While the battle was taking place, Portugal renounced its claims to Angolan sovereignty and withdrew the remainder of its colonial administrative and military personnel from Luanda. On the morning of 11 November, the MPLA proclaimed the People's Republic of Angola, which was immediately recognised by Cuba, the Soviet Union, Brazil, and several sympathetic African states. ELNA had suffered such a catastrophic defeat at Quifangondo that Roberto was unable to launch another major offensive; over the next two months his forces were gradually scattered and destroyed by FAPLA and its Cuban allies.",https://en.wikipedia.org/wiki/Battle_of_Quifangondo
Antigua and Barbuda,1,Battle of Brackett's Wood,http://www.wikidata.org/entity/Q106412661,wd:Q106412661,67204702.0,"1689 battle between Native Americans, and English colonials, outside the town of Falmouth (present day Portland, Maine, USA)","The Battle of Brackett's Wood was fought on September 21, 1689 between the Native Americans, who had allied with the French, and English colonials, outside the town of Falmouth (present day Portland, Maine). It was part of King William's War.When 700 French-allied warriors were spotted at what is now Peaks Island the local settlers feared raiding would soon follow. Urgent pleas for assistance were carried to the colonial authorities in Boston, Massachusetts —Maine was in those times considered to be within the boundaries of Massachusetts. 160 men, including some native fighters allied with the Massachusetts Bay Colony (later renamed the Province of Massachusetts), were sent to protect the small 25 family settlement, commanded by Benjamin Church (he is considered the forebear of the modern day United States Army Rangers).Church learned from a ""redeemed woman"" that the French-Allied Indians were planning an attack on the settlement. She was being held as a captive aboard a small Dutch merchant ship along the coast of Maine.Today Brackett's wood is known as Deering Oaks. In those times it was part of a farm owned by the commander of the local garrison.",https://en.wikipedia.org/wiki/Battle_of_Brackett%27s_Wood
Argentina,38,Battle of the Falkland Islands,http://www.wikidata.org/entity/Q160011,wd:Q160011,191388.0,naval battle of World War I,"The Battle of the Falkland Islands was a First World War naval action between the British Royal Navy and Imperial German Navy on 8 December 1914 in the South Atlantic. The British, after their defeat at the Battle of Coronel on 1 November, sent a large force to track down and destroy the German cruiser squadron. The battle is commemorated every year on 8 December in the Falkland Islands as a public holiday.
Admiral Graf Maximilian von Spee commanding the German squadron of two armoured cruisers, SMS Scharnhorst and Gneisenau, the light cruisers SMS Nürnberg, Dresden and Leipzig, and the colliers SS Baden, SS Santa Isabel, and SS Seydlitz attempted to raid the British supply base at Stanley in the Falkland Islands. The British squadron consisting of the battlecruisers HMS Invincible and Inflexible, the armoured cruisers HMS Carnarvon, Cornwall and Kent, the armed merchant cruiser HMS Macedonia and the light cruisers HMS Bristol and Glasgow had arrived in the port the day before.
Visibility was at its maximum, the sea was placid with a gentle breeze, and the day was bright and sunny. The vanguard cruisers of the German squadron were detected early. By nine o'clock that morning, the British battlecruisers and cruisers were in hot pursuit of the German vessels. All except Dresden and Seydlitz were hunted down and sunk.",https://en.wikipedia.org/wiki/Battle_of_the_Falkland_Islands
Armenia,31,Battle of Sardarabad,http://www.wikidata.org/entity/Q762732,wd:Q762732,1828183.0,1918 Armenian battle,"The Battle of Sardarabad (Armenian: Սարդարապատի ճակատամարտ, romanized: Sardarapati chakatamart; Turkish: Serdarabad Muharebesi) was a battle of the Caucasus campaign of World War I that took place near Sardarabad, Armenia, from 21 to 29 May 1918, between the regular Armenian military units and militia on one side and the Ottoman army that had invaded Eastern Armenia on the other. As Sardarabad is approximately 40 kilometres (25 mi) west of the capital of Yerevan, the battle not only halted the Ottoman advance into the rest of Armenia, but also prevented the complete destruction of the Armenian nation. In the words of Christopher J. Walker, had the Armenians lost this battle, ""it is perfectly possible that the word Armenia would have henceforth denoted only an antique geographical term"".

",https://en.wikipedia.org/wiki/Battle_of_Sardarabad
Australia,48,Battle of the Coral Sea,http://www.wikidata.org/entity/Q207165,wd:Q207165,61992.0,major naval battle in the Pacific Theater of World War II,"The Battle of the Coral Sea, from 4 to 8 May 1942, was a major naval battle between the Imperial Japanese Navy (IJN) and naval and air forces of the United States and Australia. Taking place in the Pacific Theatre of World War II, the battle is historically significant as the first naval action in which the opposing fleets neither sighted nor fired upon one another, attacking over the horizon with aircraft carriers instead.
To strengthen their defensive position in the South Pacific, the Japanese decided to invade and occupy Port Moresby (in New Guinea) and Tulagi (in the southeastern Solomon Islands). The plan, Operation Mo, involved several major units of Japan's Combined Fleet. Two fleet carriers and a light carrier were assigned to provide air cover for the invasion forces, under the overall command of Admiral Shigeyoshi Inoue. The U.S. learned of the Japanese plan through signals intelligence and sent two U.S. Navy carrier task forces and a joint Australian-American cruiser force to oppose the offensive, under the overall command of U.S. Admiral Frank J. Fletcher.
On 3–4 May, Japanese forces successfully invaded and occupied Tulagi, although several supporting warships were sunk or damaged in a surprise attack by the U.S. carrier Yorktown. Alerted to the presence of enemy aircraft carriers, the Japanese fleet carriers advanced towards the Coral Sea to locate and destroy the Allied naval forces. On the evening of 6 May, the two carrier fleets closed to within 70 nmi (81 mi; 130 km) but did not detect each other in the darkness. The next day, both fleets launched airstrikes against what they thought was the enemy fleet carriers, but both sides actually attacked other targets. The U.S. sank the Japanese light carrier Shōhō, and the Japanese sank a U.S. destroyer and damaged the fleet oiler Neosho. On 8 May, both sides finally located and attacked the other's fleet carriers, with the Japanese fleet carrier Shōkaku damaged, the U.S. fleet carrier Lexington critically damaged and later scuttled, and the fleet carrier Yorktown lightly damaged.
Both sides having suffered heavy aircraft losses and carriers sunk or damaged, the two forces disengaged and retired from the area. Because of the loss of carrier air cover, Inoue also recalled the Port Moresby invasion fleet. Although the battle was a tactical victory for the Japanese in terms of ships sunk, it has been described as a strategic victory for the Allies. The battle marked the first time since the start of the war that a major Japanese advance had been turned back. More importantly, the damage to Shōkaku and the aircraft losses of Zuikaku prevented both ships from participating in the Battle of Midway the following month.",https://en.wikipedia.org/wiki/Battle_of_the_Coral_Sea
Austria,63,Battle of Vienna,http://www.wikidata.org/entity/Q200855,wd:Q200855,84274.0,"battle near Vienna on 12 September 1683, between the Christian European states and the Ottomans, won by Christians commanded by polish king John III Sobieski","The Battle of Vienna took place at Kahlenberg Mountain near Vienna on 12 September 1683 after the imperial city had been besieged by the Ottoman Empire for two months. The battle was fought by the Holy Roman Empire (led by the Habsburg monarchy and the Polish–Lithuanian Commonwealth, both under the command of King John III Sobieski) against the Ottomans and their vassal and tributary states. The battle marked the first time the Commonwealth and the Holy Roman Empire had cooperated militarily against the Ottomans, and it is often seen as a turning point in history, after which ""the Ottoman Turks ceased to be a menace to the Christian world"". In the ensuing war that lasted until 1699, the Ottomans lost almost all of Hungary to the Holy Roman Emperor Leopold I.The battle was won by the combined forces of the Holy Roman Empire and the Polish–Lithuanian Commonwealth, the latter represented only by the forces of the Crown of the Kingdom of Poland (the march of the Lithuanian army was delayed, and they reached Vienna after it had been relieved). The Viennese garrison was led by Feldzeugmeister of the Imperial Army (Holy Roman Empire) Ernst Rüdiger Graf von Starhemberg, an Austrian subject of Holy Roman Emperor Leopold I. The overall command was held by the senior leader, the king of Poland, John III Sobieski, who led the relief forces.
The opposing military forces were those of the Ottoman Empire and its vassal states, commanded by Grand Vizier Merzifonlu Kara Mustafa Pasha. The Ottoman army numbered approximately 90,000 to 300,000 men (according to documents on the order of battle found in Kara Mustafa's tent, initial strength at the start of the campaign was 170,000 men). They began the siege on 14 July 1683. Ottoman forces consisted, among other units, of 60 ortas of Janissaries (12,000 men paper-strength) with an observation army of some 70,000 men watching the countryside. The decisive battle took place on 12 September, after the arrival of the united relief army.
Historians maintain that the battle marked the turning point in the Ottoman–Habsburg wars, a 300-year struggle between the Holy Roman and Ottoman Empires. During the 16 years following the battle, the Austrian Habsburgs gradually recovered and dominated southern Hungary and Transylvania, which was largely cleared of Ottoman forces. The battle is noted for including the largest known cavalry charge in history.

",https://en.wikipedia.org/wiki/Battle_of_Vienna
