Country,Amount,Date
"Aruba","$20.00",2014
"Gibraltar","$9.15",2014
"Barbados","$7.50",2014
"Saint Lucia","$5.56",2014
"Swaziland","$5.09",2014
"Switzerland","$4.13",2014
"Monaco","$4.10",2013
"Jersey","$4.01",2014
"Luxembourg","$3.96",2014
"Guam","$3.73",2013
"Burundi","$3.57",2013
"Guernsey","$3.53",2014
"Lebanon","$3.32",2014
"Greenland","$3.20",2013
"Suriname","$3.05",2014
"El Salvador","$3.00",2014
"Curacao","$3.00",2013
"Japan","$2.95",2014
"Netherlands","$2.73",2014
"Andorra","$2.73",2014
"Albania","$2.73",2014
"Belgium","$2.66",2014
"Iceland","$2.66",2014
"Guatemala","$2.58",2014
"Denmark","$2.56",2014
"Nigeria","$2.50",2014
"Belize","$2.50",2014
"Venezuela","$2.50",2014
"Cayman Islands","$2.50",2014
"Liberia","$2.50",2013
"Ethiopia","$2.45",2014
"Malta","$2.39",2014
"New Zealand","$2.34",2014
"Norway","$2.33",2014
"United Kingdom","$2.32",2014
"Grenada","$2.30",2014
"Germany","$2.25",2014
"Uruguay","$2.22",2014
"Papua New Guinea","$2.12",2014
"Ghana","$2.11",2014
"Finland","$2.08",2014
"Seychelles","$2.06",2014
"Zambia","$2.00",2014
"Honduras","$2.00",2014
"Madagascar","$2.00",2014
"Democratic Republic of the Congo","$2.00",2014
"Libya","$1.99",2014
"Austria","$1.91",2014
"Australia","$1.84",2014
"Sweden","$1.84",2014
"Botswana","$1.83",2014
"Faroe Islands","$1.83",2014
"Italy","$1.78",2014
"Chile","$1.77",2014
"Kenya","$1.73",2014
"Iraq","$1.72",2014
"Djibouti","$1.72",2013
"Colombia","$1.70",2014
"Canada","$1.65",2014
"Mauritius","$1.64",2014
"Kuwait","$1.58",2014
"United States","$1.55",2014
"New Caledonia","$1.54",2013
"Tanzania","$1.53",2014
"Puerto Rico","$1.53",2014
"Burma","$1.50",2014
"Malawi","$1.49",2013
"France","$1.43",2014
"Ireland","$1.41",2014
"Bermuda","$1.40",2014
"Greece","$1.37",2014
"Slovenia","$1.37",2014
"Spain","$1.37",2014
"Cyprus","$1.37",2014
"Maldives","$1.31",2014
"Czech Republic","$1.30",2014
"Peru","$1.26",2014
"Dominican Republic","$1.25",2014
"Jamaica","$1.25",2014
"Mozambique","$1.25",2014
"Hungary","$1.23",2014
"Oman","$1.17",2014
"Senegal","$1.17",2014
"Costa Rica","$1.15",2014
"South Korea","$1.14",2014
"Israel","$1.14",2014
"Panama","$1.12",2014
"Slovakia","$1.09",2014
"Kazakhstan","$1.08",2014
"Brazil","$1.06",2014
"Hong Kong","$1.03",2014
"Cameroon","$1.00",2014
"Afghanistan","$1.00",2014
"Ecuador","$1.00",2014
"Zimbabwe","$1.00",2014
"Paraguay","$1.00",2014
"Cambodia","$1.00",2014
"Argentina","$1.00",2014
"Bolivia","$1.00",2014
"The Bahamas","$1.00",2014
"Yemen","$1.00",2014
"Cuba","$1.00",2014
"Mali","$1.00",2014
"Uganda","$1.00",2014
"Latvia","$0.97",2014
"Azerbaijan","$0.96",2014
"South Africa","$0.93",2014
"Guyana","$0.93",2014
"Turkey","$0.90",2014
"Croatia","$0.89",2014
"Rwanda","$0.88",2014
"Namibia","$0.83",2014
"Laos","$0.83",2014
"Saudi Arabia","$0.80",2014
"Lithuania","$0.79",2014
"Brunei","$0.79",2014
"Trinidad and Tobago","$0.78",2014
"Serbia","$0.78",2014
"Poland","$0.78",2014
"Estonia","$0.75",2014
"Nicaragua","$0.75",2014
"Bosnia and Herzegovina","$0.70",2014
"Dominica","$0.69",2013
"Montenegro","$0.68",2014
"Portugal","$0.68",2014
"Taiwan","$0.66",2014
"Gabon","$0.62",2014
"Morocco","$0.61",2014
"Bahrain","$0.60",2014
"Vietnam","$0.60",2014
"Malaysia","$0.55",2014
"Fiji","$0.55",2014
"Qatar","$0.55",2014
"Bulgaria","$0.55",2014
"Republic of Macedonia","$0.54",2014
"Tajikistan","$0.51",2013
"Romania","$0.50",2014
"Belarus","$0.50",2014
"Algeria","$0.50",2014
"Haiti","$0.50",2014
"Mongolia","$0.50",2014
"Russia","$0.48",2014
"United Arab Emirates","$0.47",2014
"Singapore","$0.47",2014
"Nepal","$0.46",2014
"Lesotho","$0.46",2014
"Bangladesh","$0.45",2014
"Mexico","$0.45",2014
"Jordan","$0.44",2014
"Tunisia","$0.44",2014
"Samoa","$0.43",2013
"Georgia","$0.40",2014
"Cape Verde","$0.40",2014
"Somalia","$0.40",2014
"China","$0.39",2014
"Sri Lanka","$0.38",2014
"Syria","$0.35",2014
"Pakistan","$0.33",2014
"Indonesia","$0.31",2014
"Philippines","$0.31",2014
"Ukraine","$0.30",2014
"Iran","$0.30",2014
"Moldova","$0.25",2014
"Armenia","$0.25",2014
"Uzbekistan","$0.24",2014
"India","$0.24",2014
"Sudan","$0.22",2014
"Egypt","$0.22",2014
"Gambia","$0.21",2014
"Kyrgyzstan","$0.20",2014
"Thailand","$0.15",2014
"Equatorial Guinea","$0.10",2013
"Turkmenistan","$0.10",2013
