Entity,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number)
Afghanistan,1775
African Region (WHO),66124
Albania,917
Algeria,5209
American Samoa,7
Andorra,36
Angola,1143
Antigua and Barbuda,16
Argentina,12045
Armenia,873
Australia,11240
Austria,4802
Azerbaijan,941
Bahamas,61
Bahrain,74
Bangladesh,15614
Barbados,100
Belarus,3685
Belgium,6615
Belize,48
Benin,695
Bermuda,32
Bhutan,81
Bolivia,1393
Bosnia and Herzegovina,1080
Botswana,153
Brazil,54594
Brunei,24
Bulgaria,3146
Burkina Faso,1245
Burundi,479
Cambodia,1794
Cameroon,1505
Canada,17052
Cape Verde,99
Central African Republic,160
Chad,715
Chile,4804
China,320715
Colombia,13672
Comoros,85
Congo,309
Cook Islands,4
Costa Rica,1295
Cote d'Ivoire,1184
Croatia,2166
Cuba,4503
Cyprus,324
Czechia,5121
Democratic Republic of Congo,4384
Denmark,2703
Djibouti,58
Dominica,19
Dominican Republic,1629
East Asia & Pacific (WB),622415
Eastern Mediterranean Region (WHO),56679
Ecuador,2638
Egypt,6918
El Salvador,1695
England,27257
Equatorial Guinea,65
Eritrea,248
Estonia,757
Eswatini,55
Ethiopia,6433
Europe & Central Asia (WB),413743
European Region (WHO),417167
Fiji,73
Finland,3280
France,46008
French Guiana,
French Polynesia,
G20,1299410
Gabon,167
Gambia,154
Georgia,1721
Germany,49557
Ghana,1942
Greece,6996
Greenland,9
Grenada,16
Guadeloupe,
Guam,38
Guatemala,1941
Guinea,931
Guinea-Bissau,79
Guyana,79
Haiti,767
Honduras,1058
Hong Kong,
Hungary,4850
Iceland,151
India,129011
Indonesia,24381
Iran,13910
Iraq,3259
Ireland,1657
Israel,2777
Italy,48763
Jamaica,780
Japan,164874
Jordan,767
Kazakhstan,2319
Kenya,2705
Kiribati,8
Kosovo,
Kuwait,425
Kyrgyzstan,723
Laos,529
Latin America & Caribbean (WB),147356
Latvia,1031
Lebanon,1255
Lesotho,129
Liberia,284
Libya,1094
Lithuania,1542
Luxembourg,241
Macau,
Madagascar,859
Malawi,1019
Malaysia,3667
Maldives,48
Mali,1226
Malta,220
Marshall Islands,3
Martinique,
Mauritania,347
Mauritius,323
Mexico,23657
Micronesia (country),8
Middle East & North Africa (WB),49155
Moldova,1259
Monaco,28
Mongolia,225
Montenegro,185
Morocco,4945
Mozambique,1529
Myanmar,6784
Namibia,228
Nauru,0
Nepal,2448
Netherlands,8715
New Caledonia,
New Zealand,2066
Nicaragua,706
Niger,854
Nigeria,12113
Niue,0
North America (WB),161002
North Korea,5208
North Macedonia,437
Northern Ireland,815
Northern Mariana Islands,5
Norway,2633
OECD Countries,704756
Oman,163
Pakistan,10960
Palau,2
Palestine,326
Panama,1054
Papua New Guinea,402
Paraguay,1261
Peru,7144
Philippines,10473
Poland,18469
Portugal,6602
Puerto Rico,2026
Qatar,41
Region of the Americas (WHO),306271
Romania,8874
Russia,48437
Rwanda,772
Saint Kitts and Nevis,8
Saint Lucia,41
Saint Vincent and the Grenadines,22
Samoa,28
San Marino,20
Sao Tome and Principe,14
Saudi Arabia,1707
Scotland,2666
Senegal,1246
Serbia,2567
Seychelles,18
Sierra Leone,485
Singapore,1477
Slovakia,1960
Slovenia,1337
Solomon Islands,22
Somalia,506
South Africa,6603
South Asia (WB),164077
South Korea,18451
South Sudan,456
South-East Asia Region (WHO),209371
Spain,29208
Sri Lanka,4141
Sub-Saharan Africa (WB),64236
Sudan,2815
Suriname,109
Sweden,5637
Switzerland,5138
Syria,1592
Taiwan,8755
Tajikistan,446
Tanzania,3644
Thailand,21553
Timor,102
Togo,400
Tokelau,0
Tonga,18
Trinidad and Tobago,335
Tunisia,2547
Turkey,19721
Turkmenistan,582
Tuvalu,2
Uganda,1854
Ukraine,16370
United Arab Emirates,138
United Kingdom,32425
United States,143919
United States Virgin Islands,29
Uruguay,1497
Uzbekistan,1119
Vanuatu,19
Venezuela,6313
Vietnam,19460
Wales,1687
Wallis and Futuna,
Western Pacific Region (WHO),559566
Western Sahara,
World,1623276
World (excluding China),
World Bank High Income,678988
World Bank Low Income,41753
World Bank Lower Middle Income,297323
World Bank Upper Middle Income,604357
Yemen,1731
Zambia,763
Zimbabwe,812
