country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,29.0,Atiq Rahimi,http://www.wikidata.org/entity/Q179801,wd:Q179801,20390995,French-Afghan writer
Afghanistan,20.0,Roya Sadat,http://www.wikidata.org/entity/Q24524838,wd:Q24524838,50732706,Afghan film producer and director
Afghanistan,14.0,Sahraa Karimi,http://www.wikidata.org/entity/Q67184427,wd:Q67184427,61715274,Afghan film director
Afghanistan,11.0,Shahrbanoo Sadat,http://www.wikidata.org/entity/Q26768554,wd:Q26768554,53463980,Afghan filmmaker
Afghanistan,11.0,Siddiq Barmak,http://www.wikidata.org/entity/Q8215518,wd:Q8215518,5286856,Afghan film director and producer
Afghanistan,10.0,Burhan Qurbani,http://www.wikidata.org/entity/Q89884,wd:Q89884,26314853,German-Afghan film director
Afghanistan,9.0,Saba Sahar,http://www.wikidata.org/entity/Q1772399,wd:Q1772399,54483356,"Afghan actress, film director and film producer"
Afghanistan,7.0,Alka Sadat,http://www.wikidata.org/entity/Q24525377,wd:Q24525377,50740979,Afghan filmmaker
Afghanistan,7.0,Lida Abdul,http://www.wikidata.org/entity/Q2000516,wd:Q2000516,8483187,Afghan video and performance artist
Afghanistan,6.0,Najibullah Quraishi,http://www.wikidata.org/entity/Q6059873,wd:Q6059873,28209698,Journalist and filmmaker
Afghanistan,6.0,Sonia Nassery Cole,http://www.wikidata.org/entity/Q7561738,wd:Q7561738,30002775,"Afghan-American socialite, activist, director, producer and actress"
Afghanistan,6.0,Barmak Akram,http://www.wikidata.org/entity/Q17173496,wd:Q17173496,55214506,French film director
Afghanistan,6.0,Chabname Zariab,http://www.wikidata.org/entity/Q50413972,wd:Q50413972,58935713,"Afghan writer, screenwriter and director"
Afghanistan,5.0,Mithaq Kazimi,http://www.wikidata.org/entity/Q3119118,wd:Q3119118,,
Afghanistan,5.0,Latif Ahmadi,http://www.wikidata.org/entity/Q6496065,wd:Q6496065,14200359,Afghan director
Afghanistan,4.0,Maliha Zulfacar,http://www.wikidata.org/entity/Q43289119,wd:Q43289119,55827534,University professor and former ambassador of Afghanistan
Afghanistan,4.0,Jamshid Mahmoudi,http://www.wikidata.org/entity/Q25424819,wd:Q25424819,69387428,Afghan filmmaker (born 1983)
Afghanistan,4.0,Abdul Wahid Nazari,http://www.wikidata.org/entity/Q4665758,wd:Q4665758,24883849,Afghan film director
Afghanistan,3.0,Razi Mohebi,http://www.wikidata.org/entity/Q5990650,wd:Q5990650,,
Afghanistan,2.0,Malek Shafi'i,http://www.wikidata.org/entity/Q16215095,wd:Q16215095,21118886,Afghan filmmaker
Albania,14.0,Anri Sala,http://www.wikidata.org/entity/Q568659,wd:Q568659,9063766,Albanian contemporary artist
Albania,13.0,Elvira Dones,http://www.wikidata.org/entity/Q1647133,wd:Q1647133,16639144,Albanian writer
