country,countryLabel,numsubdivision
http://www.wikidata.org/entity/Q805,Yemen,22
http://www.wikidata.org/entity/Q32,Luxembourg,15
http://www.wikidata.org/entity/Q1009,Cameroon,10
http://www.wikidata.org/entity/Q953,Zambia,10
http://www.wikidata.org/entity/Q712,Fiji,5
http://www.wikidata.org/entity/Q817,Kuwait,6
http://www.wikidata.org/entity/Q854,Sri Lanka,9
http://www.wikidata.org/entity/Q228,Andorra,7
http://www.wikidata.org/entity/Q265,Uzbekistan,14
http://www.wikidata.org/entity/Q962,Benin,12
http://www.wikidata.org/entity/Q813,Kyrgyzstan,9
http://www.wikidata.org/entity/Q760,Saint Lucia,11
http://www.wikidata.org/entity/Q1008,Côte d'Ivoire,19
http://www.wikidata.org/entity/Q924,Tanzania,37
http://www.wikidata.org/entity/Q1013,Lesotho,10
http://www.wikidata.org/entity/Q945,Togo,5
http://www.wikidata.org/entity/Q1042,Seychelles,27
http://www.wikidata.org/entity/Q967,Burundi,17
http://www.wikidata.org/entity/Q1011,Cape Verde,22
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,11
http://www.wikidata.org/entity/Q792,El Salvador,14
http://www.wikidata.org/entity/Q1020,Malawi,3
http://www.wikidata.org/entity/Q221,North Macedonia,81
http://www.wikidata.org/entity/Q963,Botswana,9
http://www.wikidata.org/entity/Q763,Saint Kitts and Nevis,14
http://www.wikidata.org/entity/Q826,Maldives,20
http://www.wikidata.org/entity/Q117,Ghana,10
http://www.wikidata.org/entity/Q954,Zimbabwe,10
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,6
http://www.wikidata.org/entity/Q1050,Eswatini,4
http://www.wikidata.org/entity/Q1016,Libya,27
http://www.wikidata.org/entity/Q709,Marshall Islands,33
http://www.wikidata.org/entity/Q685,Solomon Islands,10
http://www.wikidata.org/entity/Q1041,Senegal,14
http://www.wikidata.org/entity/Q983,Equatorial Guinea,8
http://www.wikidata.org/entity/Q778,The Bahamas,32
http://www.wikidata.org/entity/Q298,Chile,16
http://www.wikidata.org/entity/Q398,Bahrain,5
http://www.wikidata.org/entity/Q686,Vanuatu,6
http://www.wikidata.org/entity/Q801,Israel,7
http://www.wikidata.org/entity/Q819,Laos,17
http://www.wikidata.org/entity/Q863,Tajikistan,4
