0,1
" Abu Dhabi, UAE",AA
 Albania,B+
 Andorra,BBB
 Angola,CCC+
 Argentina,CCC+
 Aruba,BBB
 Australia,AAA
 Austria,AA+
 Azerbaijan,BB+
 Bahamas,BB
 Bahrain,B+
 Bangladesh,BB-
 Barbados,B-
 Belarus,CCC
 Belgium,AA
 Belize,SD
 Bermuda,A+
 Bolivia,B+
 Bosnia and Herzegovina,B
 Botswana,BBB+
 Brazil,BB-
 Bulgaria,BBB
 Burkina Faso,B
 Cambodia,B
 Cameroon,B-
 Canada,AAA
 Cape Verde,B-
 Chile,A
 China,A+
 Colombia,BB+
" Congo, D. R.",CCC+
 Congo-Brazzaville,CCC+
 Cook Islands,B+
 Costa Rica,B
 Croatia,BBB+
 Curacao,A-
 Cyprus,BBB-
 Czech Republic,AA-
 Denmark,AAA
 Dominican Republic,BB-
 Ecuador,B-
 Egypt,B
 El Salvador,B-
 Estonia,AA-
 Ethiopia,CCC+
 European Union,AA
 Fiji,BB-
 Finland,AA+
 France,AA
 Georgia,BB
 Germany,AAA
 Ghana,B-
 Greece,BB+
 Guatemala,BB-
 Guernsey,AA-
 Honduras,BB-
 Hong Kong,AA+
 Hungary,BBB
 Iceland,A
 India,BBB-
 Indonesia,BBB
 Iraq,B-
 Ireland,AA-
 Israel,AA-
 Italy,BBB
 Jamaica,B+
 Japan,A+
 Jersey,AA-
 Jordan,B+
 Kazakhstan,BBB-
 Kenya,B
 Kuwait,AA-
 Latvia,A+
 Lebanon,SD
 Liechtenstein,AAA
 Lithuania,A+
 Luxembourg,AAA
 Malaysia,A-
 Malta,A-
 Mexico,BBB
 Mongolia,B
 Montenegro,B+
 Montserrat,BBB-
 Morocco,BBB-
 Mozambique,CCC+
 Netherlands,AAA
 New Zealand,AA+
 Nicaragua,B+
 Nigeria,B-
 North Macedonia,BB-
 Norway,AAA
 Oman,B+
 Pakistan,CCC+
 Panama,BBB
 Papua New Guinea,B-
 Paraguay,BB
 Peru,BBB+
 Philippines,BBB+
 Poland,A-
 Portugal,BBB+
 Qatar,AA-
" Ras Al Khaimah, UAE",A
 Romania,BBB-
 Russia,SD
 Rwanda,B+
 Saudi Arabia,A+
 Senegal,B+
 Serbia,BB+
" Sharjah, UAE",BBB-
 Singapore,AAA
 Slovakia,A+
 Slovenia,AA-
 South Africa,BB-
 South Korea,AA
 Spain,A
 Sri Lanka,SD
 Suriname,SD
 Sweden,AAA
 Switzerland,AAA
 Taiwan,AA+
 Thailand,BBB+
 Trinidad and Tobago,BBB-
 Turkey,B
 Turks and Caicos Islands,BBB+
 Uganda,B
 Ukraine,B-
 United Kingdom,AA
 United States,AA+
 Uruguay,BBB
 Venezuela,SD
 Vietnam,BB
 Zambia,SD
