0,1
Venezuela,9.66
Gabon,7.9
Bermuda,7.63
Cayman Islands,7.62
Guyana,7.51
Cuba,7.0
Samoa,6.95
Mali,6.0
Curacao,5.87
Saint Lucia,5.68
South Korea,5.45
Japan,5.32
Vanuatu,5.11
Greenland,5.03
Guernsey,4.99
Nicaragua,4.99
Reunion,4.78
Ethiopia,4.72
Djibouti,4.51
Monaco,4.44
Switzerland,4.29
New Caledonia,4.25
Nigeria,4.22
Puerto Rico,4.04
Liberia,4.0
Ghana,3.98
Costa Rica,3.89
Burundi,3.78
Norway,3.72
United States,3.69
Iceland,3.68
Dominica,3.66
Guam,3.66
Somalia,3.62
Brunei,3.61
Australia,3.6
Cape Verde,3.55
Haiti,3.54
Cambodia,3.51
Sudan,3.5
Ireland,3.42
Denmark,3.38
Zambia,3.37
Kenya,3.36
Gibraltar,3.33
Belize,3.33
Jersey,3.31
Mongolia,3.31
Zimbabwe,3.3
Bahamas,3.27
Sweden,3.24
Luxembourg,3.19
Cameroon,3.1
France,3.06
Angola,3.05
Finland,3.03
Singapore,3.03
Aruba,3.0
United Kingdom,2.99
Barbados,2.98
Mozambique,2.98
New Zealand,2.93
Canada,2.92
Papua New Guinea,2.92
Germany,2.88
Honduras,2.87
Fiji,2.82
Yemen,2.81
Gambia,2.81
Austria,2.78
Guatemala,2.78
Malta,2.77
Myanmar,2.76
Taiwan,2.75
Maldives,2.74
Cyprus,2.74
Faroe Islands,2.74
Andorra,2.73
Netherlands,2.72
Belgium,2.72
Sri Lanka,2.69
Hong Kong,2.67
Paraguay,2.65
Panama,2.62
Jamaica,2.58
Israel,2.53
Suriname,2.51
Republic of the Congo,2.5
Senegal,2.5
Uruguay,2.47
Italy,2.46
Azerbaijan,2.43
Tanzania,2.42
Kuwait,2.41
Malawi,2.41
Vietnam,2.36
Malaysia,2.34
Mexico,2.33
Argentina,2.3
Libya,2.27
Thailand,2.27
United Arab Emirates,2.26
Jordan,2.23
Trinidad & Tobago,2.23
Indonesia,2.22
Ecuador,2.19
Qatar,2.18
Namibia,2.18
Spain,2.13
Brazil,2.09
Oman,2.07
Bahrain,2.03
Philippines,2.02
India,2.01
Uzbekistan,2.0
Colombia,2.0
Madagascar,2.0
Botswana,1.98
Algeria,1.98
Bolivia,1.96
Greece,1.95
Bangladesh,1.93
Egypt,1.92
Portugal,1.89
Uganda,1.85
Tunisia,1.85
China,1.84
Saudi Arabia,1.82
Laos,1.82
Slovenia,1.81
Seychelles,1.81
Kazakhstan,1.8
Rwanda,1.8
Peru,1.79
El Salvador,1.77
Iraq,1.76
Russia,1.71
Lebanon,1.7
Croatia,1.68
Eswatini,1.67
Estonia,1.67
Belarus,1.63
Morocco,1.62
Slovakia,1.59
Lesotho,1.57
Mauritius,1.52
Afghanistan,1.5
South Africa,1.44
Montenegro,1.43
Bulgaria,1.43
Iran,1.43
Czech Republic,1.41
Equatorial Guinea,1.4
Nepal,1.38
Turkmenistan,1.37
Bosnia and Herzegovina,1.32
Hungary,1.31
Lithuania,1.31
Latvia,1.27
Albania,1.26
Chile,1.22
Serbia,1.18
Pakistan,1.18
Kyrgyzstan,1.15
Georgia,1.14
Turkey,1.13
Romania,1.12
Bhutan,1.05
Ukraine,1.04
Tajikistan,1.04
Poland,1.03
Syria,1.01
British Virgin Islands,1.0
Armenia,0.83
Republic of Macedonia,0.82
Moldova,0.8
