Entity,Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number)
Afghanistan,4817
African Region (WHO),170540
Albania,175
Algeria,5328
American Samoa,44
Andorra,9
Angola,4033
Antigua and Barbuda,57
Argentina,10762
Armenia,1235
Australia,4239
Austria,2340
Azerbaijan,2150
Bahamas,146
Bahrain,708
Bangladesh,33095
Barbados,312
Belarus,393
Belgium,1731
Belize,154
Benin,1537
Bermuda,24
Bhutan,155
Bolivia,3797
Bosnia and Herzegovina,2290
Botswana,1061
Brazil,65366
Brunei,171
Bulgaria,2377
Burkina Faso,2975
Burundi,1463
Cambodia,3631
Cameroon,5187
Canada,7420
Cape Verde,134
Central African Republic,1021
Chad,1720
Chile,3822
China,172892
Colombia,7048
Comoros,163
Congo,1169
Cook Islands,27
Costa Rica,576
Cote d'Ivoire,3513
Croatia,1134
Cuba,2020
Cyprus,490
Czechia,3441
Democratic Republic of Congo,11354
Denmark,1434
Djibouti,207
Dominica,57
Dominican Republic,2965
East Asia & Pacific (WB),437697
Eastern Mediterranean Region (WHO),124976
Ecuador,4951
Egypt,20478
El Salvador,2257
England,5102
Equatorial Guinea,223
Eritrea,1055
Estonia,140
Eswatini,682
Ethiopia,12873
Europe & Central Asia (WB),181869
European Region (WHO),185698
Fiji,1725
Finland,496
France,12806
French Guiana,
French Polynesia,
G20,995583
Gabon,614
Gambia,330
Georgia,1374
Germany,22363
Ghana,6173
Greece,1366
Greenland,6
Grenada,75
Guadeloupe,
Guam,46
Guatemala,6671
Guinea,2009
Guinea-Bissau,322
Guyana,567
Haiti,4245
Honduras,1127
Hong Kong,
Hungary,2497
Iceland,26
India,273089
Indonesia,106333
Iran,14738
Iraq,9257
Ireland,502
Israel,2647
Italy,21590
Jamaica,2399
Japan,8784
Jordan,2053
Kazakhstan,2588
Kenya,6182
Kiribati,136
Kosovo,
Kuwait,365
Kyrgyzstan,322
Laos,1553
Latin America & Caribbean (WB),221054
Latvia,335
Lebanon,859
Lesotho,1269
Liberia,634
Libya,898
Lithuania,238
Luxembourg,68
Macau,
Madagascar,2848
Malawi,2497
Malaysia,3779
Maldives,52
Mali,2755
Malta,123
Marshall Islands,36
Martinique,
Mauritania,625
Mauritius,1899
Mexico,73838
Micronesia (country),109
Middle East & North Africa (WB),76421
Moldova,284
Monaco,4
Mongolia,139
Montenegro,152
Morocco,6617
Mozambique,4712
Myanmar,22619
Namibia,790
Nauru,6
Nepal,3474
Netherlands,3357
New Caledonia,
New Zealand,670
Nicaragua,1904
Niger,2108
Nigeria,24473
Niue,3
North America (WB),85163
North Korea,4066
North Macedonia,1064
Northern Ireland,182
Northern Mariana Islands,27
Norway,666
OECD Countries,320617
Oman,705
Pakistan,47693
Palau,23
Palestine,1293
Panama,1217
Papua New Guinea,4697
Paraguay,2447
Peru,4761
Philippines,27680
Poland,8124
Portugal,4245
Puerto Rico,3373
Qatar,345
Region of the Americas (WHO),302740
Romania,2419
Russia,18746
Rwanda,1916
Saint Kitts and Nevis,33
Saint Lucia,130
Saint Vincent and the Grenadines,107
Samoa,124
San Marino,5
Sao Tome and Principe,15
Saudi Arabia,2989
Scotland,757
Senegal,2599
Serbia,3710
Seychelles,26
Sierra Leone,1095
Singapore,179
Slovakia,831
Slovenia,357
Solomon Islands,432
Somalia,2620
South Africa,27471
South Asia (WB),375647
South Korea,12862
South Sudan,1143
South-East Asia Region (WHO),475916
Spain,10135
Sri Lanka,13273
Sub-Saharan Africa (WB),170650
Sudan,2818
Suriname,267
Sweden,2069
Switzerland,1394
Syria,1844
Taiwan,11324
Tajikistan,1655
Tanzania,8430
Thailand,19570
Timor,191
Togo,1046
Tokelau,1
Tonga,82
Trinidad and Tobago,1833
Tunisia,1823
Turkey,19699
Turkmenistan,759
Tuvalu,11
Uganda,5033
Ukraine,2821
United Arab Emirates,1325
United Kingdom,6368
United States,77719
United States Virgin Islands,80
Uruguay,895
Uzbekistan,8154
Vanuatu,127
Venezuela,10795
Vietnam,29391
Wales,326
Wallis and Futuna,
Western Pacific Region (WHO),284216
Western Sahara,
World,1551170
World (excluding China),
World Bank High Income,252705
World Bank Low Income,96319
World Bank Lower Middle Income,690921
World Bank Upper Middle Income,509620
Yemen,1815
Zambia,2573
Zimbabwe,3460
