Entity,Deaths - Drowning - Sex: Both - Age: All Ages (Number)
Afghanistan,1687
African Region (WHO),23768
Albania,36
Algeria,526
American Samoa,4
Andorra,0
Angola,793
Antigua and Barbuda,4
Argentina,566
Armenia,44
Australia,196
Austria,56
Azerbaijan,312
Bahamas,24
Bahrain,12
Bangladesh,7582
Barbados,10
Belarus,645
Belgium,77
Belize,26
Benin,384
Bermuda,2
Bhutan,21
Bolivia,464
Bosnia and Herzegovina,48
Botswana,95
Brazil,6110
Brunei,16
Bulgaria,160
Burkina Faso,899
Burundi,325
Cambodia,1048
Cameroon,609
Canada,288
Cape Verde,34
Central African Republic,297
Chad,619
Chile,356
China,56524
Colombia,947
Comoros,14
Congo,89
Cook Islands,1
Costa Rica,132
Cote d'Ivoire,581
Croatia,77
Cuba,249
Cyprus,26
Czechia,154
Democratic Republic of Congo,1963
Denmark,32
Djibouti,27
Dominica,4
Dominican Republic,319
East Asia & Pacific (WB),93793
Eastern Mediterranean Region (WHO),12816
Ecuador,578
Egypt,972
El Salvador,213
England,244
Equatorial Guinea,14
Eritrea,160
Estonia,42
Eswatini,52
Ethiopia,1745
Europe & Central Asia (WB),22174
European Region (WHO),22244
Fiji,59
Finland,104
France,944
French Guiana,
French Polynesia,
G20,153199
Gabon,25
Gambia,37
Georgia,80
Germany,465
Ghana,545
Greece,373
Greenland,3
Grenada,6
Guadeloupe,
Guam,6
Guatemala,407
Guinea,511
Guinea-Bissau,58
Guyana,63
Haiti,1455
Honduras,230
Hong Kong,
Hungary,131
Iceland,2
India,54046
Indonesia,5011
Iran,866
Iraq,827
Ireland,45
Israel,47
Italy,351
Jamaica,13
Japan,7874
Jordan,129
Kazakhstan,908
Kenya,614
Kiribati,6
Kosovo,
Kuwait,23
Kyrgyzstan,265
Laos,389
Latin America & Caribbean (WB),16424
Latvia,122
Lebanon,55
Lesotho,109
Liberia,86
Libya,92
Lithuania,168
Luxembourg,3
Macau,
Madagascar,437
Malawi,356
Malaysia,774
Maldives,20
Mali,993
Malta,4
Marshall Islands,6
Martinique,
Mauritania,43
Mauritius,37
Mexico,2373
Micronesia (country),12
Middle East & North Africa (WB),6141
Moldova,167
Monaco,1
Mongolia,159
Montenegro,9
Morocco,354
Mozambique,716
Myanmar,3052
Namibia,73
Nauru,1
Nepal,1476
Netherlands,80
New Caledonia,
New Zealand,50
Nicaragua,172
Niger,891
Nigeria,3153
Niue,0
North America (WB),3905
North Korea,1352
North Macedonia,22
Northern Ireland,9
Northern Mariana Islands,3
Norway,52
OECD Countries,21283
Oman,115
Pakistan,3478
Palau,2
Palestine,48
Panama,126
Papua New Guinea,379
Paraguay,181
Peru,688
Philippines,4792
Poland,784
Portugal,94
Puerto Rico,26
Qatar,38
Region of the Americas (WHO),20297
Romania,630
Russia,7086
Rwanda,212
Saint Kitts and Nevis,2
Saint Lucia,9
Saint Vincent and the Grenadines,7
Samoa,13
San Marino,0
Sao Tome and Principe,3
Saudi Arabia,724
Scotland,31
Senegal,252
Serbia,100
Seychelles,12
Sierra Leone,307
Singapore,17
Slovakia,127
Slovenia,20
Solomon Islands,122
Somalia,880
South Africa,1511
South Asia (WB),69236
South Korea,691
South Sudan,233
South-East Asia Region (WHO),78075
Spain,425
Sri Lanka,928
Sub-Saharan Africa (WB),25378
Sudan,1256
Suriname,28
Sweden,93
Switzerland,52
Syria,137
Taiwan,508
Tajikistan,621
Tanzania,1270
Thailand,4519
Timor,69
Togo,147
Tokelau,0
Tonga,5
Trinidad and Tobago,37
Tunisia,128
Turkey,694
Turkmenistan,129
Tuvalu,1
Uganda,751
Ukraine,3436
United Arab Emirates,174
United Kingdom,300
United States,3615
United States Virgin Islands,5
Uruguay,71
Uzbekistan,1597
Vanuatu,32
Venezuela,524
Vietnam,6098
Wales,15
Wallis and Futuna,
Western Pacific Region (WHO),79667
Western Sahara,
World,237242
World (excluding China),
World Bank High Income,20083
World Bank Low Income,21340
World Bank Lower Middle Income,105799
World Bank Upper Middle Income,89851
Yemen,843
Zambia,359
Zimbabwe,827
