Country,First acquisition,Date of last
 Bhutan,1634,1634
 Oman,751,1743
 Nepal,1768,1768
Afghanistan,1709,1796
 Liechtenstein,1806,1806
 Spain,1516,1813
 Switzerland,1291,1815
 Costa Rica,1821,1838
 Mexico,1810,1864
 Paraguay,1811,1876
 Hungary,895,1989
 Turkey,1299,1923
 France,481,1944
 Greece,-338,1945
 Poland,966,1989
 Thailand,1238,1945
 Monaco,1297,1945
 Netherlands,1581,1945
 Luxembourg,1815,1945
 Belgium,1830,1945
 Benin,1600,1960
 Iceland,930,1918
 Sudan,-700,1956
 Samoa,1962,1962
 Brunei,1368,1984
 Czechia,870,1993
 Slovakia,1993,1993
 Somalia,1285,1960
 Burundi,1680,1962
 Rwanda,1962,1962
 Iraq,1932,1903
 Antigua and Barbuda,1981,1981
 Nigeria,1960,1960
 Cameroon,1960,1961
 Tuvalu,1978,1978
 Palau,1994,1994
 Uzbekistan,1991,1991
 Jordan,-330,1958
 United Arab Emirates,1971,1971
 Cuba,1902,1909
 Vietnam,544,1976
 Guinea,1958,1958
 China,-2070,1945
 Niger,1960,1960
 Serbia,650,1906
 Bosnia and Herzegovina,1377,1992
 Dominica,1978,1978
" Micronesia, Federated States of",1986,1986
 Qatar,1971,1971
 Sri Lanka,-161,1948
 Finland,1917,1918
 Myanmar,849,1948
 Tonga,1845,1970
 Latvia,1918,1990
 Lesotho,1822,1966
 Burkina Faso,1960,1960
 Ethiopia,-80,1941
 Denmark,714,1945
 Bulgaria,681,1990
 Jamaica,1962,1962
 Malawi,1480,1964
 Comoros,1975,1975
 Ghana,1957,1957
 Eswatini,06-Sep-68,1968
 Morocco,788,1956
 Ivory Coast,1960,1960
 Grenada,1974,1974
 Solomon Islands,1978,1978
 Norway,872,1945
 Croatia,626,1991
 North Macedonia,1991,1991
 Georgia,1008,1991
 Singapore,1963,1965
 Tanzania,1961,1961
 South Sudan,2011,1911
 Uganda,1962,1962
 North Korea,-2333,1948
 Tajikistan,1991,1991
 United Kingdom,1707,1801
 Haiti,1804,191804
 Bahamas,1973,1973
 Fiji,1871,1970
 Guinea-Bissau,1973,1974
 Canada,1867,1931
 Ireland,1922,1931
 South Africa,1910,1931
 Chad,1960,1960
  Vatican City,756,1929
 Lithuania,1253,1990
 Angola,1975,1975
 Chile,1810,1818
 Kenya,1963,1963
 São Tomé and Príncipe,1975,1975
 Kiribati,1979,1979
 Mauritius,12-Mar-68,1968
 Equatorial Guinea,1968,1968
 Venezuela,1811,1830
 Romania,1878,1989
 Ecuador,1822,1830
 Central African Republic,1960,1960
 Mongolia,1921,1921
 Israel,-110,1948
 Austria,1156,1955
 India,-2000,1947
 South Korea,-2333,1948
" Congo, Republic of the",1960,1960
 Germany,843,1991
 Palestine,error,1988
 Cyprus,1960,1960
 Bangladesh,590,1971
 Bahrain,1971,1971
 Kazakhstan,1465,1991
 Papua New Guinea,1975,1975
 Italy,1861,1861
 Gabon,1960,1960
 Iran,-3200,1941
 Zimbabwe,1965,1980
 Gambia,1965,1965
 United States,1776,1781
 Saint Kitts and Nevis,1983,1983
 Estonia,1918,1991
 Mali,900,1960
 Senegal,1960,1960
 Tunisia,1956,1956
 Timor-Leste,1975,1902
 Guatemala,1815,1822
 Montenegro,1042,2006
 Nicaragua,1821,1898
 El Salvador,1815,1922
 Honduras,1821,1922
 Namibia,1990,1990
 Marshall Islands,1986,1986
 San Marino,1243,1944
 Malta,1964,1964
 Belize,1981,1981
 Armenia,880,1991
 Saint Lucia,1979,1979
 Yemen,1918,1990
 Laos,1354,1953
 Pakistan,711,1956
 Saudi Arabia,1932,1932
 Ukraine,1649,1991
 Libya,1951,1951
 Eritrea,1137,1993
 Zambia,1964,1964
 Peru,1821,1839
 New Zealand,1907,1947
 Belarus,1991,1991
 Mozambique,1975,1975
 Slovenia,1991,1991
 Suriname,1975,1975
 Liberia,1847,1847
 Russia,1480,1993
 Maldives,1140,1965
 Madagascar,1787,1960
 Guyana,1966,1966
 Uruguay,1815,1828
 Dominican Republic,1821,1844
 Togo,1960,1960
 Sierra Leone,1961,1961
 Moldova,1991,1991
 Indonesia,1945,1949
 Djibouti,1977,1977
 Saint Vincent and the Grenadines,1979,1979
 Turkmenistan,1991,1991
 Japan,400,1952
 Egypt,-3150,1922
 Mauritania,1960,1960
 Syria,1946,1961
 Brazil,1822,1825
 Seychelles,1976,1976
 Algeria,-202,1962
 Portugal,1139,1808
 Azerbaijan,1918,1991
 Vanuatu,1980,1980
" Congo, Democratic Republic of the",1960,1960
 Barbados,1966,1966
 Botswana,1966,1966
 Malaysia,1957,1957
 Trinidad and Tobago,1962,1962
 Kyrgyzstan,1991,1991
 Lebanon,1943,1946
 Nauru,1968,1968
 Panama,1903,1990
 Philippines,1898,1946
 Cape Verde,1975,1975
 Bolivia,1825,1825
 Sweden,1397,1523
 Colombia,1820,1819
 Argentina,1810,1816
 Cambodia,50,1953
 Australia,1901,1942
 Kuwait,1752,1991
 Albania,1912,1944
 Andorra,1278,1944
