0,1
 Canada[note 1],13
 Malta,11
 Portugal,11
 Spain,11
 Austria,10
 Denmark,10
 Sweden,10
 United Kingdom[note 2],10
 Uruguay,10
 Australia,9
 Germany[note 3],9
 Iceland,9
 Taiwan,9
 Colombia,8
 Netherlands,8
 New Zealand,8
  Switzerland,8
 Belgium,7
 Greenland,7
 Ireland[note 4],7
 Norway,7
 Argentina,6
 Finland,6
 France,6
 Luxembourg,6
 Réunion,5
 French Polynesia,5
 New Caledonia,5
 Puerto Rico,5
 South Africa,5
 Costa Rica,4
 Ecuador,4
 Guadeloupe,4
 Israel[note 5],4
 Martinique,4
 United States,4
 Gibraltar,3
 Guam,3
 Slovenia,3
 Andorra,2
 Brazil,2
 Chile,2
 Czechia,2
 Estonia,2
 Mexico,2
 Cuba,1
 Greece,1
 India[note 6],1
 San Marino,1
 Thailand,1
 Bermuda,0
 Croatia,0
 Italy,0
 Liechtenstein,0
   Nepal,0
 Slovakia,0
 US Virgin Islands[note 7],0
 Bolivia,-1
 Bosnia and Herzegovina[note 8],-1
 Albania,-2
 Aruba,-2
 Bhutan,-2
 Japan,-2
 Mozambique,-2
 Samoa,-2
 Angola,-3
 Bulgaria,-3
 China,-3
 Cyprus,-3
 Fiji,-3
 Hungary,-3
 South Korea,-3
 North Macedonia,-3
 Monaco,-3
 Montenegro,-3
 Panama,-3
 Romania,-3
 Serbia,-3
 Sint Maarten[note 9],-3
 Vietnam,-3
 Armenia[note 10],-4
 Botswana[note 11],-4
 Cabo Verde,-4
 Curaçao,-4
 El Salvador,-4
 Kazakhstan,-4
 Kosovo,-4
 Laos,-4
 Latvia,-4
 Lesotho,-4
 Lithuania,-4
 Macao,-4
 Mali,-4
 Mongolia,-4
 Niger,-4
 Belize,-5
 Benin,-5
 British Virgin Islands,-5
 Cambodia,-5
 Georgia,-5
 Moldova,-5
 Pakistan,-5
 Seychelles[note 12],-5
 Singapore,-5
 Sri Lanka[note 13],-5
 Suriname,-5
 Antigua and Barbuda,-6
 Barbados,-6
 Gabon,-6
 Guinea-Bissau,-6
 Jordan,-6
 Kyrgyzstan,-6
 Namibia,-6
 Peru[note 14],-6
 Ukraine,-6
 Vanuatu,-6
 Burkina Faso,-7
 Honduras[note 15],-7
 Lebanon[note 16],-7
 Mauritius[note 17],-7
 Myanmar,-7
 Nicaragua,-7
 Philippines[note 18],-7
 Turkey[note 19],-7
 Venezuela,-7
 Bangladesh,-8
 Cook Islands,-8
 Equatorial Guinea,-8
 Poland,-8
 Tajikistan,-8
 Trinidad and Tobago,-8
 Algeria,-9
 Bahamas,-9
 Bahrain[note 20],-9
 Burundi,-9
 Central African Republic,-9
 Democratic Republic of Congo,-9
 Djibouti[note 21],-9
 Grenada,-9
 Guatemala,-9
 Indonesia,-9
 North Korea,-9
 Madagascar,-9
 Republic of the Congo,-9
 Rwanda,-9
 Sierra Leone,-9
 Tonga,-9
 Tunisia,-9
  Vatican City[note 22],-9
 Azerbaijan,-10
 Belarus,-10
 Guyana,-10
 Kenya,-10
 Oman,-10
 Papua New Guinea,-10
 Paraguay,-10
 Togo,-10
 Uzbekistan,-10
 Zambia,-10
 Brunei,-11
 Chad,-11
 Comoros,-11
 Dominica,-11
 Dominican Republic,-11
 Ethiopia,-11
 Ghana[note 23],-11
 Ivory Coast,-11
 Liberia,-11
 Maldives,-11
 Senegal,-11
 Solomon Islands,-11
 Sudan,-11
 Eswatini,-11
 Syria,-11
 Turkmenistan,-11
 Eritrea,-12
 Gambia,-12
 Haiti,-12
 Aceh (Indonesia),-12
 Iraq[note 24],-12
 Jamaica,-12
 Malawi,-12
 Malaysia,-12
 Mauritania,-12
 Morocco,-12
 Russia,-12
 Tanzania,-12
 Uganda,-12
 Zimbabwe,-12
 Cameroon,-13
 Egypt,-13
 Kuwait,-13
 Nigeria[note 25],-13
 Qatar,-13
 Afghanistan,-14
 Libya,-14
 United Arab Emirates,-14
 Yemen,-15
 Iran,-17
 Saudi Arabia,-18
 Somalia[note 26],-18
 Chechnya (Russia),-19
