heritage,heritageLabel,sitelinks,countryLabel
http://www.wikidata.org/entity/Q237,Vatican City,313,Vatican City
http://www.wikidata.org/entity/Q5513,Lake Baikal,162,Russia
http://www.wikidata.org/entity/Q9141,Taj Mahal,162,India
http://www.wikidata.org/entity/Q23800,Valletta,161,Malta
http://www.wikidata.org/entity/Q7343,Great Barrier Reef,141,Australia
http://www.wikidata.org/entity/Q9202,Statue of Liberty,134,United States of America
http://www.wikidata.org/entity/Q5818,Córdoba,129,Spain
http://www.wikidata.org/entity/Q12506,Hagia Sophia,123,Turkey
http://www.wikidata.org/entity/Q10288,Parthenon,122,Greece
http://www.wikidata.org/entity/Q39671,Stonehenge,122,United Kingdom
http://www.wikidata.org/entity/Q23513,Phong Nha-Ke Bang National Park,120,Vietnam
http://www.wikidata.org/entity/Q38095,Galapagos Islands,120,Ecuador
http://www.wikidata.org/entity/Q16990,Mount Etna,114,Italy
http://www.wikidata.org/entity/Q22647,Troy,112,Turkey
http://www.wikidata.org/entity/Q351,Yellowstone National Park,99,United States of America
http://www.wikidata.org/entity/Q43278,Victoria Falls,99,Zimbabwe
http://www.wikidata.org/entity/Q43278,Victoria Falls,99,Zambia
http://www.wikidata.org/entity/Q52631,Ibiza,98,Spain
http://www.wikidata.org/entity/Q45178,Sydney Opera House,93,Australia
http://www.wikidata.org/entity/Q425281,Al-Aqsa Mosque,91,State of Palestine
http://www.wikidata.org/entity/Q2946,Palace of Versailles,91,France
http://www.wikidata.org/entity/Q20892,Le Mont-Saint-Michel,90,France
http://www.wikidata.org/entity/Q5725,Mohenjo-daro,89,Pakistan
http://www.wikidata.org/entity/Q130321,Mount Athos,88,Greece
http://www.wikidata.org/entity/Q80541,Sultan Ahmed Mosque,85,Turkey
http://www.wikidata.org/entity/Q131198,Heard Island and McDonald Islands,84,Australia
http://www.wikidata.org/entity/Q38888,Olympia,84,Greece
http://www.wikidata.org/entity/Q62378,Tower of London,84,United Kingdom
http://www.wikidata.org/entity/Q131377,Namib,83,Namibia
http://www.wikidata.org/entity/Q180402,Yosemite National Park,81,United States of America
http://www.wikidata.org/entity/Q131013,Acropolis of Athens,80,Greece
http://www.wikidata.org/entity/Q4176,Cologne Cathedral,78,Germany
http://www.wikidata.org/entity/Q4527,Western Ghats,77,India
http://www.wikidata.org/entity/Q184427,Ajanta Caves,76,India
http://www.wikidata.org/entity/Q54898,San Cristóbal de La Laguna,75,Spain
http://www.wikidata.org/entity/Q57357,Hadrian's Wall,75,United Kingdom
http://www.wikidata.org/entity/Q190128,Ha Long Bay,74,Vietnam
http://www.wikidata.org/entity/Q172613,Teotihuacan,73,Mexico
http://www.wikidata.org/entity/Q179883,Aeolian Islands,72,Italy
http://www.wikidata.org/entity/Q133575,Cave of Altamira,71,Spain
http://www.wikidata.org/entity/Q51812,Alberobello,71,Italy
http://www.wikidata.org/entity/Q179570,Kairouan,70,Tunisia
http://www.wikidata.org/entity/Q183562,Umayyad Mosque,70,Syria
http://www.wikidata.org/entity/Q189849,Plitvice Lakes National Park,69,Croatia
http://www.wikidata.org/entity/Q45957,Red Fort,69,India
