Entity,Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number)
Afghanistan,1210
African Region (WHO),94780
Albania,3
Algeria,92
American Samoa,2
Andorra,0
Angola,2906
Antigua and Barbuda,3
Argentina,1255
Armenia,1
Australia,136
Austria,2
Azerbaijan,18
Bahamas,5
Bahrain,3
Bangladesh,2282
Barbados,5
Belarus,24
Belgium,338
Belize,12
Benin,783
Bermuda,0
Bhutan,3
Bolivia,810
Bosnia and Herzegovina,2
Botswana,181
Brazil,7648
Brunei,0
Bulgaria,4
Burkina Faso,3830
Burundi,1982
Cambodia,457
Cameroon,899
Canada,302
Cape Verde,11
Central African Republic,1211
Chad,2376
Chile,550
China,13099
Colombia,1287
Comoros,62
Congo,259
Cook Islands,0
Costa Rica,21
Cote d'Ivoire,707
Croatia,1
Cuba,53
Cyprus,6
Czechia,119
Democratic Republic of Congo,6029
Denmark,48
Djibouti,200
Dominica,2
Dominican Republic,426
East Asia & Pacific (WB),40322
Eastern Mediterranean Region (WHO),20273
Ecuador,616
Egypt,634
El Salvador,291
England,94
Equatorial Guinea,29
Eritrea,1006
Estonia,1
Eswatini,90
Ethiopia,8603
Europe & Central Asia (WB),8624
European Region (WHO),8668
Fiji,18
Finland,6
France,4581
French Guiana,
French Polynesia,
G20,78748
Gabon,63
Gambia,108
Georgia,4
Germany,616
Ghana,1858
Greece,4
Greenland,1
Grenada,2
Guadeloupe,
Guam,3
Guatemala,1744
Guinea,1685
Guinea-Bissau,93
Guyana,43
Haiti,915
Honduras,198
Hong Kong,
Hungary,16
Iceland,2
India,13384
Indonesia,18641
Iran,173
Iraq,91
Ireland,6
Israel,43
Italy,565
Jamaica,58
Japan,1395
Jordan,16
Kazakhstan,84
Kenya,4462
Kiribati,13
Kosovo,
Kuwait,0
Kyrgyzstan,7
Laos,176
Latin America & Caribbean (WB),25210
Latvia,1
Lebanon,12
Lesotho,188
Liberia,300
Libya,14
Lithuania,2
Luxembourg,7
Macau,
Madagascar,5104
Malawi,1979
Malaysia,230
Maldives,3
Mali,14535
Malta,1
Marshall Islands,1
Martinique,
Mauritania,262
Mauritius,16
Mexico,6745
Micronesia (country),2
Middle East & North Africa (WB),2557
Moldova,1
Monaco,0
Mongolia,0
Montenegro,1
Morocco,171
Mozambique,3362
Myanmar,1185
Namibia,184
Nauru,0
Nepal,988
Netherlands,126
New Caledonia,
New Zealand,12
Nicaragua,143
Niger,2371
Nigeria,4996
Niue,0
North America (WB),6012
North Korea,364
North Macedonia,0
Northern Ireland,4
Northern Mariana Islands,1
Norway,93
OECD Countries,23073
Oman,2
Pakistan,8452
Palau,0
Palestine,11
Panama,119
Papua New Guinea,202
Paraguay,298
Peru,1171
Philippines,3011
Poland,101
Portugal,126
Puerto Rico,102
Qatar,0
Region of the Americas (WHO),31115
Romania,67
Russia,246
Rwanda,1095
Saint Kitts and Nevis,3
Saint Lucia,5
Saint Vincent and the Grenadines,7
Samoa,4
San Marino,0
Sao Tome and Principe,7
Saudi Arabia,61
Scotland,13
Senegal,396
Serbia,11
Seychelles,2
Sierra Leone,1143
Singapore,1
Slovakia,8
Slovenia,1
Solomon Islands,25
Somalia,7476
South Africa,2037
South Asia (WB),26471
South Korea,122
South Sudan,2139
South-East Asia Region (WHO),37991
Spain,302
Sri Lanka,148
Sub-Saharan Africa (WB),102889
Sudan,725
Suriname,13
Sweden,107
Switzerland,76
Syria,65
Taiwan,116
Tajikistan,2
Tanzania,6613
Thailand,934
Timor,58
Togo,220
Tokelau,0
Tonga,3
Trinidad and Tobago,25
Tunisia,22
Turkey,688
Turkmenistan,6
Tuvalu,0
Uganda,3824
Ukraine,67
United Arab Emirates,3
United Kingdom,118
United States,5710
United States Virgin Islands,4
Uruguay,104
Uzbekistan,9
Vanuatu,12
Venezuela,527
Vietnam,95
Wales,7
Wallis and Futuna,
Western Pacific Region (WHO),19090
Western Sahara,
World,212242
World (excluding China),
World Bank High Income,16092
World Bank Low Income,84657
World Bank Lower Middle Income,72684
World Bank Upper Middle Income,38650
Yemen,941
Zambia,1828
Zimbabwe,2855
